,community,province,population,population_type (Census 2016),lat,long,violence_rate,year,nat_avg
160,Avignon/Bonaventure Region,QC,14461.0,Census division,48.2172,-65.9045,1071.0,2008,1357.159959
161,Avignon/Bonaventure Region,QC,14461.0,Census division,48.2172,-65.9045,1153.0,2009,1450.0
162,Avignon/Bonaventure Region,QC,14461.0,Census division,48.2172,-65.9045,964.0,2010,1493.7
163,Avignon/Bonaventure Region,QC,14461.0,Census division,48.2172,-65.9045,1004.0,2011,1346.6
164,Avignon/Bonaventure Region,QC,14461.0,Census division,48.2172,-65.9045,1112.0,2012,1310.8
165,Avignon/Bonaventure Region,QC,14461.0,Census division,48.2172,-65.9045,1004.0,2013,1200.9
166,Avignon/Bonaventure Region,QC,14461.0,Census division,48.2172,-65.9045,995.0,2014,1088.4
167,Avignon/Bonaventure Region,QC,14461.0,Census division,48.2172,-65.9045,1005.0,2015,1113.9
168,Aylmer,ON,7492.0,Census subdivision,42.7729,-80.9829,912.0,2008,1357.159959
169,Aylmer,ON,7492.0,Census subdivision,42.7729,-80.9829,760.0,2009,1450.0
170,Aylmer,ON,7492.0,Census subdivision,42.7729,-80.9829,472.0,2010,1493.7
171,Aylmer,ON,7492.0,Census subdivision,42.7729,-80.9829,629.0,2011,1346.6
172,Aylmer,ON,7492.0,Census subdivision,42.7729,-80.9829,574.0,2012,1310.8
173,Aylmer,ON,7492.0,Census subdivision,42.7729,-80.9829,495.0,2013,1200.9
174,Aylmer,ON,7492.0,Census subdivision,42.7729,-80.9829,623.0,2014,1088.4
175,Aylmer,ON,7492.0,Census subdivision,42.7729,-80.9829,414.0,2015,1113.9
176,Baie Verte,NL,1313.0,Census subdivision,49.9393,-56.1907,,2008,1357.159959
177,Baie Verte,NL,1313.0,Census subdivision,49.9393,-56.1907,,2009,1450.0
178,Baie Verte,NL,1313.0,Census subdivision,49.9393,-56.1907,,2010,1493.7
179,Baie Verte,NL,1313.0,Census subdivision,49.9393,-56.1907,,2011,1346.6
180,Baie Verte,NL,1313.0,Census subdivision,49.9393,-56.1907,,2012,1310.8
181,Baie Verte,NL,1313.0,Census subdivision,49.9393,-56.1907,,2013,1200.9
182,Baie Verte,NL,1313.0,Census subdivision,49.9393,-56.1907,500.0,2014,1088.4
183,Baie Verte,NL,1313.0,Census subdivision,49.9393,-56.1907,362.0,2015,1113.9
184,Bancroft,ON,3881.0,Census subdivision,45.0559,-77.8549,1345.0,2008,1357.159959
185,Bancroft,ON,3881.0,Census subdivision,45.0559,-77.8549,1202.0,2009,1450.0
186,Bancroft,ON,3881.0,Census subdivision,45.0559,-77.8549,1131.0,2010,1493.7
187,Bancroft,ON,3881.0,Census subdivision,45.0559,-77.8549,967.0,2011,1346.6
188,Bancroft,ON,3881.0,Census subdivision,45.0559,-77.8549,1185.0,2012,1310.8
189,Bancroft,ON,3881.0,Census subdivision,45.0559,-77.8549,707.0,2013,1200.9
190,Bancroft,ON,3881.0,Census subdivision,45.0559,-77.8549,1059.0,2014,1088.4
191,Bancroft,ON,3881.0,Census subdivision,45.0559,-77.8549,1394.0,2015,1113.9
192,Banff,AB,7851.0,Census subdivision,51.1784,-115.5708,1896.0,2008,1357.159959
193,Banff,AB,7851.0,Census subdivision,51.1784,-115.5708,1725.0,2009,1450.0
194,Banff,AB,7851.0,Census subdivision,51.1784,-115.5708,2104.0,2010,1493.7
195,Banff,AB,7851.0,Census subdivision,51.1784,-115.5708,2151.0,2011,1346.6
196,Banff,AB,7851.0,Census subdivision,51.1784,-115.5708,1811.0,2012,1310.8
197,Banff,AB,7851.0,Census subdivision,51.1784,-115.5708,1743.0,2013,1200.9
198,Banff,AB,7851.0,Census subdivision,51.1784,-115.5708,1101.0,2014,1088.4
199,Banff,AB,7851.0,Census subdivision,51.1784,-115.5708,1297.0,2015,1113.9
200,Barrhead,AB,4579.0,Census subdivision,54.1231,-114.4017,1009.0,2008,1357.159959
201,Barrhead,AB,4579.0,Census subdivision,54.1231,-114.4017,1339.0,2009,1450.0
202,Barrhead,AB,4579.0,Census subdivision,54.1231,-114.4017,1652.0,2010,1493.7
203,Barrhead,AB,4579.0,Census subdivision,54.1231,-114.4017,1341.0,2011,1346.6
204,Barrhead,AB,4579.0,Census subdivision,54.1231,-114.4017,1407.0,2012,1310.8
205,Barrhead,AB,4579.0,Census subdivision,54.1231,-114.4017,1141.0,2013,1200.9
206,Barrhead,AB,4579.0,Census subdivision,54.1231,-114.4017,1385.0,2014,1088.4
207,Barrhead,AB,4579.0,Census subdivision,54.1231,-114.4017,1262.0,2015,1113.9
208,Barrie,ON,141434.0,Census subdivision,44.3894,-79.6903,878.0,2008,1357.159959
209,Barrie,ON,141434.0,Census subdivision,44.3894,-79.6903,917.0,2009,1450.0
210,Barrie,ON,141434.0,Census subdivision,44.3894,-79.6903,911.0,2010,1493.7
211,Barrie,ON,141434.0,Census subdivision,44.3894,-79.6903,706.0,2011,1346.6
212,Barrie,ON,141434.0,Census subdivision,44.3894,-79.6903,714.0,2012,1310.8
213,Barrie,ON,141434.0,Census subdivision,44.3894,-79.6903,722.0,2013,1200.9
214,Barrie,ON,141434.0,Census subdivision,44.3894,-79.6903,753.0,2014,1088.4
215,Barrie,ON,141434.0,Census subdivision,44.3894,-79.6903,673.0,2015,1113.9
216,Barrington,NS,6646.0,,43.5643,-65.5644,1795.0,2008,1357.159959
217,Barrington,NS,6646.0,,43.5643,-65.5644,1941.0,2009,1450.0
218,Barrington,NS,6646.0,,43.5643,-65.5644,1881.0,2010,1493.7
219,Barrington,NS,6646.0,,43.5643,-65.5644,1454.0,2011,1346.6
220,Barrington,NS,6646.0,,43.5643,-65.5644,1551.0,2012,1310.8
221,Barrington,NS,6646.0,,43.5643,-65.5644,1319.0,2013,1200.9
222,Barrington,NS,6646.0,,43.5643,-65.5644,1462.0,2014,1088.4
223,Barrington,NS,6646.0,,43.5643,-65.5644,1285.0,2015,1113.9
224,Basques Region,QC,8694.0,Census division,48.1,-69.06667,495.0,2008,1357.159959
225,Basques Region,QC,8694.0,Census division,48.1,-69.06667,669.0,2009,1450.0
226,Basques Region,QC,8694.0,Census division,48.1,-69.06667,734.0,2010,1493.7
227,Basques Region,QC,8694.0,Census division,48.1,-69.06667,722.0,2011,1346.6
228,Basques Region,QC,8694.0,Census division,48.1,-69.06667,661.0,2012,1310.8
229,Basques Region,QC,8694.0,Census division,48.1,-69.06667,759.0,2013,1200.9
