,Characters,Dialogue,Movie
535,OBI-WAN, Temp steady. Hatches open flaps extended drag fins . . .,Revenge of the Sith
537,ANAKIN, We lost something.,Revenge of the Sith
538,OBI-WAN, Not to worry we're still flying half the ship.,Revenge of the Sith
539,ANAKIN, Now we're really picking up speed . . . I'm going to shift a few degrees and see if I can slow us down.,Revenge of the Sith
540,OBI-WAN, Careful . . . we're heating up-twelve thousand . . . thirteen thousand . . .,Revenge of the Sith
541,ANAKIN, What's our speed?,Revenge of the Sith
542,OBI-WAN, Eight plus sixty-forty. Eight plus sixty-twenty. Eight plus sixty. Temp ten thousand nine thousand . . . we're in the atmosphere . . .,Revenge of the Sith
544,ANAKIN, Grab that . . . Keep us level.,Revenge of the Sith
545,OBI-WAN, Steady. Steady.,Revenge of the Sith
546,ANAKIN, Easy Artoo. Hang on this may get a little rough. We lost our heat shields.,Revenge of the Sith
547,OBI-WAN, Five thousand. Three thousand . . . two thousand. Fireships on the left and the right.,Revenge of the Sith
548,FlRESHIP PILOT, We'll take you in.,Revenge of the Sith
549,OBI-WAN, Copy that. Landing strip's straight ahead.,Revenge of the Sith
550,ANAKIN, We're coming in too hot.,Revenge of the Sith
551,OBI-WAN, Easy-easy.,Revenge of the Sith
555,OBI-WAN, Another happy landing.,Revenge of the Sith
558,ANAKIN,  Are you coming Master?,Revenge of the Sith
559,OBI-WAN, Oh no. I'm not brave enough for politics. I have to report to the Council. Besides someone needs to be the poster boy.,Revenge of the Sith
560,ANAKIN, Hold on this whole operation was your idea. You planned it. You led the rescue operation. You have to be the one to take the bows this time.,Revenge of the Sith
561,OBI-WAN, Sorry old friend. Let us not forget that you rescued me from the Buzz Droids. And you killed Count Dooku. And you rescued the Chancellor carrying me unconscious on your back and you managed to land that bucket of bolts safely . . .,Revenge of the Sith
562,ANAKIN, All because of your training Master. You deserve all those speeches of your greatness.,Revenge of the Sith
563,OBI-WAN, . . . the endless speeches . . . Anakin let's be fair. Today you are the hero and you deserve your glorious day with the politicians.,Revenge of the Sith
564,ANAKIN, All right. But you owe me . . . and not for saving your skin for the tenth time . . .,Revenge of the Sith
565,OBI-WAN, Ninth time . . . that business on Cato Nemoidia doesn't count. I'll see you at the briefing.,Revenge of the Sith
567,MACE WlNDU, Chancellor Palpatine what a welcome sight! Are you all right?,Revenge of the Sith
568,PALPATINE, Yes thanks to your two Jedi Knights. They killed Count Dooku but General Grievous has escaped once again.,Revenge of the Sith
569,MACE WlNDU, General Grievous will run and hide as he always does. He is a coward.,Revenge of the Sith
570,PALPATINE, That maybe true but with Count Dooku dead he is the leader of the Droid Army and I assure you the Senate will vote to continue the war as long as Grievous is alive.,Revenge of the Sith
571,MACE WlNDU, Then the Jedi Council will make finding Grievous our highest priority.,Revenge of the Sith
573,BAIL ORGANA, Skywalker the Republic cannot praise you enough.,Revenge of the Sith
575,ANAKIN, Thank you Senator Organa. The kidnapping was a bold move by the Separatists but it was a mistake that Obi-Wan and I were able to take advantage of.,Revenge of the Sith
577,C-3PO, It couldn't possibly be as bad as all that.,Revenge of the Sith
579,C-3PO,  Well there I agree with you. In fact I could do with a tune-up myself.,Revenge of the Sith
582,BAIL ORGANA, The end of Count Dooku will surely bring an end to this war and an end to the Chancellor's draconian security measures.,Revenge of the Sith
583,ANAKIN, I wish that were so but the fighting is going to continue until General Grievous is spare parts . . . The Chancellor is very clear about that.,Revenge of the Sith
585,BAIL ORGANA, I'll do everything I can with the Senate.,Revenge of the Sith
586,ANAKIN, Excuse me.,Revenge of the Sith
587,BAIL ORGANA, Certainly.,Revenge of the Sith
589,PADME, Oh Anakin! Thank goodness you're back.,Revenge of the Sith
590,ANAKIN, I missed you Padme. I've missed you so.,Revenge of the Sith
591,PADME, There were whispers . . . that you'd been killed. I've been living with unbearable dread.,Revenge of the Sith
592,ANAKIN, I'm back I'm all right. It feels like we've been apart for a lifetime. And it might have been ... If the Chancellor hadn't been kidnapped. I don't think they would have ever brought us back from the Outer Rim sieges.,Revenge of the Sith
594,PADME, Wait not here . . .,Revenge of the Sith
596,ANAKIN, Yes here! I'm tired of all this deception. I don't care if they know we're married.,Revenge of the Sith
597,PADME, Anakin don't say things like that. You're important to the Republic ... to ending this war. I love you more than anything but I won't let you give up your life as a Jedi for me . . .,Revenge of the Sith
598,ANAKIN, I've given my life to the Jedi order but I'd only give up my life for you.,Revenge of the Sith
599,PADME,  I wouldn't like that. I wouldn't like that one bit. Patience my handsome Jedi . . . Come to me later.,Revenge of the Sith
601,ANAKIN, Are you all right? You're trembling. What's going on?,Revenge of the Sith
602,PADME, I'm just excited to see you.,Revenge of the Sith
603,ANAKIN, That's not it. I sense more . . . what is it?,Revenge of the Sith
