,Characters,Dialogue,Movie,Gender,length
1240,CASSIAN, Hold on tight! We're coming down hard!,Rogue One,Male,7
1241,GENERAL DRAVEN, Try them again.,Rogue One,,3
1242,REBEL, I am sir. We... The signal's gone dead.,Rogue One,Male,8
1243,GENERAL DRAVEN, Squadron up target Eadu.,Rogue One,,4
1244,BODHI, How about now check stabilizers?,Rogue One,Male,5
1245,CASSIAN, Bodhi where's the lab?,Rogue One,Male,4
1246,BODHI, The research facility?,Rogue One,Male,3
1247,CASSIAN, Yeah. Where is it?,Rogue One,Male,4
1248,BODHI, It's just over the ridge.,Rogue One,Male,5
1249,CASSIAN, And that's a shuttle depot straight ahead of us? You are sure of that?,Rogue One,Male,14
1250,BODHI, Yes.We'll have to hope there's still an Imperial ship left to steal. ,Rogue One,Male,12
1251,CASSIAN, Here's what we're doing. Hopefully the storm keeps up and keeps us hidden down here.Bodhi you're coming with me. We'll go up the ridge and check it out.,Rogue One,Male,28
1252,JYN ERSO, I'm coming with you.,Rogue One,Female,4
1253,CASSIAN, No your father's message we can't risk it. You're the messenger.,Rogue One,Male,11
1254,CASSIAN, Get to work fixing our comms!All I want to do right now is get a handle on what we're up against.So we're going to go very small and very carefully up the rise and see what's what. Let's get out of here.,Rogue One,Male,42
1255,CHIRRUT, Does he look like a killer?,Rogue One,Male,6
1256,BAZER, No. He has the face of a friend.,Rogue One,,8
1257,JYN ERSO, Who are you talking about?,Rogue One,Female,5
1258,CHIRRUT, Captain Andor.,Rogue One,Male,2
1259,JYN ERSO, Why do you ask that? What do you mean does he look like a killer?,Rogue One,Female,15
1260,CHIRRUT, The Force moves darkly near a creature that's about to kill.,Rogue One,Male,11
1261,K-2SO, His weapon was in the sniper configuration.,Rogue One,Droid,7
1262,K-2SO, His weapon was in the sniper configuration.,Rogue One,Droid,7
1263,BODHI, No no no... We got to go up. You can't see much from down there. ,Rogue One,Male,15
1264,BAZE, Where are you going?,Rogue One,Male,4
1265,CHIRRUT, I'm going to follow Jyn. Her path is clear.,Rogue One,Male,9
1266,BAZE, Alone? Good luck!,Rogue One,Male,3
1267,CHIRRUT, I don't need luck I have you!,Rogue One,Male,7
1268,K-2SO, What are they doing? If Cassian comes back we're leaving without them.,Rogue One,Droid,12
1269,K-2SO, What are they doing? If Cassian comes back we're leaving without them.,Rogue One,Droid,12
1270,CASSIAN, You see Erso out there?,Rogue One,Male,5
1271,BAZE,We've come too far.,Rogue One,Male,4
1272,CHIRRUT,Patience my friend.,Rogue One,Male,3
1273,BODHI, That's him. That's him Galen in the dark suit.,Rogue One,Male,9
1274,CASSIAN,Get back down there and find us a ride out of here.,Rogue One,Male,12
1275,BODHI, What are you doing?,Rogue One,Male,4
1276,CASSIAN, You heard me.,Rogue One,Male,3
1277,BODHI, You said we came up here just to have a look.,Rogue One,Male,11
1278,CASSIAN,I'm here I'm looking. Go.Hurry!,Rogue One,Male,5
1279,KRENNIC, Excellent news Galen. The battle station is complete. You must be very proud.,Rogue One,Male,13
1280,GALEN ERSO, Proud as I can be Krennic.,Rogue One,Male,6
1281,KRENNIC, Gather your engineers I have an announcement. Is that all of them?,Rogue One,Male,12
1282,GALEN ERSO, Yes.,Rogue One,Male,1
1283,KRENNIC, Gentlemen.One of you betrayed the Empire. One of you has conspired with a pilot to send messages to the Rebellion. And I urge that traitor step forward.,Rogue One,Male,27
1284,KRENNIC, Very well I'll consider it a group effort then. Ready!,Rogue One,Male,10
1285,ENGINEER, No.,Rogue One,Male,1
1286,ENGINEER, No please.,Rogue One,Male,2
1287,KRENNIC, Aim... and...,Rogue One,Male,2
1288,ENGINEER, No no.,Rogue One,Male,2
1289,KRENNIC, fire!,Rogue One,Male,1
1290,GALEN ERSO,Stop! Stop! Krennic stop. It was me. It was me. They have nothing to do with it. Spare them.,Rogue One,Male,19
1291,KRENNIC, Fire!,Rogue One,Male,1
1292,KRENNIC, How do I know the weapon is complete?,Rogue One,Male,8
1293,GALEN ERSO, Let me share with you some details.,Rogue One,Male,7
1294,K-2SO, Cassian. Cassian can you hear me?,Rogue One,Droid,6
1295,K-2SO, Cassian. Cassian can you hear me?,Rogue One,Droid,6
1296,CASSIAN, I'm here.You got it working.,Rogue One,Male,5
1297,K-2SO,Affirmative yes although we have a problem! There's an Alliance squadron approaching.,Rogue One,Droid,12
1298,K-2SO,Affirmative yes although we have a problem! There's an Alliance squadron approaching.,Rogue One,Droid,12
1299,REBEL PILOT, Clear the area!,Rogue One,,3
1300,CASSIAN, No. No no no!Tell them to hold up!Jyn's on that platform!,Rogue One,Male,11
1301,KRENNIC,Now where have I heard that before?,Rogue One,Male,7
1302,K-2SO,Relay from Captain Andor.,Rogue One,Droid,4
1303,K-2SO,Relay from Captain Andor.,Rogue One,Droid,4
1304,REBEL, General.,Rogue One,Male,1
