,Characters,Dialogue,Movie
391,THREEPIO,Oh he excels at that sir.,A New Hope
394,OWEN,Luke? Luke? Luke? Where could he be                          loafing now!,A New Hope
397,OWEN,Have you seen Luke this morning?,A New Hope
398,AUNT BERU,He said he had some things to do                          before he started today so he left                          early.,A New Hope
399,OWEN,Uh? Did he take those two new droids                          with him?,A New Hope
400,AUNT BERU,I think so.,A New Hope
401,OWEN,Well he'd better have those units                          in the south range repaired be midday                          or there'll be hell to pay!,A New Hope
406,LUKE,(yelling)                         How's that.,A New Hope
408,LUKE,Old Ben Kenobi lives out in this                          direction somewhere but I don't see                          how that R2 unit could have come                          this far. We must have missed him.                          Uncle Owen isn't going to take this                          very well.,A New Hope
409,THREEPIO,Sir would it help if you told him                          it was my fault.,A New Hope
410,LUKE,(brightening)                         Sure. He needs you. He'd probably                          only deactivate you for a day or                          so...,A New Hope
411,THREEPIO,Deactivate! Well on the other hand                          if you hadn't removed his restraining                          bolt...,A New Hope
412,LUKE,Wait there's something dead ahead                          on the scanner. It looks like our                          droid... hit the accelerator.,A New Hope
420,LUKE,Hey whoa just where do you think                          you're going?,A New Hope
422,THREEPIO,Master Luke here is your rightful                          owner. We'll have no more of this                          Obi-Wan Kenobi jibberish... and don't                          talk to me about your mission either.                          You're fortunate he doesn't blast                          you into a million pieces right here.,A New Hope
423,LUKE,Well come on. It's getting late. I                          only hope we can get back before                          Uncle Owen really blows up.,A New Hope
424,THREEPIO,If you don't mind my saying so sir                          I think you should deactivate the                          little fugitive until you've gotten                          him back to your workshop.,A New Hope
425,LUKE,No he's not going to try anything.,A New Hope
427,LUKE,What's wrong with him now?,A New Hope
428,THREEPIO,Oh my... sir he says there are                          several creatures approaching from                          the southeast.,A New Hope
430,LUKE,Sandpeople! Or worst! Come on let's                          have a look. Come on.,A New Hope
433,LUKE,There are two Banthas down there but                          I don't see any... wait a second                          they're Sandpeople all right. I can                          see one of them now.,A New Hope
439,BEN,Hello there! Come here my little                          friend. Don't be afraid.,A New Hope
441,BEN,Don't worry he'll be all right.,A New Hope
442,LUKE,What happened?,A New Hope
443,BEN,Rest easy son you've had a busy                          day. You're fortunate you're still                          in one piece.,A New Hope
444,LUKE,Ben? Ben Kenobi! Boy am I glad to                          see you!,A New Hope
445,BEN,The Jundland wastes are not to be                          traveled lightly. Tell me young Luke                          what brings you out this far?,A New Hope
446,LUKE,Oh this little droid! I think he's                          searching for his former master...                          I've never seen such devotion in a                          droid before... there seems to be no                          stopping him. He claims to be the                          property of an Obi-Wan Kenobi. Is he                          a relative of yours? Do you know who                          he's talking about?,A New Hope
448,BEN,Obi-Wan Kenobi... Obi-Wan? Now thats                          a name I haven't heard in a long                          time... a long time.,A New Hope
449,LUKE,I think my uncle knew him. He said                          he was dead.,A New Hope
450,BEN,Oh he's not dead not... not yet.,A New Hope
451,LUKE,You know him!,A New Hope
452,BEN,Well of course of course I know                          him. He's me! I haven't gone by the                          name Obi-Wan since oh before you                          were born.,A New Hope
453,LUKE,Then the droid does belong to you.,A New Hope
454,BEN,Don't seem to remember ever owning a                          droid. Very interesting...,A New Hope
456,BEN,I think we better get indoors. The                          Sandpeople are easily startled but                          they will soon be back and in greater                          numbers.,A New Hope
458,LUKE,Threepio!,A New Hope
462,THREEPIO,Where am I? I must have taken a bad                          step...,A New Hope
463,LUKE,Can you stand? We've got to get out                          of here before the Sandpeople return.,A New Hope
464,THREEPIO,I don't think I can make it. You go                          on Master Luke. There's no sense in                          you risking yourself on my account.                          I'm done for.,A New Hope
466,LUKE,No you're not. What kind of talk is                          that?,A New Hope
468,BEN,Quickly son... they're on the move.,A New Hope
471,LUKE,No my father didn't fight in the                          wars. He was a navigator on a spice                          freighter.,A New Hope
472,BEN,That's what your uncle told you. He                          didn't hold with your father's ideals.                          Thought he should have stayed here                          and not gotten involved.,A New Hope
473,LUKE,You fought in the Clone Wars?,A New Hope
474,BEN,Yes I was once a Jedi Knight the                          same as your father.,A New Hope
475,LUKE,I wish I'd known him.,A New Hope
476,BEN,He was the best star-pilot in the                          galaxy and a cunning warrior. I                          understand you've become quite a                          good pilot yourself. And he was a                          good friend. Which reminds me...,A New Hope
478,BEN,I have something here for you. Your                          father wanted you to have this when                          you were old enough but your uncle                          wouldn't allow it. He feared you                          might follow old Obi-Wan on some                          damned-fool idealistic crusade like                          your father did.,A New Hope
479,THREEPIO,Sir if you'll not be needing me                          I'll close down for awhile.,A New Hope
480,LUKE,Sure go ahead.,A New Hope
482,LUKE,What is it?,A New Hope
483,BEN,Your fathers lightsaber. This is the                          weapon of a Jedi Knight. Not as clumsy                          or as random as a blaster.,A New Hope
485,BEN,An elegant weapon for a more civilized                          time. For over a thousand generations                          the Jedi Knights were the guardians                          of peace and justice in the Old                          Republic. Before the dark times                          before the Empire.,A New Hope
487,LUKE,How did my father die?,A New Hope
488,BEN,A young Jedi named Darth Vader who                          was a pupil of mine until he turned                          to evil helped the Empire hunt down                          and destroy the Jedi Knights. He                          betrayed and murdered your father.                          Now the Jedi are all but extinct.                          Vader was seduced by the dark side                          of the Force.,A New Hope
489,LUKE,The Force?,A New Hope
490,BEN,Well the Force is what gives a Jedi                          his power. It's an energy field                          created by all living things. It                          surrounds us and penetrates us. It                          binds the galaxy together.,A New Hope
492,BEN,Now let's see if we can't figure                          out what you are my little friend.                          And where you come from.,A New Hope
493,LUKE,I saw part of the message he was...,A New Hope
495,BEN,I seem to have found it.,A New Hope
497,LEIA,General Kenobi years ago you served                          my father in the Clone Wars. Now he                          begs you to help him in his struggle                          against the Empire. I regret that I                          am unable to present my father's                          request to you in person but my                          ship has fallen under attack and I'm                          afraid my mission to bring you to                          Alderaan has failed. I have placed                          information vital to the survival of                          the Rebellion into the memory systems                          of this R2 unit. My father will know                          how to retrieve it. You must see                          this droid safely delivered to him                          on Alderaan. This is our most                          desperate hour. Help me Obi-Wan                          Kenobi you're my only hope.,A New Hope
499,BEN,You must learn the ways of the Force                          if you're to come with me to Alderaan.,A New Hope
500,LUKE,(laughing)                         Alderaan? I'm not going to Alderaan.                          I've got to go home. It's late I'm                          in for it as it is.,A New Hope
501,BEN,I need your help Luke. She needs                          your help. I'm getting too old for                          this sort of thing.,A New Hope
