,Country_Residence,Origin,Lat_Residence,Lon_Residence,Lat_Origin,Lon_Origin,Count
232,Canada,El Salvador,56.130366,-106.34677099999999,13.794185,-88.89653,23462
233,Canada,Equatorial Guinea,56.130366,-106.34677099999999,1.6508009999999997,10.267895,12
234,Canada,Eritrea,56.130366,-106.34677099999999,15.179383999999999,39.782334000000006,13852
235,Canada,Estonia,56.130366,-106.34677099999999,58.595271999999994,25.013607,79
236,Canada,Ethiopia,56.130366,-106.34677099999999,9.145,40.489672999999996,26590
237,Canada,Fiji,56.130366,-106.34677099999999,-16.578193,179.414413,3
238,Canada,Finland,56.130366,-106.34677099999999,61.92411,25.748151,5
239,Canada,France,56.130366,-106.34677099999999,46.227638,2.213749,87
240,Canada,Gabon,56.130366,-106.34677099999999,-0.803689,11.609444,4
241,Canada,Gambia,56.130366,-106.34677099999999,13.443182,-15.310139000000001,44
242,Canada,Georgia,56.130366,-106.34677099999999,42.315407,43.356891999999995,60
243,Canada,Germany,56.130366,-106.34677099999999,51.165690999999995,10.451526,1877
244,Canada,Ghana,56.130366,-106.34677099999999,7.946527000000001,-1.0231940000000002,194
245,Canada,Greece,56.130366,-106.34677099999999,39.074208,21.824312,341
246,Canada,Guatemala,56.130366,-106.34677099999999,15.783470999999999,-90.23075899999999,5348
247,Canada,Guinea,56.130366,-106.34677099999999,9.945587,-9.696645,32
248,Canada,Guinea-Bissau,56.130366,-106.34677099999999,11.803749,-15.180413,1
249,Canada,Guyana,56.130366,-106.34677099999999,4.860416000000001,-58.93018000000001,25
250,Canada,Haiti,56.130366,-106.34677099999999,18.971187,-72.28521500000001,152
251,Canada,Honduras,56.130366,-106.34677099999999,15.199998999999998,-86.241905,311
252,Canada,Hungary,56.130366,-106.34677099999999,47.162494,19.503304,8085
253,Canada,Iceland,56.130366,-106.34677099999999,64.96305100000001,-19.020835,4
254,Canada,India,56.130366,-106.34677099999999,20.593684,78.96288,1574
255,Canada,Indonesia,56.130366,-106.34677099999999,-0.789275,113.921327,224
256,Canada,Iran,56.130366,-106.34677099999999,32.427908,53.68804599999999,21476
257,Canada,Iraq,56.130366,-106.34677099999999,33.223191,43.679291,46922
258,Canada,Ireland,56.130366,-106.34677099999999,53.41291,-8.243889999999999,4
259,Canada,Israel,56.130366,-106.34677099999999,31.046051000000002,34.851612,74
260,Canada,Italy,56.130366,-106.34677099999999,41.87194,12.56738,345
261,Canada,Jamaica,56.130366,-106.34677099999999,18.109581,-77.297508,20
262,Canada,Japan,56.130366,-106.34677099999999,36.204824,138.252924,9
263,Canada,Jordan,56.130366,-106.34677099999999,30.585164000000002,36.238414,390
264,Canada,Kazakhstan,56.130366,-106.34677099999999,48.019573,66.923684,60
265,Canada,Kenya,56.130366,-106.34677099999999,-0.023559,37.906193,1351
266,Canada,Kuwait,56.130366,-106.34677099999999,29.311659999999996,47.481766,152
267,Canada,Kyrgyzstan,56.130366,-106.34677099999999,41.20438,74.766098,137
268,Canada,Laos,56.130366,-106.34677099999999,19.856270000000002,102.495496,17488
269,Canada,Latvia,56.130366,-106.34677099999999,56.879635,24.603189,123
270,Canada,Lebanon,56.130366,-106.34677099999999,33.854721000000005,35.862285,1060
271,Canada,Lesotho,56.130366,-106.34677099999999,-29.609988,28.233608,2
272,Canada,Liberia,56.130366,-106.34677099999999,6.4280550000000005,-9.429499,2216
273,Canada,Libya,56.130366,-106.34677099999999,26.3351,17.228331,50
274,Canada,Lithuania,56.130366,-106.34677099999999,55.169438,23.881275,96
275,Canada,Macedonia [FYROM],56.130366,-106.34677099999999,41.608635,21.745275,29
276,Canada,Madagascar,56.130366,-106.34677099999999,-18.766947000000002,46.869107,16
277,Canada,Malawi,56.130366,-106.34677099999999,-13.254307999999998,34.301525,39
278,Canada,Malaysia,56.130366,-106.34677099999999,4.210483999999999,101.97576600000001,63
279,Canada,Maldives,56.130366,-106.34677099999999,3.202778,73.22068,4
280,Canada,Mali,56.130366,-106.34677099999999,17.570692,-3.9961660000000006,7
281,Canada,Malta,56.130366,-106.34677099999999,35.937496,14.375416,25
282,Canada,Mauritania,56.130366,-106.34677099999999,21.00789,-10.940835,156
283,Canada,Mexico,56.130366,-106.34677099999999,23.634501,-102.552784,108
284,Canada,Moldova,56.130366,-106.34677099999999,47.411631,28.369884999999996,10
285,Canada,Mongolia,56.130366,-106.34677099999999,46.862496,103.84665600000001,1
286,Canada,Montenegro,56.130366,-106.34677099999999,42.708678000000006,19.37439,4
287,Canada,Morocco,56.130366,-106.34677099999999,31.791702,-7.09262,40
288,Canada,Mozambique,56.130366,-106.34677099999999,-18.665695,35.529562,461
289,Canada,Namibia,56.130366,-106.34677099999999,-22.957639999999998,18.49041,7
290,Canada,Nepal,56.130366,-106.34677099999999,28.394857000000002,84.12400799999999,76
291,Canada,Netherlands,56.130366,-106.34677099999999,52.132633,5.291266,104
292,Canada,Nicaragua,56.130366,-106.34677099999999,12.865416,-85.207229,4167
293,Canada,Nigeria,56.130366,-106.34677099999999,9.081999,8.675277000000001,209
294,Canada,North Korea,56.130366,-106.34677099999999,40.339852,127.510093,2
295,Canada,Norway,56.130366,-106.34677099999999,60.472024,8.468946,5
296,Canada,Oman,56.130366,-106.34677099999999,21.512583,55.923255000000005,12
