,Country_Residence,Origin,Year,Count,Lat_Residence,Lon_Residence,Lat_Origin,Lon_Origin
251,France,Palestinian Territories,2016,10,46.227638,2.213749,31.952162,35.233154
252,France,Rwanda,2016,10,46.227638,2.213749,-1.940278,29.873888
253,France,Sudan,2016,5,46.227638,2.213749,12.862807,30.217636
254,France,Somalia,2016,20,46.227638,2.213749,5.152149,46.199616
255,France,Syria,2016,1190,46.227638,2.213749,34.802075,38.996815000000005
256,France,Vietnam,2016,5,46.227638,2.213749,14.058323999999999,108.277199
257,United Kingdom,Burundi,2016,6,55.378051,-3.435973,-3.3730559999999996,29.918885999999997
258,United Kingdom,Congo [DRC],2016,219,55.378051,-3.435973,-4.038333000000001,21.758664000000003
259,United Kingdom,Eritrea,2016,34,55.378051,-3.435973,15.179383999999999,39.782334000000006
260,United Kingdom,Ethiopia,2016,140,55.378051,-3.435973,9.145,40.489672999999996
261,United Kingdom,Iraq,2016,138,55.378051,-3.435973,33.223191,43.679291
264,United Kingdom,Sudan,2016,111,55.378051,-3.435973,12.862807,30.217636
265,United Kingdom,Somalia,2016,121,55.378051,-3.435973,5.152149,46.199616
266,United Kingdom,Sudan,2016,39,55.378051,-3.435973,12.862807,30.217636
267,United Kingdom,Syria,2016,4369,55.378051,-3.435973,34.802075,38.996815000000005
269,Hungary,Syria,2016,15,47.162494,19.503304,34.802075,38.996815000000005
270,Ireland,Iraq,2016,11,53.41291,-8.243889999999999,33.223191,43.679291
271,Ireland,Palestinian Territories,2016,10,53.41291,-8.243889999999999,31.952162,35.233154
272,Ireland,Syria,2016,335,53.41291,-8.243889999999999,34.802075,38.996815000000005
273,Iceland,Syria,2016,56,64.96305100000001,-19.020835,34.802075,38.996815000000005
274,Italy,Eritrea,2016,47,41.87194,12.56738,15.179383999999999,39.782334000000006
276,Italy,Iraq,2016,7,41.87194,12.56738,33.223191,43.679291
277,Italy,Syria,2016,482,41.87194,12.56738,34.802075,38.996815000000005
278,Japan,Myanmar [Burma],2016,18,36.204824,138.252924,21.913965,95.956223
280,South Korea,Myanmar [Burma],2016,41,35.907757000000004,127.766922,21.913965,95.956223
281,Lithuania,Syria,2016,25,55.169438,23.881275,34.802075,38.996815000000005
282,Luxembourg,Syria,2016,52,49.815273,6.129583,34.802075,38.996815000000005
283,Latvia,Syria,2016,6,56.879635,24.603189,34.802075,38.996815000000005
