year,country_origin_id,country_destination_id,hs92_product_id,import_val,import_val_pct
2000,PRK,KHM,ALL,35013,0.000065%
2000,PRK,LBN,ALL,3594393,0.0066%
2000,PRK,MAC,ALL,14779,0.000027%
2000,PRK,MYS,ALL,587791,0.0011%
2000,PRK,QAT,ALL,65890188,0.12%
2000,PRK,SGP,ALL,42992116,0.079%
2000,PRK,THA,ALL,187164220,0.35%
2000,PRK,VNM,ALL,1379000,0.0025%
2000,PRK,AUT,ALL,6806382,0.013%
2000,PRK,BGR,ALL,123731,0.00023%
2000,PRK,BLR,ALL,2225100,0.0041%
2000,PRK,BLX,ALL,6821423,0.013%
2000,PRK,CHE,ALL,5766303,0.011%
2000,PRK,CZE,ALL,3058852,0.0056%
2000,PRK,DEU,ALL,50671000,0.093%
2000,PRK,DNK,ALL,5987242,0.011%
2000,PRK,ESP,ALL,15291569,0.028%
2000,PRK,FIN,ALL,638933,0.0012%
2000,PRK,FRA,ALL,8619162,0.016%
2000,PRK,GBR,ALL,22982649,0.042%
2000,PRK,GRC,ALL,1238239,0.0023%
2000,PRK,HRV,ALL,154887,0.00029%
2000,PRK,HUN,ALL,630000,0.0012%
2000,PRK,ITA,ALL,12440953,0.023%
2000,PRK,LTU,ALL,86112,0.00016%
2000,PRK,MDA,ALL,9297,0.000017%
2000,PRK,NLD,ALL,12739913,0.023%
2000,PRK,NOR,ALL,106404,0.00020%
2000,PRK,POL,ALL,1909000,0.0035%
2000,PRK,PRT,ALL,20614,0.000038%
2000,PRK,RUS,ALL,35397045,0.065%
2000,PRK,SVK,ALL,71214,0.00013%
2000,PRK,SVN,ALL,93811,0.00017%
2000,PRK,SWE,ALL,3552811,0.0066%
2000,PRK,UKR,ALL,7341093,0.014%
2000,PRK,CAN,ALL,15004828,0.028%
2000,PRK,CRI,ALL,367416,0.00068%
2000,PRK,CUB,ALL,42812,0.000079%
2000,PRK,HND,ALL,2029261,0.0037%
2000,PRK,JAM,ALL,17780,0.000033%
2000,PRK,MEX,ALL,10513600,0.019%
2000,PRK,NIC,ALL,35811,0.000066%
2000,PRK,TTO,ALL,91160,0.00017%
2000,PRK,USA,ALL,2637333,0.0049%
2000,PRK,AUS,ALL,1134726,0.0021%
2000,PRK,FJI,ALL,7696,0.000014%
2000,PRK,PNG,ALL,5284,0.0000097%
2000,PRK,BOL,ALL,20399,0.000038%
2000,PRK,BRA,ALL,109195117,0.20%
2000,PRK,CHL,ALL,3446513,0.0064%
2000,PRK,COL,ALL,2678,0.0000049%
2000,PRK,ECU,ALL,1641421,0.0030%
2000,PRK,PER,ALL,2225806,0.0041%
2000,PRK,PRY,ALL,40586,0.000075%
2000,PRK,URY,ALL,395023,0.00073%
2001,PRK,CAF,ALL,21823,0.000040%
2001,PRK,CIV,ALL,126410,0.00023%
2001,PRK,DZA,ALL,164100,0.00030%
2001,PRK,EGY,ALL,1461,0.0000027%
2001,PRK,GAB,ALL,1253629,0.0023%
2001,PRK,GHA,ALL,4489,0.0000083%
2001,PRK,GIN,ALL,7615,0.000014%
2001,PRK,KEN,ALL,73015,0.00013%
2001,PRK,MDG,ALL,23374,0.000043%
2001,PRK,MLI,ALL,5281809,0.0097%
2001,PRK,MRT,ALL,51343,0.000095%
2001,PRK,MUS,ALL,10168,0.000019%
2001,PRK,NGA,ALL,25758277,0.047%
2001,PRK,SDN,ALL,565486,0.0010%
2001,PRK,TUN,ALL,6548,0.000012%
2001,PRK,UGA,ALL,36134,0.000067%
2001,PRK,ZAF,ALL,1918247,0.0035%
2001,PRK,ZMB,ALL,39749,0.000073%
2001,PRK,BGD,ALL,592772,0.0011%
2001,PRK,BHR,ALL,155388,0.00029%
2001,PRK,BRN,ALL,3730,0.0000069%
2001,PRK,CHN,ALL,564446187,1.0%
2001,PRK,CYP,ALL,19155,0.000035%
2001,PRK,HKG,ALL,41259995,0.076%
2001,PRK,IDN,ALL,3510230,0.0065%
2001,PRK,IND,ALL,170250491,0.31%
2001,PRK,IRN,ALL,109812,0.00020%
2001,PRK,ISR,ALL,13000,0.000024%
2001,PRK,JPN,ALL,1047203224,1.9%
2001,PRK,KGZ,ALL,1399,0.0000026%
2001,PRK,KHM,ALL,11611,0.000021%
2001,PRK,LBN,ALL,11936,0.000022%
2001,PRK,LKA,ALL,15278,0.000028%
2001,PRK,MAC,ALL,20371,0.000038%
2001,PRK,MNG,ALL,40500,0.000075%
2001,PRK,MYS,ALL,7064585,0.013%
2001,PRK,SAU,ALL,223223530,0.41%
2001,PRK,SGP,ALL,87506927,0.16%
2001,PRK,THA,ALL,101887164,0.19%
2001,PRK,TUR,ALL,1156402,0.0021%
2001,PRK,VNM,ALL,4754424,0.0088%
2001,PRK,AUT,ALL,5827193,0.011%
2001,PRK,BGR,ALL,366792,0.00068%
2001,PRK,BLR,ALL,2885800,0.0053%
2001,PRK,BLX,ALL,3160800,0.0058%
2001,PRK,CHE,ALL,8185097,0.015%
2001,PRK,CZE,ALL,369600,0.00068%
2001,PRK,DEU,ALL,78791000,0.15%
2001,PRK,DNK,ALL,11507475,0.021%
2001,PRK,ESP,ALL,31524446,0.058%
2001,PRK,EST,ALL,924447,0.0017%
2001,PRK,FIN,ALL,1092618,0.0020%
2001,PRK,FRA,ALL,6660099,0.012%
2001,PRK,GBR,ALL,40345503,0.074%
2001,PRK,GRC,ALL,1446835,0.0027%
2001,PRK,HRV,ALL,23016,0.000042%
2001,PRK,HUN,ALL,477000,0.00088%
2001,PRK,IRL,ALL,15225041,0.028%
2001,PRK,ITA,ALL,9597458,0.018%
2001,PRK,LTU,ALL,1875,0.0000035%
2001,PRK,NLD,ALL,10686321,0.020%
2001,PRK,POL,ALL,1764000,0.0033%
2001,PRK,PRT,ALL,256017,0.00047%
2001,PRK,RUS,ALL,57380624,0.11%
2001,PRK,SVK,ALL,474949,0.00088%
2001,PRK,SVN,ALL,104816,0.00019%
2001,PRK,SWE,ALL,3829838,0.0071%
2001,PRK,UKR,ALL,2676117,0.0049%
2001,PRK,CAN,ALL,2602054,0.0048%
2001,PRK,CRI,ALL,50327,0.000093%
2001,PRK,CUB,ALL,3803424,0.0070%
2001,PRK,HND,ALL,2677071,0.0049%
2001,PRK,MEX,ALL,17129096,0.032%
2001,PRK,TTO,ALL,338525,0.00062%
2001,PRK,USA,ALL,85473,0.00016%
2001,PRK,PNG,ALL,133079,0.00025%
2001,PRK,BOL,ALL,83998,0.00015%
2001,PRK,BRA,ALL,208248081,0.38%
2001,PRK,CHL,ALL,1028494,0.0019%
2001,PRK,COL,ALL,29084,0.000054%
2001,PRK,ECU,ALL,1525770,0.0028%
2001,PRK,PER,ALL,10352491,0.019%
2001,PRK,PRY,ALL,557334,0.0010%
2001,PRK,SUR,ALL,65748,0.00012%
2001,PRK,URY,ALL,214264,0.00040%
2002,PRK,BEN,ALL,1361581,0.0025%
2002,PRK,CAF,ALL,32517,0.000060%
2002,PRK,CIV,ALL,3291,0.0000061%
2002,PRK,DZA,ALL,9321244,0.017%
2002,PRK,GAB,ALL,1410530,0.0026%
2002,PRK,GIN,ALL,3490,0.0000064%
2002,PRK,KEN,ALL,16604,0.000031%
2002,PRK,MDG,ALL,71587,0.00013%
2002,PRK,MLI,ALL,1881598,0.0035%
2002,PRK,MOZ,ALL,10092,0.000019%
2002,PRK,MRT,ALL,70669,0.00013%
2002,PRK,MUS,ALL,4340,0.0000080%
