,AB,Age,BB,From,G,H,HR,OPS,PA,R,SB,SO,To,WAR,experience,names,Zero,Year_difference,index,experience_distribution
115,5,29.038,0,2002,3,3,0,1.4669999999999999,6,1,0,1,2002,0.2,1,Dusty Wathan,0,0,1,487
116,0,26.18,0,2002,0,0,0,,0,0,0,0,2002,0.0,1,Scott Wiggins,0,0,1,487
117,3,26.083000000000002,0,2002,1,0,0,0.0,3,0,0,1,2002,-0.1,1,Ron Wright,0,0,1,487
118,1,26.267,0,2003,12,0,0,0.0,1,0,0,0,2003,0.0,1,Edwin Almonte,0,0,1,487
119,0,28.182,0,2003,19,0,0,,0,0,0,0,2003,0.0,1,Nate Bland,0,0,1,487
120,7,29.346999999999998,0,2003,4,0,0,0.0,7,0,0,4,2003,-0.1,1,Mark Budzinski,0,0,1,487
121,0,27.003,0,2003,11,0,0,,0,0,0,0,2003,0.0,1,Juan Cerros,0,0,1,487
122,2,28.111,0,2003,2,0,0,0.0,2,0,0,2,2003,-0.1,1,Jim Chamblee,0,0,1,487
123,1,25.096,0,2003,1,0,0,0.0,1,0,0,0,2003,-0.1,1,Travis Chapman,0,0,1,487
124,4,25.328000000000003,0,2003,2,0,0,0.0,4,0,0,3,2003,0.0,1,Roger Deago,0,0,1,487
125,2,29.336,0,2003,2,0,0,0.0,2,0,0,1,2003,-0.1,1,Joe Depastino,0,0,1,487
126,0,24.361,0,2003,2,0,0,,0,0,0,0,2003,0.0,1,Anthony Ferrari,0,0,1,487
127,7,22.103,1,2003,23,1,0,0.536,8,0,0,3,2003,0.0,1,Matt Ford,0,0,1,487
128,0,26.302,0,2003,4,0,0,,0,0,0,0,2003,0.0,1,Jason Gilfillan,0,0,1,487
129,7,30.247,0,2003,6,1,0,0.28600000000000003,7,0,0,2,2003,-0.1,1,Mike Glavine,0,0,1,487
130,19,26.145,1,2003,12,3,0,0.396,21,1,0,8,2003,-0.1,1,Tom Gregorio,0,0,1,487
131,6,22.281999999999996,0,2003,6,1,0,0.33299999999999996,7,2,0,2,2003,0.0,1,Josh Hall,0,0,1,487
132,0,27.118000000000002,0,2003,2,0,0,,0,0,0,0,2003,0.0,1,Bryan Hebson,0,0,1,487
133,8,27.191,1,2003,5,3,0,0.9440000000000001,9,1,0,1,2003,0.1,1,Gary Johnson,0,0,1,487
134,3,26.128,0,2003,8,1,0,0.667,3,3,0,2,2003,-0.1,1,Rontrez Johnson,0,0,1,487
135,107,26.346,10,2003,40,23,3,0.653,121,11,0,21,2003,-0.2,1,Jason Jones,0,0,1,487
136,8,28.136,0,2003,6,1,0,0.375,8,0,0,6,2003,0.0,1,Graham Koonce,0,0,1,487
137,0,27.021,0,2003,0,0,0,,0,0,0,0,2003,0.0,1,Aaron Looper,0,0,1,487
138,1,30.36,0,2003,2,0,0,0.0,1,0,0,1,2003,0.0,1,David Manning,0,0,1,487
139,4,23.250999999999998,0,2003,4,0,0,0.0,4,0,0,3,2003,-0.1,1,Luis Martinez,0,0,1,487
140,0,25.250999999999998,0,2003,0,0,0,,0,0,0,0,2003,0.0,1,Chris Mears,0,0,1,487
141,45,29.101999999999997,0,2003,26,10,0,0.484,46,3,0,12,2003,-0.2,1,Carlos Mendez,0,0,1,487
142,71,23.361,3,2003,61,10,2,0.41200000000000003,77,14,8,21,2003,-0.5,1,Jose Morban,0,0,1,487
143,2,28.226,0,2003,1,0,0,0.0,2,0,0,1,2003,-0.1,1,Tony Mounce,0,0,1,487
144,1,32.001999999999995,0,2003,2,1,0,2.0,1,0,0,0,2003,0.1,1,Kevin Ohme,0,0,1,487
145,1,25.253,0,2003,1,0,0,0.0,1,0,0,1,2003,0.0,1,Mario Ramos,0,0,1,487
146,4,27.334,0,2003,15,1,0,0.5,4,0,0,1,2003,0.0,1,Scott Randall,0,0,1,487
147,24,24.035999999999998,1,2003,15,3,1,0.484,27,3,2,9,2003,-0.5,1,Prentice Redman,0,0,1,487
148,2,27.079,0,2003,1,2,0,2.0,2,0,0,0,2003,0.1,1,Jason Roach,0,0,1,487
149,0,25.195,0,2003,1,0,0,,0,0,0,0,2003,0.0,1,Rodrigo Rosario,0,0,1,487
150,0,22.048000000000002,0,2003,3,0,0,,0,0,0,0,2003,0.0,1,Felix Sanchez,0,0,1,487
151,15,29.116,0,2003,8,3,1,0.733,15,2,0,3,2003,-0.1,1,Francisco Santos,0,0,1,487
152,0,29.294,0,2003,0,0,0,,0,0,0,0,2003,0.0,1,Brian Schmack,0,0,1,487
153,44,25.024,3,2003,21,7,1,0.485,47,3,1,9,2003,-0.1,1,Stephen Smitherman,0,0,1,487
154,81,25.103,11,2003,37,20,3,0.753,93,14,0,24,2003,0.1,1,Dernell Stenson,0,0,1,487
155,7,25.211,0,2003,7,1,0,0.28600000000000003,7,0,1,3,2003,0.0,1,Carlos Valderrama,0,0,1,487
156,37,26.234,2,2003,20,4,0,0.289,39,0,0,13,2003,-0.5,1,Peter Zoccolillo,0,0,1,487
157,11,26.307,0,2004,7,2,0,0.364,12,1,0,5,2004,-0.2,1,Jason Alfaro,0,0,1,487
158,0,26.129,0,2004,0,0,0,,0,0,0,0,2004,0.0,1,Dusty Bergman,0,0,1,487
159,0,27.061,0,2004,0,0,0,,0,0,0,0,2004,0.0,1,Jamie Brown,0,0,1,487
160,15,24.276999999999997,1,2004,9,2,0,0.38799999999999996,16,2,0,3,2004,-0.2,1,Ramon Castro,0,0,1,487
161,33,26.052,6,2004,14,5,2,0.6759999999999999,39,5,0,19,2004,0.1,1,Eric Crozier,0,0,1,487
162,0,27.064,0,2004,0,0,0,,0,0,0,0,2004,0.0,1,Kyle Denney,0,0,1,487
163,107,26.294,7,2004,50,24,3,0.6459999999999999,114,5,1,31,2004,0.1,1,Doug DeVore,0,0,1,487
164,1,24.059,0,2004,1,0,0,0.0,1,0,0,0,2004,0.0,1,Felix Diaz,0,0,1,487
165,6,28.354,0,2004,4,1,0,0.33299999999999996,6,0,0,1,2004,0.0,1,Matt Erickson,0,0,1,487
166,39,24.11,8,2004,21,7,0,0.583,49,7,0,14,2004,0.1,1,Byron Gettis,0,0,1,487
167,1,26.266,0,2004,5,0,0,0.0,1,0,0,0,2004,0.0,1,Chris Gissell,0,0,1,487
168,0,24.265,0,2004,7,0,0,,0,0,0,0,2004,0.0,1,Frank Gracesqui,0,0,1,487
169,1,26.046,0,2004,4,0,0,0.0,1,0,0,1,2004,0.0,1,Matt Hensley,0,0,1,487
170,0,25.155,0,2004,1,0,0,,0,0,0,0,2004,0.0,1,Joe Hietpas,0,0,1,487
171,0,25.094,0,2004,1,0,0,,0,0,0,0,2004,0.0,1,Justin Huisman,0,0,1,487
172,160,29.006,14,2004,42,44,9,0.835,176,17,0,47,2004,0.6,1,Bucky Jacobsen,0,0,1,487
173,54,22.031999999999996,1,2004,22,9,0,0.40399999999999997,55,5,0,21,2004,-0.6,1,Josh Kroeger,0,0,1,487
174,14,25.221,0,2004,7,0,0,0.0,14,0,0,4,2004,-0.7,1,Josh Labandeira,0,0,1,487
175,4,30.320999999999998,1,2004,6,1,0,0.75,6,1,0,0,2004,0.2,1,Mickey Lopez,0,0,1,487
176,13,23.081,0,2004,9,2,0,0.385,13,3,0,1,2004,-0.1,1,Val Majewski,0,0,1,487
177,0,26.000999999999998,0,2004,0,0,0,,0,0,0,0,2004,0.0,1,Sam Marsonek,0,0,1,487
178,0,25.241999999999997,0,2004,2,0,0,,0,0,0,0,2004,0.0,1,Anastacio Martinez,0,0,1,487
179,1,28.209,0,2004,8,0,0,0.0,1,0,0,0,2004,0.0,1,Sam McConnell,0,0,1,487
180,0,23.018,0,2004,0,0,0,,0,0,0,0,2004,0.0,1,Sam Narron,0,0,1,487
181,0,25.041,0,2004,0,0,0,,0,0,0,0,2004,0.0,1,Adam Peterson,0,0,1,487
182,49,27.221999999999998,5,2004,16,8,1,0.515,56,4,0,12,2004,-0.5,1,Simon Pond,0,0,1,487
183,0,28.124000000000002,0,2004,0,0,0,,0,0,0,0,2004,0.0,1,Jake Robbins,0,0,1,487
184,2,22.254,0,2004,1,0,0,0.0,2,0,0,1,2004,0.0,1,Chris Saenz,0,0,1,487
185,0,25.081,0,2004,0,0,0,,0,0,0,0,2004,0.0,1,Phil Seibel,0,0,1,487
186,0,28.147,0,2004,0,0,0,,0,0,0,0,2004,0.0,1,Jimmy Serrano,0,0,1,487
187,0,25.18,0,2004,0,0,0,,0,0,0,0,2004,0.0,1,Ryan Snare,0,0,1,487
188,1,25.15,0,2004,7,0,0,0.0,1,0,0,1,2004,0.0,1,Jason Szuminski,0,0,1,487
189,6,25.136,1,2004,2,0,0,0.14300000000000002,7,0,0,0,2004,-0.1,1,Mike Tonis,0,0,1,487
190,0,24.246,0,2004,0,0,0,,0,0,0,0,2004,0.0,1,Eduardo Villacis,0,0,1,487
191,0,26.075,0,2004,11,0,0,,0,0,0,0,2004,0.0,1,Steve Watkins,0,0,1,487
192,38,22.141,0,2005,17,5,0,0.263,38,3,0,10,2005,-0.4,1,William Bergolla,0,0,1,487
193,62,23.318,2,2005,56,11,1,0.49,65,7,1,19,2005,-0.8,1,Tony Blanco,0,0,1,487
194,0,24.057,0,2005,0,0,0,,0,0,0,0,2005,0.0,1,Travis Bowyer,0,0,1,487
195,19,27.118000000000002,1,2005,11,2,0,0.255,20,3,1,4,2005,-0.1,1,Jaime Bubela,0,0,1,487
