,Movies,count,mean
438,The Avengers,1,8.0
439,The Baader Meinhof Complex,1,6.0
440,The Babadook,2,8.0
441,The Band’s Visit,1,3.0
442,The Beat That My Heart Skipped,1,4.0
443,The Blind Swordsman: Zatoichi,1,5.0
444,The Bourne Ultimatum,1,9.0
445,The Box of Life,1,3.0
446,The Captive,1,2.0
447,The Century of the Self,1,4.0
448,The Child,2,6.5
449,The Circle,2,4.0
450,The Clock,1,9.0
451,The Colonial Misunderstanding,1,7.0
452,The Comedy,2,5.5
453,The Congress,2,9.0
454,The Consequences of Love,1,6.0
455,The Curious Case of Benjamin Button,2,8.0
456,The Dark Knight,9,4.666666666666667
457,The Days When I Do Not Exist,1,10.0
458,The Death of Mr Lazarescu,3,6.333333333333333
459,The Deep Blue Sea,2,5.0
460,The Departed,2,5.5
461,The Descendants,1,3.0
462,The Diving Bell and the Butterfly,5,5.0
463,The Edge of Heaven,1,5.0
464,The External World,1,5.0
465,The Five Obstructions,1,9.0
466,The Forest for the Trees,1,7.0
467,The Fourth Watch,1,9.0
468,The Future,1,8.0
469,The Gatekeepers,1,4.0
470,The Ghost Writer,2,4.0
471,The Gleaners and I,4,5.5
472,The Grand Budapest Hotel,12,4.666666666666667
473,The Great Beauty,6,5.0
474,The Hateful Eight,1,10.0
475,The Headless Woman,6,7.0
476,The Holy Girl,1,9.0
477,The Host,1,6.0
478,The Hours,1,2.0
479,The House of Mirth,1,10.0
480,The Hunt,1,10.0
481,The Hurt Locker,6,4.666666666666667
482,The Imposter,1,7.0
483,The Incredibles,3,6.333333333333333
484,The Intruder,2,7.0
485,The King’s Speech,1,8.0
486,The Lady and the Duke,1,8.0
487,The Last of the Unjust,3,4.333333333333333
488,The Lives of Others,10,5.2
489,The Lobster,1,7.0
490,The Look of Silence,4,6.0
491,The Lord of the Rings: The Fellowship of the Ring,2,7.0
492,The Lord of the Rings: The Return of the King,1,3.0
493,The Magdalene Sisters,1,8.0
494,The Man Without A Past,1,10.0
495,The Master,10,4.2
496,The Matchmaker,1,5.0
497,The Namesake,1,5.0
498,The New World,8,4.625
499,The Orphanage,1,9.0
500,The Pianist,3,3.3333333333333335
501,The Piano Teacher,1,1.0
502,The Prestige,1,4.0
503,The Profession of Arms,1,4.0
504,The Queen,1,10.0
505,The Return,5,5.2
506,The Revenant,1,10.0
507,The Romance of Astrea and Celadon,1,3.0
508,The Royal Tenenbaums,7,6.142857142857143
509,The Sapphires,1,8.0
510,The Secret in Their Eyes,3,3.3333333333333335
511,The Skin I Live In,1,4.0
512,The Sky Trembles and the Earth Is Afraid and the Two Eyes Are Not Brothers,1,8.0
513,The Social Network,13,6.0
514,The Son,5,8.4
515,The Son's Room,2,5.5
516,The Squid and the Whale,1,9.0
