,Characters,Dialogue,Movie
450,LUKE,But I need your help. I've come back to complete the training.,Return of the Jedi
451,YODA,No more training do you require. Already know you that which you need.,Return of the Jedi
453,LUKE,Then I am a Jedi?,Return of the Jedi
456,LUKE,Master Yoda... is Darth Vader my father?,Return of the Jedi
458,YODA,Mmm... rest I need. Yes... rest.,Return of the Jedi
460,LUKE,Yoda I must know.,Return of the Jedi
461,YODA,Your father he is.,Return of the Jedi
463,YODA,Told you did he?,Return of the Jedi
464,LUKE,Yes.,Return of the Jedi
466,YODA,Unexpected this is and unfortunate...,Return of the Jedi
467,LUKE,Unfortunate that I know the truth?,Return of the Jedi
470,LUKE,Well I'm sorry.,Return of the Jedi
471,YODA,Remember a Jedi's strength flows from the Force.  But beware.  Anger fear aggression.The dark side are they.  Once you start down the dark path forever will it dominate yourdestiny.,Return of the Jedi
473,YODA,Luke...Luke...Do not...Do not underestimate the powers of the Emperor or suffer your father's fate you will. Luke when gone am I(cough)the last of the Jedi will you be. Luke the Force runs strong in your family. Pass on what you have learned Luke... (with great effort)There is...another...Sky...Sky...walker.,Return of the Jedi
477,LUKE,I can't do it Artoo. I can't go on alone.,Return of the Jedi
480,LUKE,Obi-Wan! Why didn't you tell me?,Return of the Jedi
482,LUKE,You told me Vader betrayed and murdered my father.,Return of the Jedi
483,BEN,You father was seduced by the dark side of the Force. He ceased to be Anakin Skywalkerand became Darth Vader. When that happened the good man who was your father was destroyed. So what I have told you was true... from a certain point of view.,Return of the Jedi
485,BEN,Luke you're going to find that many of the truths we cling to depend greatly on our ownpoint of view.,Return of the Jedi
487,BEN,I don't blame you for being angry. If I was wrong in what I did it certainly wouldn't have been for the first time. You see what happened to your father was my fault.,Return of the Jedi
489,BEN,Anakin was a good friend.,Return of the Jedi
491,BEN,When I first knew him your father was already a great pilot. But I was amazed how strongly the Force was with him. I took it upon myself to train him as a Jedi. I thought that I could instruct him just as well as Yoda. I was wrong. My pride has had terrible consequences for the galaxy.,Return of the Jedi
493,LUKE,There's still good in him.,Return of the Jedi
494,BEN,I also thought he could be turned back to the good side. It couldn't be done. He is more machine now than man. Twisted and evil.,Return of the Jedi
495,LUKE,I can't do it Ben.,Return of the Jedi
496,BEN,You cannot escape your destiny.,Return of the Jedi
497,LUKE,I tried to stop him once. I couldn't do it.,Return of the Jedi
498,BEN,Vader humbled you when first you met him Luke... but that experience was part of your training. It taught you among other things the value of patience. Had you not been so impatient to defeat Vader then you could have finished your training here with Yoda. You would have been prepared.,Return of the Jedi
499,LUKE,But I had to help my friends.,Return of the Jedi
502,BEN,To be a Jedi Luke you must confront and then go beyond the dark side - the side your father couldn't get past. Impatience is the easiest door - for you like your father. Only your father was seduced by what he found on the other side of the door and you have held firm. You're no longer so reckless now Luke. You are strong and patient. And now you must face Darth Vader again!,Return of the Jedi
503,LUKE,I can't kill my own father.,Return of the Jedi
504,BEN,Then the Emperor has already won. You were our only hope.,Return of the Jedi
505,LUKE,Yoda spoke of another.,Return of the Jedi
506,BEN,The other he spoke of is your twin sister.,Return of the Jedi
507,LUKE,But I have no sister.,Return of the Jedi
508,BEN,Hmm. To protect you both from the Emperor you were hidden from your father when you were born. The Emperor knew as I did if Anakin were to have any offspring they would be a threat to him. That is the reason why your sister remains safely anonymous.,Return of the Jedi
509,LUKE,Leia! Leia's my sister.,Return of the Jedi
510,BEN,Your insight serves you well. Bury your feelings deep down Luke. They do you credit.But they could be made to serve the Emperor.,Return of the Jedi
516,LUKE,But you can't let her get involved now Ben. Vader will destroy her.,Return of the Jedi
517,BEN,She hasn't been trained in the ways of the Jedi the way you have Luke... but the Force is strong with her as it is with all of your family. There is no avoiding the battle. You must face and destroy Vader!,Return of the Jedi
524,HAN,Well look at you a general huh?,Return of the Jedi
525, LANDO, Oh well someone must have told them about my little maneuver at the battle of Taanab.,Return of the Jedi
528,HAN,Well who says they didn't.  But I ain't crazy. You're the respectable one remember?,Return of the Jedi
530,MON MOTHMA,The Emperor has made a critical error and the time for our attack has come.,Return of the Jedi
532,MON MOTHMA,The data brought to us by the Bothan spies pinpoints the exact location of the Emperor's new battle station. We also know that the weapon systems of this Death Star are not yet operational. With the Imperial Fleet spread throughout the galaxy in a vain effort to engage us it is relatively unprotected. But most important of all we've learned that the Emperor himself is personally overseeing the final stages of the construction of this Death Star.,Return of the Jedi
536,ACKBAR,You can see here the Death Star orbiting the forest Moon of Endor. Although the weaponsystems on this Death Star are not yet operational the Death Star does have a strong defense mechanism. It is protected by an energy shield which is generated from the nearby forest Moon of Endor. The shield must be deactivated if any attack is to be attempted. Once the shield is down our cruisers will create a perimeter while the fighters fly into the superstructure and attempt to knock out the main reactor.,Return of the Jedi
540,HAN,Good luck.,Return of the Jedi
542,HAN,You're gonna need it.,Return of the Jedi
543,ACKBAR,General Madine.,Return of the Jedi
545,GENERAL MADINE,We have stolen a small Imperial shuttle. Disguised as a cargo ship and using a secretImperial code a strike team will land on the moon and deactivate the shield generator.,Return of the Jedi
547,THREEPIO,Sounds dangerous.,Return of the Jedi
549,GENERAL MADINE,General Solo is your strike team assembled?,Return of the Jedi
551,HAN,Uh my team's ready. I don't have a command crew for the shuttle.,Return of the Jedi
553,HAN,Well it's gonna be rough pal. I didn't want to speak for you.,Return of the Jedi
556,LEIA,Uh General... count me in.,Return of the Jedi
560,LEIA, What is it?,Return of the Jedi
563,HAN,Luke.,Return of the Jedi
564,LUKE,Hi Han... Chewie.,Return of the Jedi
566, THREEPIO,"""Exciting"" is hardly the word I would use.",Return of the Jedi
569,HAN,Look. I want you to take her. I mean it. Take her. You need all the help you can get. She'sthe fastest ship in the fleet.,Return of the Jedi
570,LANDO,All right old buddy. You know I know what she means to you. I'll take good care of her.She-she won't get a scratch. All right?,Return of the Jedi
572,LANDO,Look would you get going you pirate.,Return of the Jedi
574,LANDO,Good luck.,Return of the Jedi
575,HAN,You too.,Return of the Jedi
579,HAN,You got her warmed?,Return of the Jedi
580,LUKE,Yeah she's comin' up.,Return of the Jedi
582,HAN,No. I don't think the Empire had Wookiees in mind when they designed her Chewie.,Return of the Jedi
585,LEIA,Hey are you awake?,Return of the Jedi
586,HAN,Yeah I just got a funny feeling. Like I'm not gonna see her again.,Return of the Jedi
590,HAN,Right. Chewie let's see what this piece of junk can do. Ready everybody?,Return of the Jedi
591,LUKE,All set.,Return of the Jedi
592,THREEPIO,Here we go again.,Return of the Jedi
593,HAN,All right hang on.,Return of the Jedi
599,VADER,What is thy bidding my Master?,Return of the Jedi
600,EMPEROR,Send the fleet to the far side of Endor. There it will stay until called for.,Return of the Jedi
601,VADER,What of the reports of the Rebel fleet massing near Sullust?,Return of the Jedi
602,EMPEROR,It is of no concern. Soon the Rebellion will be crushed and young Skywalker will be one of us! Your work here is finished my friend. Go out to the command ship and await my orders.,Return of the Jedi
603,VADER,Yes my Master.,Return of the Jedi
609,HAN,If they don't go for this we're gonna have to get outta here pretty quick Chewie.,Return of the Jedi
612,HAN,Shuttle Tydirium requesting deactivation of the deflector shield.,Return of the Jedi
614,HAN,Transmission commencing.,Return of the Jedi
616,LEIA,Now we find out if that code is worth the price we paid.,Return of the Jedi
617,HAN,It'll work. It'll work.,Return of the Jedi
619,LUKE,Vader's on that ship.,Return of the Jedi
620,HAN,Now don't get jittery Luke. There are a lot of command ships. Keep your distance though Chewie but don't look like you're trying to keep your distance.,Return of the Jedi
622,HAN,I don't know.  Fly casual.,Return of the Jedi
623,LUKE,I'm endangering the mission. I shouldn't have come.,Return of the Jedi
624,HAN,It's your imagination kid. Come on. Let's keep a little optimism here.,Return of the Jedi
628,VADER,Where is that shuttle going?,Return of the Jedi
632,VADER,Do they have a code clearance?,Return of the Jedi
633,PIETT,It's an older code sir but it checks out. I was about to clear them.,Return of the Jedi
635,PIETT,Shall I hold them?,Return of the Jedi
636,VADER,No. Leave them to me. I will deal with them myself.,Return of the Jedi
641,HAN,They're not goin' for it Chewie.,Return of the Jedi
644,HAN,Okay! I told you it was gonna work. No problem.,Return of the Jedi
651,THREEPIO,Oh I told you it was dangerous here.,Return of the Jedi
653,LEIA,Shall we try and go around?,Return of the Jedi
654,HAN,It'll take time. This whole party'll be for nothing if they see us.,Return of the Jedi
658,HAN,Chewie and I will take care of this. You stay here.,Return of the Jedi
659,LUKE,Quietly there might be more of them out there.,Return of the Jedi
667,LEIA,Over there! Two more of them!,Return of the Jedi
668,LUKE,I see them. Wait Leia!,Return of the Jedi
672,HAN,Hey wait! Ahhh!,Return of the Jedi
676,LUKE,Move closer!,Return of the Jedi
678,LUKE,Get alongside that one!,Return of the Jedi
680,LUKE,Get him!,Return of the Jedi
693,THREEPIO,Oh General Solo somebody's coming. Oh!,Return of the Jedi
696,HAN,Luke! Where's Leia?,Return of the Jedi
698,HAN,I thought she was with you.,Return of the Jedi
699,LUKE,We got separated.,Return of the Jedi
701,LUKE,Hey we better go look for her.,Return of the Jedi
703,HAN,Take the squad ahead.  We'll meet at the shield generator at ,Return of the Jedi
704,LUKE,Come on Artoo.  We'll need your scanners.,Return of the Jedi
706,THREEPIO,Don't worry Master Luke.  We know what to do.,Return of the Jedi
712,LEIA,Cut it out!,Return of the Jedi
714,LEIA,I'm not gonna hurt you.,Return of the Jedi
716,LEIA,Well looks like I'm stuck here. Trouble is I don't know where here is.,Return of the Jedi
718,LEIA,Well maybe you can help me. Come on sit down.,Return of the Jedi
720,LEIA,I promise I won't hurt you. Now come here.,Return of the Jedi
722,LEIA,All right. You want something to eat?,Return of the Jedi
724,LEIA,That's right. Come on. Hmmm?,Return of the Jedi
726,LEIA,Look it's a hat. It's not gonna hurt you. Look. You're a jittery little thing aren't you?,Return of the Jedi
728,LEIA,What is it?,Return of the Jedi
735,LEIA,Come on let's get outta here.,Return of the Jedi
739,GUARD,Halt! The Emperor does not wish to be disturbed at the moment.,Return of the Jedi
741,GUARD,(repeating Vader's command)The Emperor will see you now.,Return of the Jedi
744,EMPEROR,I told you to remain on the command ship.,Return of the Jedi
745,VADER,A small Rebel force has penetrated the shield and landed on Endor.,Return of the Jedi
749,VADER,I have felt him my Master.,Return of the Jedi
750,EMPEROR,Strange that I have not. I wonder if your feelings on this matter are clear LordVader.,Return of the Jedi
752,VADER,They are clear my Master.,Return of the Jedi
753,EMPEROR,Then you must go to the Sanctuary Moon and wait for them.,Return of the Jedi
755,EMPEROR,I have foreseen it. His compassion for you will be his undoing. He will come to you andthen you will bring him before me.,Return of the Jedi
762,THREEPIO,Oh Master Luke.,Return of the Jedi
763,LUKE,There's two more wrecked speeders back there. And I found this.,Return of the Jedi
765,THREEPIO,I'm afraid that Artoo's sensors can find no trace of Princess Leia.,Return of the Jedi
768,                              HAN,What Chewie? What? Chewie!,Return of the Jedi
772,HAN,Hey I don't get it.,Return of the Jedi
776,LUKE,Chewie wa-wait!  Don't!,Return of the Jedi
778,HAN,Nice work. Great Chewie! Great! Always thinking with your stomach.,Return of the Jedi
779,LUKE,Will you take it easy? Let's just figure out a way to get out of this thing. (trying to free an arm) Han can you reach my lightsaber?,Return of the Jedi
780,HAN,Yeah sure.,Return of the Jedi
782,THREEPIO,Artoo I'm not sure that's such a good idea. It's a very long dro-o-op!!,Return of the Jedi
784,HAN,Wha--?  Hey!  Point that thing someplace else.,Return of the Jedi
786,HAN,Hey!,Return of the Jedi
787,LUKE,Han don't. It'll be all right.,Return of the Jedi
789,LUKE,Chewie give 'em your crossbow.,Return of the Jedi
791,THREEPIO,Oh my head. Oh my goodness!,Return of the Jedi
793,LUKE,Do you understand anything they're saying?,Return of the Jedi
794,THREEPIO,Oh yes Master Luke!  Remember that I am fluent in over six million forms ofcommunication.,Return of the Jedi
795,HAN,What are you telling them?,Return of the Jedi
796,THREEPIO,Hello I think... I could be mistaken. They're using a very primitive dialect.  ButI do believe they think I am some sort of god.,Return of the Jedi
798,HAN,Well why don't you use your divine influence and get us out of this?,Return of the Jedi
799,THREEPIO,I beg your pardon General Solo but that just wouldn't be proper.,Return of the Jedi
800,HAN,Proper?!,Return of the Jedi
801,THREEPIO,It's against my programming to impersonate a deity.,Return of the Jedi
803,HAN,Why you--,Return of the Jedi
805,HAN,My mistake. He's an old friend of mine.,Return of the Jedi
814,HAN,I have a really bad feeling about this.,Return of the Jedi
818,HAN,What did he say?,Return of the Jedi
819,THREEPIO,I'm rather embarrassed General Solo but it appears you are to be the main course at abanquet in my honor.,Return of the Jedi
821,HAN and LUKE,Leia!,Return of the Jedi
823,LEIA,Oh!,Return of the Jedi
824,THREEPIO,Your Royal Highness.,Return of the Jedi
826,LEIA,But these are my friends. Threepio tell them they must be set free.,Return of the Jedi
828,HAN,Somehow I got the feeling that didn't help us very much.,Return of the Jedi
829,LUKE,Threepio tell them if they don't do as you wish you'll become angry and use your magic.,Return of the Jedi
830,THREEPIO,But Master Luke what magic? I couldn't possibly --,Return of the Jedi
831,LUKE,Just tell them.,Return of the Jedi
833,THREEPIO,You see Master Luke; they didn't believe me. Just...,Return of the Jedi
835,THREEPIO,... as I said they wouldn't. Wha-wha-what's happening! Oh! Oh dear! Oh!,Return of the Jedi
837,THREEPIO,Put me down! He-e-elp! Master Luke! Artoo! Somebody somebody help! Master Luke Artoo! Artoo quickly! Do something somebody! Oh! Ohhh!,Return of the Jedi
839,THREEPIO,Oh oh oh oh! Thank goodness.,Return of the Jedi
840,LUKE,Thanks Threepio.,Return of the Jedi
845,THREEPIO,Yes Artoo. I was just coming to that.,Return of the Jedi
849,HAN,What's going on?,Return of the Jedi
850,LEIA,I don't know.,Return of the Jedi
852,THREEPIO,Wonderful! We are now a part of the tribe.,Return of the Jedi
854,HAN,Just what I always wanted.,Return of the Jedi
857,THREEPIO,He says the scouts are going to show us the quickest way to the shield generator.,Return of the Jedi
859,HAN,Good. How far is it? Ask him. We need some fresh supplies too. And try and get our weapons back.,Return of the Jedi
864,LEIA,Luke what's wrong?,Return of the Jedi
866,LUKE,Leia... do you remember your mother? Your real mother?,Return of the Jedi
867,LEIA,Just a little bit. She died when I was very young.,Return of the Jedi
868,LUKE,What do you remember?,Return of the Jedi
869,LEIA,Just...images really. Feelings.,Return of the Jedi
870,LUKE,Tell me.,Return of the Jedi
871,LEIA,(a little surprised at his insistence)She was very beautiful. Kind but...sad.(looks up)Why are you asking me all this?,Return of the Jedi
873,LUKE,I have no memory of my mother. I never knew her.,Return of the Jedi
874,LEIA,Luke tell me. What's troubling you?,Return of the Jedi
875,LUKE,Vader is here...now on this moon.,Return of the Jedi
877,LUKE,I felt his presence. He's come for me. He can feel when I'm near. That's why I have to go.(facing her)As long as I stay I'm endangering the group and our mission here.(beat)I have to face him.,Return of the Jedi
879,LEIA,Why?,Return of the Jedi
881,LUKE,He's my father.,Return of the Jedi
882,LEIA,Your father?,Return of the Jedi
883,LUKE,There's more. It won't be easy for you to hear it but you must. If I don't make it back you're the only hope for the Alliance.,Return of the Jedi
885,LEIA,Luke don't talk that way. You have a power I--I don't understand and could never have.,Return of the Jedi
886,LUKE,You're wrong Leia. You have that power too. In time you'll learn to use it as I have. The Force is strong in my family. My father has it...I have it...and...my sister has it.,Return of the Jedi
888,LUKE,Yes. It's you Leia.,Return of the Jedi
