,10,Script,test,Characters,Dialogue,test_2,Movie
4478,,ANAKIN: They try.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, They try.,True,Revenge of the Sith
4479,,PALPATINE: Sit down (to his aides) Leave us.NoneNoneNoneNoneNoneNoneNoneNone,True,PALPATINE, Sit down  Leave us.,True,Revenge of the Sith
4481,,PALPATINE: (continuing) Anakin you know I'm not able to rely on the Jedi Council. If they haven't included you in their plot they soon will.NoneNoneNoneNoneNoneNoneNone,True,PALPATINE,  Anakin you know I'm not able to rely on the Jedi Council. If they haven't included you in their plot they soon will.,True,Revenge of the Sith
4482,,ANAKIN: I'm not sure I understand.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, I'm not sure I understand.,True,Revenge of the Sith
4483,,PALPATINE: You must sense what I have come to suspect . . . the Jedi Council want control of the Republic . . . they're planning to betray me.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,PALPATINE, You must sense what I have come to suspect . . . the Jedi Council want control of the Republic . . . they're planning to betray me.,True,Revenge of the Sith
4484,,ANAKIN: I don't think . . .NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, I don't think . . .,True,Revenge of the Sith
4485,,PALPATINE: Anakin search your feelings. You know don't you?NoneNoneNoneNoneNoneNoneNone,True,PALPATINE, Anakin search your feelings. You know don't you?,True,Revenge of the Sith
4486,,ANAKIN: I know they don't trust you . . .NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, I know they don't trust you . . .,True,Revenge of the Sith
4487,,PALPATINE: Or the Senate . . . or the Republic . . . or democracy for that matter.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,PALPATINE, Or the Senate . . . or the Republic . . . or democracy for that matter.,True,Revenge of the Sith
4488,,ANAKIN: I have to admit my trust in them has been shaken.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, I have to admit my trust in them has been shaken.,True,Revenge of the Sith
4489,,PALPATINE: Why? They asked you to do something that made you feel dishonest didn't they?NoneNoneNoneNoneNoneNoneNoneNone,True,PALPATINE, Why? They asked you to do something that made you feel dishonest didn't they?,True,Revenge of the Sith
4491,,PALPATINE: (continuing) They asked you to spy on me didn't they?NoneNoneNoneNoneNoneNoneNoneNone,True,PALPATINE,  They asked you to spy on me didn't they?,True,Revenge of the Sith
4492,,ANAKIN: I don't know ... I don't know what to say.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, I don't know ... I don't know what to say.,True,Revenge of the Sith
4493,,"PALPATINE: Remember back to your early teachings. Anakin. ""All those who gain power are afraid to lose it."" Even the Jedi.NoneNoneNoneNoneNoneNoneNoneNoneNone",True,PALPATINE," Remember back to your early teachings. Anakin. ""All those who gain power are afraid to lose it."" Even the Jedi.",True,Revenge of the Sith
4494,,ANAKIN: The Jedi use their power for good.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, The Jedi use their power for good.,True,Revenge of the Sith
4495,,PALPATINE: Good is a point of view Anakin. And the Jedi point of view is not the only valid one. The Dark Lords of the Sith believe in security and justice also yet they are considered by the Jedi to be. . .NoneNoneNoneNoneNoneNoneNone,True,PALPATINE, Good is a point of view Anakin. And the Jedi point of view is not the only valid one. The Dark Lords of the Sith believe in security and justice also yet they are considered by the Jedi to be. . .,True,Revenge of the Sith
4496,,ANAKIN: . . . evil.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, . . . evil.,True,Revenge of the Sith
4497,,PALPATINE: . . . from a Jedi's point of view. The Sith and the Jedi are similar in almost every way including their quest for greater power. The difference between the two is the Sith are not afraid of the dark side of the Force. That is why they are more powerful.NoneNoneNoneNoneNoneNoneNoneNone,True,PALPATINE, . . . from a Jedi's point of view. The Sith and the Jedi are similar in almost every way including their quest for greater power. The difference between the two is the Sith are not afraid of the dark side of the Force. That is why they are more powerful.,True,Revenge of the Sith
4498,,ANAKIN: The Sith rely on their passion for their strength. They think inward only about themselves.NoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, The Sith rely on their passion for their strength. They think inward only about themselves.,True,Revenge of the Sith
4499,,PALPATINE: And the Jedi don't?NoneNoneNoneNoneNoneNoneNoneNoneNone,True,PALPATINE, And the Jedi don't?,True,Revenge of the Sith
4500,,ANAKIN: The Jedi are selfless . . . they only care about others.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, The Jedi are selfless . . . they only care about others.,True,Revenge of the Sith
4502,,PALPATINE: Or so you've been trained to believe. Why is it then that they have asked you to do something you feel is wrong?NoneNoneNoneNoneNoneNoneNone,True,PALPATINE, Or so you've been trained to believe. Why is it then that they have asked you to do something you feel is wrong?,True,Revenge of the Sith
4503,,ANAKIN: I'm not sure it's wrong.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, I'm not sure it's wrong.,True,Revenge of the Sith
4504,,PALPATINE: Have they asked you to betray the Jedi code? The Constitution? A friendship? Your own values? Think. Consider their motives. Keep your mind clear of assumptions. The fear of losing power is a weakness of both the Jedi and the Sith.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,PALPATINE, Have they asked you to betray the Jedi code? The Constitution? A friendship? Your own values? Think. Consider their motives. Keep your mind clear of assumptions. The fear of losing power is a weakness of both the Jedi and the Sith.,True,Revenge of the Sith
4506,,"PALPATINE: (continuing) Did you ever hear the tragedy of Darth Plagueis ""the wise""?NoneNoneNoneNoneNoneNoneNoneNoneNone",True,PALPATINE,"  Did you ever hear the tragedy of Darth Plagueis ""the wise""?",True,Revenge of the Sith
4507,,ANAKIN: No.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, No.,True,Revenge of the Sith
4508,,PALPATINE: I thought not. It's not a story the Jedi would tell you. It's a Sith legend. Darth Plagueis was a Dark Lord of the Sith so powerful and so wise he could use the Force to influence the midi-chlorians to create life ... He had such a knowledge of the dark side that he could even keep the ones he cared about from dying.NoneNoneNoneNoneNoneNoneNoneNone,True,PALPATINE, I thought not. It's not a story the Jedi would tell you. It's a Sith legend. Darth Plagueis was a Dark Lord of the Sith so powerful and so wise he could use the Force to influence the midi-chlorians to create life ... He had such a knowledge of the dark side that he could even keep the ones he cared about from dying.,True,Revenge of the Sith
4509,,ANAKIN: He could actually save people from death?NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, He could actually save people from death?,True,Revenge of the Sith
4510,,PALPATINE: The dark side of the Force is a pathway to many abilities some consider to be unnatural.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,PALPATINE, The dark side of the Force is a pathway to many abilities some consider to be unnatural.,True,Revenge of the Sith
4511,,ANAKIN: What happened to him?NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, What happened to him?,True,Revenge of the Sith
4512,,PALPATINE: He became so powerful . . . the only thing he was afraid of was losing his power which eventually of course he did. Unfortunately he taught his apprentice everything he knew then his apprentice killed him in his sleep. (smiles) Plagueis never saw it coming. It's ironic he could save others from death but not himself.NoneNoneNone,True,PALPATINE, He became so powerful . . . the only thing he was afraid of was losing his power which eventually of course he did. Unfortunately he taught his apprentice everything he knew then his apprentice killed him in his sleep.  Plagueis never saw it coming. It's ironic he could save others from death but not himself.,True,Revenge of the Sith
4513,,ANAKIN: Is it possible to learn this power?NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, Is it possible to learn this power?,True,Revenge of the Sith
4514,,PALPATINE: Not from a Jedi.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,PALPATINE, Not from a Jedi.,True,Revenge of the Sith
4519,,Kl-ADI-MUNDI: (holo) Palpatine thinks General Grievous is on Utapau. We have had no reports of this from our agents.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,Kl-ADI-MUNDI,  Palpatine thinks General Grievous is on Utapau. We have had no reports of this from our agents.,True,Revenge of the Sith
4520,,MACE: (holo) How could the Chancellor have come by this information and we know nothing about it? We have had contact with Baron Papanoida and he said no one was there.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,MACE,  How could the Chancellor have come by this information and we know nothing about it? We have had contact with Baron Papanoida and he said no one was there.,True,Revenge of the Sith
4521,,ANAKIN: A partial message was intercepted in a diplomatic packet from the Chairman of Utapau.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, A partial message was intercepted in a diplomatic packet from the Chairman of Utapau.,True,Revenge of the Sith
4522,,YODA: Act on this we must. The capture of General Grievous will end this war. Quickly and decisively we should proceed.NoneNoneNoneNoneNoneNoneNoneNone,True,YODA, Act on this we must. The capture of General Grievous will end this war. Quickly and decisively we should proceed.,True,Revenge of the Sith
4523,,OBI-WAN: Does everyone agree?NoneNoneNoneNoneNoneNoneNoneNoneNone,True,OBI-WAN, Does everyone agree?,True,Revenge of the Sith
4525,,ANAKIN: The Chancellor has requested that I lead the campaign.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, The Chancellor has requested that I lead the campaign.,True,Revenge of the Sith
4527,,MACE: (a little peeved) The Council will make up its own mind who is to go not the Chancellor.NoneNoneNoneNoneNoneNoneNoneNone,True,MACE,  The Council will make up its own mind who is to go not the Chancellor.,True,Revenge of the Sith
4528,,Kl-ADI-MUNDI: Yes this decision is ours to make.NoneNoneNoneNoneNoneNoneNoneNone,True,Kl-ADI-MUNDI, Yes this decision is ours to make.,True,Revenge of the Sith
4530,,YODA: A Master is needed with more experience.NoneNoneNoneNoneNoneNoneNoneNone,True,YODA, A Master is needed with more experience.,True,Revenge of the Sith
4531,,MACE: Given our resources I recommend we send only one Jedi . . . Master Kenobi.NoneNoneNoneNoneNoneNoneNoneNone,True,MACE, Given our resources I recommend we send only one Jedi . . . Master Kenobi.,True,Revenge of the Sith
4532,,ANAKIN: He was not so successful the last time he met Grievous.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, He was not so successful the last time he met Grievous.,True,Revenge of the Sith
4534,,ANAKIN: (continuing) No offense my Master but I'm only stating a fact.NoneNoneNoneNoneNoneNoneNone,True,ANAKIN,  No offense my Master but I'm only stating a fact.,True,Revenge of the Sith
4535,,OBI-WAN: Oh no you're quite right but I do have the most experience with his ways of combat.NoneNoneNoneNoneNoneNoneNone,True,OBI-WAN, Oh no you're quite right but I do have the most experience with his ways of combat.,True,Revenge of the Sith
4536,,YODA: Obi-Wan my choice is.NoneNoneNoneNoneNoneNoneNoneNone,True,YODA, Obi-Wan my choice is.,True,Revenge of the Sith
4537,,Kl-ADI-MUNDI: I concur. Master Kenobi should go.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,Kl-ADI-MUNDI, I concur. Master Kenobi should go.,True,Revenge of the Sith
4538,,YODA: I agree.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,YODA, I agree.,True,Revenge of the Sith
4540,,MACE: Very well. Council is adjourned.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,MACE, Very well. Council is adjourned.,True,Revenge of the Sith
4542,,MACE: (continuing) Obi-Wan prepare two clone brigades as quickly as you can. If this report is true there's no telling how many battle droids he may have with him.NoneNoneNoneNoneNoneNoneNone,True,MACE,  Obi-Wan prepare two clone brigades as quickly as you can. If this report is true there's no telling how many battle droids he may have with him.,True,Revenge of the Sith
4545,,CLONE COMMANDER GREE: The droids have started up their main power generators.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,CLONE COMMANDER GREE, The droids have started up their main power generators.,True,Revenge of the Sith
4546,,YODA: Then now the time is Commander.NoneNoneNoneNoneNoneNoneNoneNone,True,YODA, Then now the time is Commander.,True,Revenge of the Sith
4547,,CLONE COMMANDER GREE: Yes sir.NoneNoneNoneNoneNoneNoneNoneNone,True,CLONE COMMANDER GREE, Yes sir.,True,Revenge of the Sith
4555,,OBI-WAN: Has Anakin been to see you?NoneNoneNoneNoneNoneNoneNoneNoneNone,True,OBI-WAN, Has Anakin been to see you?,True,Revenge of the Sith
4556,,PADME: Several times . . . I was so happy to hear he was accepted on the Jedi Council.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,PADME, Several times . . . I was so happy to hear he was accepted on the Jedi Council.,True,Revenge of the Sith
4557,,OBI-WAN: I know ... he deserves it. He is impatient strong willed very opinionated but truly gifted.NoneNoneNoneNoneNoneNone,True,OBI-WAN, I know ... he deserves it. He is impatient strong willed very opinionated but truly gifted.,True,Revenge of the Sith
4559,,PADME: You're not just here to say hello. Something is wrong isn't it?NoneNoneNoneNoneNoneNoneNoneNone,True,PADME, You're not just here to say hello. Something is wrong isn't it?,True,Revenge of the Sith
