,Characters,Script,Test,Movie
226,ANAKIN,Master sir...I've been wondering...what are midi-chlorians,False,The Phantom Menace
227,ANAKIN," I've built a racer! It's the fastest ever...There's a big race
tomorrow on Boonta Eve. You could enter my pod. It's all but finished..",False,The Phantom Menace
228,ANAKIN,I am not afraid,False,The Phantom Menace
229,ANAKIN,They live inside of me,False,The Phantom Menace
230,ANAKIN," Watto doesn't know I've built it.  You could make him
think it's your's and you could get him to let me pilot it for you.",False,The Phantom Menace
231,ANAKIN,Symbionts,False,The Phantom Menace
232,ANAKIN,They do?,False,The Phantom Menace
233,ANAKIN,I don't understand,False,The Phantom Menace
234,ANAKN,: Oops! Artoo get us off Autopilot!,False,The Phantom Menace
235,ASSEMBLY,Vote now! Vote now! Vote now!,False,The Phantom Menace
236,BRAVO THREE,Amazing... They don't teach that in the academy.,False,The Phantom Menace
237,BRAVO THREE,Look! One of ours! Outta the main hold!!,False,The Phantom Menace
238,BRAVO TWO,Roger Bravo Leader.,False,The Phantom Menace
239,BRAVO TWO,ROger Bravo Leader.,False,The Phantom Menace
240,BAIL ORGANA," Alderaan seconds the motion for a vote of no confidence in
Chancellor Valorum",False,The Phantom Menace
241,BAIL ORGANA," There must be no delays. The motion is on the floor and must
be voted upon in this session",False,The Phantom Menace
242,BATTLE DROID 3B3,I said drop your weapons,False,The Phantom Menace
243,BATTLE DROID CAPTAIN,Where's your pilot?,False,The Phantom Menace
244,BATTLE DROID CAPTAIN,You're the pilot?,False,The Phantom Menace
245,BATTLE DROID CAPTAIN,Let me see your identification!,False,The Phantom Menace
246,BATTLE DROID CAPTAIN,"  You! Come out of there or we'll
blast you",False,The Phantom Menace
247,BIBBLE,A malfunction,False,The Phantom Menace
248,BIBBLE,Your negotiations seem to have failed Ambassador,False,The Phantom Menace
249,BIBBLE," This invasion will gain you nothing. We're a democracy. The people
have decided... They will not live under your tyranny.",False,The Phantom Menace
250,BIBBLE,A communications disruption can only mean one thing. Invasion,False,The Phantom Menace
251,BIBBLE,They wouldn't dare,False,The Phantom Menace
252,BIBBLE," Negotiation? We've lost all communications!...and where atre the
Chancellors Ambassadors? How can we negotiate? We must prepare to defend
ourselves",False,The Phantom Menace
253,BIBBLE," Please Your Highness reconsider. Our only hope is for the Senate
to side with us... Senator Palpatine will need your help",False,The Phantom Menace
254,BIBBLE," Your Highness I will stay here and do what I can...They will have
to retain the Council of Governors in order to maintain control. But you
must leave...",False,The Phantom Menace
255,RABE,Send him in.,False,The Phantom Menace
256,RABE,I'm sorry Annie. Padme is not here right now.,False,The Phantom Menace
257,RABE,Anakin Skywalker to see Padme Your Highness.,False,The Phantom Menace
258,BIBBLE,...how will you explain this invasion to the Senate,False,The Phantom Menace
259,BIBBLE," ...cut off all food supplies until you return...the death toll is
catastrophic...we must bow to their wishes Your Highness...Please tell us
what to do! If you can hear us Your Highness you must contact me...",False,The Phantom Menace
260,BOSS NASS," Yousa cannot bees hair. Dis army of mackineeks up dare tis new
weesong",False,The Phantom Menace
261,BOSS NASS,Jar Jar yousa payen dis time. Who's da uss-en others??,False,The Phantom Menace
262,BOSS NASS,Whosa dis,False,The Phantom Menace
263,BOSS NASS," Yousa no tinken yousa greater den da Gungans.. Mesa like dis.
Maybe wesa bein friends.",False,The Phantom Menace
264,BOSS NASS,Yousa doen grand. Jar Jar bringen da Naboo together,False,The Phantom Menace
265,BRAVO TWO,What's that?? It's blowing up from the inside,False,The Phantom Menace
266,BRAVO TWO," He flew into the hold behind the deflector shield and blasted
the main reactor..",False,The Phantom Menace
267,SEBULBA,"  Neek me chowa wermo mo killee ma klounkee(Next time
we race wermo it will be the end of you!) Una noto wo shag me wompity du
pom pom. ",False,The Phantom Menace
268,RIC OLIE," Powers back! That little droid did it. He bypassed the main
power drive. Deflector shield up at maximum.",False,The Phantom Menace
269,RIC OLIE,There's a settlement...a spaceport looks like,False,The Phantom Menace
270,RIC OLIE,The forward stabalizer,False,The Phantom Menace
271,RIC OLIE,I don't know we didn't hit it,False,The Phantom Menace
272,RIC OLIE,I have one battleship on my scope,False,The Phantom Menace
273,RIC OLIE,You catch on pretty quick.,False,The Phantom Menace
274,CAPT. PANAKA,Check the transmission generators..,False,The Phantom Menace
275,CAPT. PANAKA,They've knocked out all our communications,False,The Phantom Menace
276,CAPT. PANAKA,There are too many of them,False,The Phantom Menace
277,CAPT. PANAKA,We need to free those pilots.,False,The Phantom Menace
278,CAPT. PANAKA," ...An extremely well put together little droid. Without a
doubt it saved the ship as well as our lives",False,The Phantom Menace
279,CAPT. PANAKA,R2-D2 Your Highness,False,The Phantom Menace
280,CAPT. PANAKA,Wait!,False,The Phantom Menace
281,CAPT. PANAKA,"  Her Highness commands you to take her handmaiden
with you. She wishes for her to observe the local..",False,The Phantom Menace
282,CAPT. PANAKA,Yes? CAPT. PANAKA : We'll be right there.,False,The Phantom Menace
283,CAPT. PANAKA,Qui-Gon is in trouble he says to take off,False,The Phantom Menace
284,CAPT. PANAKA," Your Highness Senator Palpatine has been nominated to
succeed Valorum as Supreme Chancellor",False,The Phantom Menace
285,CAPT. PANAKA," The moment we land the Federation will arrest you and force
you to sign the treaty",False,The Phantom Menace
286,CAPT. PANAKA,How can you be sure,False,The Phantom Menace
287,CAPT. PANAKA,It looks pretty bad. We'd better seal the ship.,False,The Phantom Menace
288,CAPT. PANAKA,Who are you,False,The Phantom Menace
289,CAPT. PANAKA,Do you think they have been taken to camps,False,The Phantom Menace
290,CAPT. PANAKA," Almost everyone's in camps. A few hundred police and guards
have formed an underground movement. I brought as many of the keaders as I
could. The Federation Army's also much larger than we thought and much
stronger. Your Highness this is a battle I do not think we can win",False,The Phantom Menace
291,CAPT. PANAKA,Let's try the outside stairway.,False,The Phantom Menace
292,CAPT. PANAKA,But we can't...,False,The Phantom Menace
293,CAPT. PANAKA,I think you can kiss your Trade franchise goodbye.,False,The Phantom Menace
294,CAPT. PANAKA,It could be the Federation jamming us. Your Highness,False,The Phantom Menace
295,CAPT. PANAKA,In the main hanger. This way.,False,The Phantom Menace
296,CAPT. PANAKA,The Queen wishes it. She is curious about this planet,False,The Phantom Menace
297,CAPT. PANAKA," The difficulty's getting into the throne room. Once we're
inside we shouldn't have a problem",False,The Phantom Menace
298,CAPT. PANAKA,The Hutts?,False,The Phantom Menace
299,CAPT. PANAKA,Bail Antilles of Alderaan and Ainlee Teem of Malastare,False,The Phantom Menace
300,CAPT. PANAKA," There are only twelve of us Your Highness....we have no
army",False,The Phantom Menace
301,CAPT. PANAKA,Don't make me go back and tell her you refuse,False,The Phantom Menace
302,CAPT. PANAKA," The Senate would revoke their trade franchise and they'd be
finished",False,The Phantom Menace
303,CAPT. PANAKA," They need her to sign a treaty to make this invasion of
theirs legal. They can't afford to kill her",False,The Phantom Menace
304,CAPT. PANAKA," You can't take Her Royal Highness there! The Hutts are
gangsters... If they discovered her..",False,The Phantom Menace
