,Scripts,title,Character,negative,positive
246," So I got it in the junior miss department, big diff. Anyway check it out man, it's"", 'gonna make a hell of a conversation piece at out next cocktail party, huh pal?",The One Where Eddie Won't Go,EDDIE,0.0,0.0
247, Our next cocktail party?,The One Where Eddie Won't Go,CHANDLER,0.0,0.5
248," Yeah, you know, put chips in it, we'll make like a chip chick.",The One Where Eddie Won't Go,EDDIE,0.0,0.0
249," Eddie, do you remember yesterday?",The One Where Eddie Won't Go,CHANDLER,0.0,0.0
250," Uh yes, I think I vaguely recall it.",The One Where Eddie Won't Go,EDDIE,0.0,0.0
251, Do you remember talking to me yesterday?,The One Where Eddie Won't Go,CHANDLER,0.2,0.2
252," Uh, yes.",The One Where Eddie Won't Go,EDDIE,1.0,0.0
253, So what happened?,The One Where Eddie Won't Go, CHANDLER,0.0,0.0
254, We took a road trip to Las Vegas man.,The One Where Eddie Won't Go,EDDIE,0.0,0.0
255, Oh sweet Moses.,The One Where Eddie Won't Go,CHANDLER,0.0,0.6666666666666666
256," So on this road trip, did you guys win any money?",The One Where Eddie Won't Go,MONICA,0.0,0.0
257," Naah, I crapped out, but Mr. 21 over here he cleans up, 300 bucks, check it out he', 'buys me these new shoes, sweet huh?",The One Where Eddie Won't Go,EDDIE,0.0,0.0
258, Nice.,The One Where Eddie Won't Go,MONICA,0.0,0.0
259, Yeah. Well see ya upstairs. See ya pals.,The One Where Eddie Won't Go,EDDIE,0.0,0.0
260, Is anyone else starting to really like him?,The One Where Eddie Won't Go, PHOEBE,0.0,0.0
263, May I help you?,The One Where Eddie Won't Go,CHANDLER,0.0,0.0
264, Why doesn't my key work and what's all my stuff doin' downstairs?,The One Where Eddie Won't Go,EDDIE,0.2222222222222222,0.2222222222222222
265," Well, I'm, I'm sorry...Eddie forces his head in the door Ahhh. Have we met?",The One Where Eddie Won't Go,CHANDLER,,
266," It's Eddie you freak, your roommate.",The One Where Eddie Won't Go,EDDIE,,
267," I, I'm sorry, I uh unchains the door and opens it all the way I already have a"", 'roommate. Joey turns around in the leather recliner",The One Where Eddie Won't Go,CHANDLER,,
268, Hello.,The One Where Eddie Won't Go,JOEY,,
269," Yeah, he's lived here for years, I don't, I don't know what you're talking about"", 'man.",The One Where Eddie Won't Go,CHANDLER,,
270," No he, he moved out and I moved in.",The One Where Eddie Won't Go,EDDIE,,
271," Well I, I think we'd remember something like that.",The One Where Eddie Won't Go,CHANDLER,,
272, I know I would.,The One Where Eddie Won't Go,JOEY,,
273," Well that's uh, that's a good point. Um ok, well, uh, I guess I got the wrong"", ""apartment then. I, I'm, look, I'm, ya know, I'm sorry, I'm terriably sorry.",The One Where Eddie Won't Go,EDDIE,,
274, Hey no problem.,The One Where Eddie Won't Go,JOEY,,
275," See ya. shuts the door Goodbuy you fruit drying', 'psychopath. So you want me to help you unpack your stuff?",The One Where Eddie Won't Go, CHANDLER,,
276," Na, na I'm ok. Oh and uh, just so you know, I'm not movin' back in 'cause I have to."", ""Well, I mean, I do have to. It's just that that place wasn't really, I mean, this is...",The One Where Eddie Won't Go,JOEY,,
277, Welcome home man. they hug and jump around,The One Where Eddie Won't Go,CHANDLER,,
278, A little foos?,The One Where Eddie Won't Go,JOEY,,
279, Absolutely.,The One Where Eddie Won't Go,CHANDLER,,
280, What happened to the foosball?,The One Where Eddie Won't Go,JOEY,,
281, Ah that's a cantelope.,The One Where Eddie Won't Go,CHANDLER,,
284," Hey look, are we gonna have to bring this out every time Ross comes over?",The One Where Eddie Won't Go,CHANDLER,,
285, He paid a lot of money for it.,The One Where Eddie Won't Go,JOEY,,
286," I'm gonna hold him a different way. Look I don't"", 'understand, if you hated it so much, why did you buy it in the first place?",The One Where Eddie Won't Go, CHANDLER,,
287," Well, I had a whole ceramic zoo thing goin' over there but now, without the other"", 'ones, it just looks tacky.",The One Where Eddie Won't Go,JOEY,,
288," So is he housetrained or is he gonna leave little bathroom', 'tiles all over the place? Stay. Good, STAY! Good fake dog.",The One Where Eddie Won't Go, CHANDLER,,
