,Season,Character,lines
705,5,the paramedic,1
706,5,the pastor,1
707,5,voice,1
708,5,woman,1
709,5,written by,1
710,6,chandler,1036
711,6,rachel,993
712,6,ross,912
713,6,joey,907
714,6,monica,900
715,6,phoebe,787
716,6,paul,116
717,6,elizabeth,89
718,6,janine,89
719,6,jill,67
720,6,richard,50
721,6,gunther,30
722,6,all,23
723,6,kim,17
724,6,hillary,16
725,6,director,15
726,6,woman,14
727,6,carol,13
728,6,the dry cleaner,13
729,6,mr. geller,12
730,6,mr. thompson,12
731,6,russell,12
732,6,dana,11
733,6,judge,11
734,6,wayne,11
735,6,jack,10
736,6,male jeweler,10
737,6,mrs. geller,10
738,6,customer,9
739,6,sebastian,9
740,6,the director,9
741,6,estelle,8
742,6,the fan,8
743,6,interviewer,7
744,6,teleplay by,7
745,6,the instructor,7
746,6,the potential roommate,7
747,6,dr. roger,6
748,6,hitchhiker,6
749,6,monica's boyfriend,6
750,6,mr. bowmont,6
751,6,tall guy,6
752,6,the museum official,6
753,6,the porsche owner,6
754,6,the producer,6
755,6,ursula,6
756,6,{transcriberâ€™s note,6
757,6,fireman #1,5
758,6,receptionist,5
759,6,dr. drake remoray,4
760,6,eldad,4
761,6,fireman #2,4
762,6,phoebe and rachel,4
763,6,a crew member,3
764,6,burt,3
765,6,carl,3
766,6,casting director #1,3
767,6,casting director #2,3
768,6,dr. leedbetter,3
769,6,female clerk,3
770,6,guy #2,3
771,6,monica and rachel,3
772,6,patrick,3
773,6,patron,3
774,6,susan,3
775,6,the doctor,3
776,6,the girls,3
777,6,{transciberâ€™s note,3
778,6,arthur,2
779,6,ben,2
780,6,"buffay, the vampire layer",2
781,6,c.h.e.e.s.e.,2
782,6,croupler,2
783,6,dr. wesley,2
784,6,first dorm guy,2
785,6,hope,2
786,6,janice,2
787,6,janiceâ€™s voice,2
788,6,joey and ross,2
789,6,joey's look-a-like,2
790,6,karin,2
791,6,lorraine,2
792,6,matire'd,2
793,6,meg,2
794,6,monica and ross,2
795,6,mr. and mrs. geller,2
796,6,part i written by,2
797,6,ralph lauren,2
798,6,ross and chandler,2
799,6,the professor,2
800,6,waitress,2
801,6,  monica and rachel,1
802,6,"[scene, central perk",1
803,6,"[scene, the park",1
804,6,a male customer,1
805,6,a student,1
806,6,alex,1
807,6,another manâ€™s voice,1
808,6,attendant,1
809,6,barry,1
810,6,casting director #3,1
811,6,chandler and monica,1
812,6,customers,1
813,6,emil alexander,1
814,6,female jeweler,1
815,6,girl,1
816,6,guy,1
817,6,guy #1,1
818,6,guy all the way in the back,1
819,6,janine [to chandler],1
820,6,joeyâ€™s head,1
821,6,lisa,1
822,6,lydia,1
823,6,manâ€™s voice,1
824,6,mel,1
825,6,monica and phoebe,1
826,6,narrator,1
827,6,nurse,1
828,6,passerby,1
829,6,phoebe and monica,1
830,6,phoebe and ross,1
831,6,professor feesen,1
832,6,rachel and monica,1
833,6,richardâ€™s date,1
834,6,same manâ€™s voice,1
835,6,sarah,1
836,6,second dorm guy,1
837,6,stephanie,1
838,6,the guys,1
839,6,the vampire,1
840,6,zoe,1
841,6,{note,1
842,7,rachel,1097
843,7,joey,949
844,7,monica,911
845,7,chandler,855
846,7,ross,839
847,7,phoebe,811
848,7,tag,131
849,7,mr. geller,60
850,7,ben,57
851,7,cecilia,49
852,7,david,37
853,7,richard,35
854,7,melissa,33
855,7,earl,29
856,7,the director,29
857,7,kristen,27
858,7,woman,25
859,7,erin,23
860,7,mrs. geller,22
861,7,policeman,22
862,7,conan,21
863,7,helena,18
864,7,janice,18
865,7,cassie,16
866,7,all,15
867,7,jennifer,15
868,7,matt,15
869,7,megan,15
870,7,courtney,14
871,7,the woman,13
872,7,ursula,13
873,7,carol,10
874,7,lewis,10
875,7,morse,10
876,7,terry,10
877,7,the casting director,10
878,7,lisa,9
879,7,man,9
880,7,phoebe and rachel,9
881,7,teleplay by,9
882,7,dina,8
883,7,kyle,8
884,7,matthew,8
885,7,supervisor,8
886,7,whitney,8
887,7,mr. zelner,7
888,7,mrs. bing,7
889,7,the waiter,7
890,7,tom,7
891,7,guy,6
892,7,gary,5
893,7,gunther,5
894,7,jake,5
895,7,mr. bing,5
896,7,the fireman,5
897,7,hilda,4
898,7,jessica ashley,4
899,7,jessica lockhart,4
900,7,monica and phoebe,4
901,7,the assistant director,4
902,7,the rabbi,4
903,7,a woman,3
904,7,announcer,3
905,7,aunt millie,3
906,7,estelle,3
907,7,fat joey,3
908,7,joey and ross,3
909,7,joeyâ€™s date,3
910,7,maitre d',3
911,7,rachel and monica,3
912,7,salesman,3
913,7,the cute guy,3
914,7,{transcriberâ€™s note,3
915,7,[flashback to,2
916,7,c.h.e.e.s.e,2
917,7,frannie,2
918,7,julie,2
919,7,kathy,2
920,7,mac,2
921,7,monica and chandler,2
922,7,the chorus line,2
923,7,the head librarian,2
924,7,the man,2
925,7,the photographer,2
926,7,the wedding guest,2
927,7,waiter in drag,2
928,7,"(why was this the trailer? well, thatâ€™s because it was an introduction into the special out takes episode that immediately followed the show. the entire out takes episode, friends",1
929,7,a disembodied voice,1
930,7,a waiter in drag,1
931,7,dr. stryker ramoray,1
932,7,fat monica,1
933,7,female student,1
934,7,fredrick,1
935,7,hosted by,1
936,7,joey and chandler,1
937,7,"joey, rachel, and phoebe",1
938,7,lisa kudrow,1
939,7,male guest,1
940,7,male student,1
941,7,marge,1
942,7,matthew perry,1
943,7,nurse #1,1
944,7,nurse #2,1
945,7,part i written by,1
946,7,phoebe and ross,1
947,7,rachel and joey,1
948,7,ross and joey,1
949,7,ross and rachel,1
950,7,smoke detector,1
951,7,"the ""hey guy"" guy",1
952,7,the colonel,1
953,7,the knocker,1
954,7,the librarian,1
955,7,the man in the sportscar,1
956,7,the other woman,1
957,7,the presenter,1
