Name,Opening,Rank,Studio,Total Gross,Years
Genghis Kahn: To the Ends of the Earth and Sea,"$3,332",574,BPic,"$3,892",2017
Fraude,"$2,369",575,Maya,"$3,637",2017
Vivere,"$2,119",576,Reg.,"$3,625",2017
Vexille,"$3,227",577,BPic,"$3,259",2017
American Zombie,"$3,126",578,CLS,"$3,126",2017
Who Does She Think She Is?,"$3,081",579,AL,"$3,081",2017
Spiral,N/A,580,Anch.,"$3,072",2017
Run for Your Life,"$2,537",581,Scre.,"$2,992",2017
Wetlands Preserved,"$1,736",582,FRun,"$2,970",2017
"On the Other Hand, Death","$1,537",583,Reg.,"$2,892",2017
Shrooms,"$1,849",584,Magn.,"$2,863",2017
Lower Learning,"$2,550",585,Anch.,"$2,804",2017
Eight Miles High,"$1,496",586,MPI,"$2,616",2017
Polar Opposites,"$1,628",587,Reg.,"$2,377",2017
13 Months of Sunshine,"$2,237",588,N/A,"$2,337",2017
Miss Conception,"$1,342",589,First,"$2,134",2017
Running with Arnold,"$2,119",590,Lant,"$2,119",2017
Murder.com,"$1,245",591,Reg.,"$2,070",2017
La Leon,$940,592,MBox,"$1,708",2017
On the Rumba River,"$1,156",593,FRun,"$1,698",2017
House of Usher,$891,594,Reg.,"$1,677",2017
Flashbacks of a Fool,"$1,020",595,Anch.,"$1,664",2017
Ben X,$904,596,FM,"$1,601",2017
Ice Blues: A Donald Strachey Mystery,$668,597,Reg.,"$1,377",2017
Fall of Hyperion,$656,598,Reg.,"$1,093",2017
Kiss Me Deadly,$214,599,Reg.,"$1,085",2017
How to Rob a Bank,$109,600,IFC,"$1,006",2017
Death of a Ghost Hunter,"$3,648",501,Noct.,"$3,984",2017
Afterschool,"$2,606",502,IFC,"$3,911",2017
Pontypool,"$1,541",503,IFC,"$3,865",2017
Give Me Your Hand,"$2,434",504,Strand,"$3,601",2017
Ricky,"$1,626",505,IFC,"$3,457",2017
Humble Pie,"$1,083",506,Mont.,"$3,359",2017
Devil Girl,"$2,769",507,Noct.,"$3,244",2017
Gooby,N/A,508,Mont.,"$3,234",2017
The Blue Tooth Virgin,"$1,926",509,Reg.,"$2,762",2017
My Fuhrer,"$1,197",510,FRun,"$2,465",2017
Village Barbershop,$89,511,Mont.,"$2,359",2017
Sikandar,"$1,954",512,AdL.,"$1,954",2017
Shuttle,"$1,925",513,Truly,"$1,925",2017
The Canyon,"$1,785",514,Truly,"$1,785",2017
Ghosted,$980,515,FRun,"$1,780",2017
America Betrayed,$245,516,FRun,"$1,311",2017
Food Beware,$595,517,FRun,"$1,181",2017
Confessionsofa Ex-Doofus-ItchyFooted Mutha,$604,518,Yeah,"$1,013",2017
How to Be a Serial Killer,$899,519,Mont.,$899,2017
The Objective,$95,520,IFC,$95,2017
Dog Eat Dog,$80,521,IFC,$80,2017
"$10,821,223,109",-,Totals:,-,-,2017
"$20,770,102",-,Averages:,-,-,2017
Whiz Kids,"$1,333",501,Shad.,"$5,386",2017
Speed-Dating,"$3,394",502,RR,"$5,240",2017
Hadewijch,"$1,892",503,IFC,"$5,006",2017
The Oxford Murders,"$1,191",504,Magn.,"$4,803",2017
To Die is Hard,$112,505,DWOES,"$4,549",2017
Promised Lands (2010 re-issue),$797,506,FDesk,"$4,546",2017
Kimjongilia,"$1,497",507,Lorb.,"$4,362",2017
Helena From the Wedding,"$2,692",508,FM,"$4,190",2017
Inhale,"$3,030",509,IFC,"$4,115",2017
Just Say Love,"$1,257",510,Reg.,"$3,944",2017
In/Significant Others,"$1,408",511,NPP,"$3,763",2017
Heartless,"$2,033",512,IFC,"$3,697",2017
Smash His Camera,"$2,367",513,Magn.,"$3,644",2017
The Full Picture,"$1,358",514,N/A,"$3,467",2017
Murder in Fashion,"$1,046",515,Reg.,"$3,346",2017
El Superstar: The Unlikely Rise of Juan Frances,"$2,330",516,CLS,"$3,271",2017
My Year Without Sex,$528,517,Strand,"$3,119",2017
The Afterlight,"$1,466",518,CP,"$3,059",2017
Altiplano,"$1,269",519,FRun,"$2,961",2017
Eichmann,$573,520,Reg.,"$2,706",2017
Boogie Woogie,"$1,776",521,IFC,"$2,618",2017
Daniel & Ana,"$1,400",522,Strand,"$2,372",2017
You Won't Miss Me,"$2,240",523,ReelD,"$2,240",2017
The Girl (Flickan),$712,524,Olive,"$2,201",2017
Nobody's Perfect,$533,525,Lorb.,"$2,122",2017
As Good as Dead,"$1,494",526,First,"$1,981",2017
Falling Awake,$847,527,IFC,"$1,978",2017
The Temptation of St. Tony,$747,528,Olive,"$1,963",2017
A Mother's Courage: Talking Back to Autism,$822,529,FRun,"$1,916",2017
Manuela and Manuel,$629,530,Reg.,"$1,582",2017
"Carmo, Hit the Road",$835,531,FRun,"$1,512",2017
Drool,"$1,199",532,Strand,"$1,403",2017
45365,$107,533,7Arts,$853,2017
Perrier's Bounty,$828,534,IFC,$828,2017
Shake Hands with the Devil,$86,535,Reg.,$594,2017
The Magician (2010),$117,536,Reg.,$406,2017
"$10,212,080,843",-,Totals:,-,-,2017
"$19,052,390",-,Averages:,-,-,2017
Battle for Brooklyn,"$11,141",501,Rum.,"$17,981",2017
Cook County,"$7,579",502,Hann.,"$17,977",2017
5 Days of War,"$6,254",503,Anch.,"$17,479",2017
Littlerock,N/A,504,Vari.,"$17,309",2017
Archie's Final Project,"$3,657",505,Rocket,"$17,282",2017
Mia and the Migoo,"$16,975",506,GK,"$16,975",2017
London Boulevard,"$3,431",507,IFC,"$16,075",2017
Anchor Baby,"$3,510",508,AGF,"$15,790",2017
Dumbstruck,$981,509,Truly,"$15,379",2017
I'm Not Jesus Mommy,"$5,280",510,FDem,"$15,005",2017
The Tenant (2011),$750,511,Indic.,"$15,003",2017
Ong Bak 3,"$5,648",512,Magn.,"$14,890",2017
Armadillo,"$3,958",513,Lorb.,"$14,566",2017
Peep World,"$6,702",514,IFC,"$14,351",2017
Saheb Biwi Aur Gangster,"$9,548",515,UTV,"$14,231",2017
Sympathy for Delicious,"$9,448",516,Maya,"$13,826",2017
Benda Bilili!,"$1,678",517,NGE,"$13,420",2017
Under the Boardwalk: The Monopoly Story,"$5,054",518,Tost.,"$13,080",2017
Leap Year (2011),"$2,727",519,Strand,"$12,979",2017
Bloodworth,"$9,612",520,Gold.,"$12,971",2017
America the Beautiful 2: The Thin Commandments,"$5,599",521,PMKBNC,"$12,366",2017
Rebirth,"$2,740",522,Osci.,"$12,358",2017
Back Door Channels,"$3,425",523,FKF,"$12,139",2017
"If I Want to Whistle, I Whistle","$2,999",524,FM,"$12,135",2017
Deep Gold,"$7,000",525,BFA,"$12,000",2017
Rid of Me,"$2,070",526,SD,"$11,740",2017
Elektra Luxx,"$5,601",527,Gold.,"$11,514",2017
InSight,"$9,571",528,CED,"$11,100",2017
The Woman with the Five Elephants,"$4,988",529,CGld,"$11,026",2017
Sarah Palin - You Betcha!,"$6,911",530,Free,"$10,935",2017
Magic to Win,"$5,125",531,CL,"$10,697",2017
Frankie & Alice,N/A,532,Free,"$10,670",2017
"Marriage, Italian Style (2011 re-release)","$4,967",533,KC,"$10,600",2017
Zero Bridge,"$3,304",534,FDesk,"$10,357",2017
The Heir Apparent: Largo Winch,"$2,830",535,MBox,"$10,352",2017
The Prince of the Himalayas,N/A,536,AM,"$10,190",2017
Miss Minoes,"$1,901",537,MBox,"$10,189",2017
A Bird of the Air,"$3,819",538,Pala.,"$10,152",2017
A Screaming Man,"$2,421",539,FM,"$9,862",2017
Vito Bonafacci,"$3,027",540,CAVU,"$9,570",2017
The Ledge,"$5,176",541,IFC,"$9,216",2017
Special Treatment,$678,542,FRun,"$8,856",2017
How I Ended This Summer,"$4,968",543,FM,"$8,733",2017
I'm Glad My Mother is Alive,"$3,118",544,Strand,"$8,705",2017
Lucky (2011),"$4,986",545,P4,"$8,564",2017
Another Happy Day,"$8,464",546,P4,"$8,464",2017
Korkoro,"$1,224",547,Lorb.,"$8,242",2017
Wrecked,"$2,054",548,IFC,"$8,020",2017
King of Devil's Island,"$1,039",549,FM,"$7,615",2017
London River,"$1,044",550,Libre,"$7,200",2017
Good Neighbors,"$2,953",551,Magn.,"$7,072",2017
Corman's World,"$7,000",552,Anch.,"$7,000",2017
My Piece of the Pie,"$4,213",553,IFC,"$6,850",2017
Janie Jones,N/A,554,Trib.,"$6,840",2017
I Melt With You,"$2,729",555,Magn.,"$6,361",2017
Chillar Party,"$4,155",556,UTV,"$6,330",2017
My Joy,"$2,077",557,KL,"$6,298",2017
"El Sicario, Room 164","$2,040",558,Icar.,"$6,123",2017
The Family Tree,"$3,658",559,EOne,"$6,035",2017
The Imperialists Are Still Alive!,"$2,832",560,IFC,"$5,874",2017
Aurora,"$2,105",561,CGld,"$5,677",2017
Rage (Rabia),$952,562,Strand,"$5,594",2017
Elevate,"$3,547",563,Vari.,"$5,580",2017
And They're Off,"$5,154",564,KBR,"$5,154",2017
Tanner Hall,"$2,803",565,Anch.,"$5,073",2017
Flypaper,"$1,098",566,IFC,"$5,043",2017
Burke and Hare,$947,567,IFC,"$4,833",2017
The Catechism Cataclysm,$897,568,IFC,"$4,373",2017
Campus Radio,"$3,196",569,EBP,"$4,370",2017
Daylight (2011),$959,570,CP,"$4,171",2017
Caterpillar,"$2,109",571,Lorb.,"$4,157",2017
To Die Like a Man,"$2,346",572,Strand,"$4,029",2017
The Harvest/La Cosecha,"$2,245",573,CLS,"$3,709",2017
Passion Play,"$2,100",574,Imag.,"$3,669",2017
Building Hope,"$3,500",575,NobP,"$3,500",2017
The Sons of Tennessee Williams,"$1,492",576,FRun,"$3,242",2017
Plastic Planet,$740,577,FRun,"$3,164",2017
Balls to the Wall,"$3,140",578,RM,"$3,140",2017
The Weird World of Blowfly,"$1,036",579,Vari.,"$3,062",2017
The Lie,"$3,000",580,Scre.,"$3,000",2017
Protektor,"$2,968",581,FM,"$2,968",2017
Zokkomon,"$2,815",582,UTV,"$2,815",2017
Blood Ties,"$2,760",583,ALP,"$2,760",2017
Restitution,"$1,779",584,Mont.,"$2,664",2017
United Red Army,"$1,161",585,Lorb.,"$2,659",2017
Knuckle,"$2,647",586,Vita.,"$2,647",2017
Main Street,"$1,553",587,Magn.,"$2,560",2017
Sidewalls,"$1,304",588,IFC,"$2,377",2017
Pool Boys,N/A,589,Cdgm.,"$2,269",2017
"Love, Wedding, Marriage","$1,378",590,IFC,"$1,926",2017
Now & Later,"$1,516",591,CLS,"$1,808",2017
Chalet Girl,$192,592,IFC,"$1,710",2017
They're Out of Business,N/A,593,IFC,"$1,655",2017
The Tunnel (2011),$507,594,BR,"$1,532",2017
Little Girl (La Pivellina),$526,595,FRun,"$1,350",2017
An Invisible Sign,N/A,596,IFC,"$1,279",2017
Romeos,$773,597,Strand,"$1,081",2017
Strangers Online,$968,598,BGP,$968,2017
Angels Crest,$407,599,Magn.,$832,2017
Redneck Carnage,$325,600,ZMG,$706,2017
28 Hotel Rooms,"$1,869",501,Osci.,"$18,869",2017
Chely Wright: Wish Me Away,"$5,026",502,FRun,"$18,618",2017
Lovely Molly,"$12,555",503,Imag.,"$18,464",2017
El Milagro De Marcelino Pan,"$17,092",504,GPR,"$18,193",2017
Total Recall (2012 re-release),"$5,788",505,Rialto,"$18,081",2017
Juan of the Dead,"$12,000",506,Outs,"$18,000",2017
Payback (2012),"$2,186",507,Zeit.,"$17,979",2017
4:44: Last Day on Earth,"$8,355",508,IFC,"$17,801",2017
Little Birds,"$4,574",509,MNE,"$17,739",2017
Grandmaster,"$10,479",510,UTV,"$17,077",2017
The Understudy,N/A,511,Indic.,"$17,036",2017
The Prophet's Son,"$8,168",512,SBE,"$16,983",2017
Inventing Our Life: The Kibbutz Experiment,"$6,193",513,FRun,"$16,734",2017
Teddy Bear,"$5,388",514,FM,"$16,138",2017
Return (2012),"$6,717",515,Da.,"$16,124",2017
Alps,"$2,628",516,KL,"$16,057",2017
Long Shot: The Kevin Laue Story,"$16,011",517,DM,"$16,011",2017
Patience (After Sebald),"$5,302",518,CGld,"$15,941",2017
$upercapitalist,"$8,372",519,Truly,"$15,919",2017
This Binary Universe,"$1,794",520,Indic.,"$15,875",2017
Take Me Home,$322,521,Mont.,"$15,760",2017
Michael (2012),N/A,522,Strand,"$15,715",2017
Quill: The Life of a Guide Dog,"$1,678",523,MBox,"$15,674",2017
California Solo,"$3,412",524,Strand,"$15,433",2017
A Little Bit of Heaven,"$10,011",525,MNE,"$15,375",2017
Only the Young,"$1,446",526,Osci.,"$15,312",2017
17 Girls,"$4,449",527,Strand,"$15,123",2017
Kung Fu Joe,"$3,158",528,Indic.,"$15,120",2017
Trade of Innocents,$588,529,Mont.,"$15,091",2017
30 Beats,"$8,624",530,RAtt.,"$14,693",2017
Unraveled,"$9,006",531,GD,"$14,615",2017
Tristana (2012 re-release),"$4,754",532,Cohen,"$14,586",2017
Silent Night,"$9,780",533,Anch.,"$14,567",2017
Space Dogs 3D,"$14,408",534,EpicPics,"$14,408",2017
Never Stand Still: Dancing at Jacob's Pillow,"$1,951",535,FRun,"$14,272",2017
We Won't Grow Old Together (2012 re-release),"$1,677",536,FDesk,"$14,104",2017
Gayby,"$4,792",537,TFC,"$14,062",2017
6 Month Rule,"$1,963",538,SIP,"$14,057",2017
Head Games,"$1,152",539,Vari.,"$14,056",2017
Planet of Snail,"$2,011",540,CGld,"$13,957",2017
Falling Away,"$1,284",541,Indic.,"$13,869",2017
The Day He Arrives,"$3,311",542,CGld,"$13,746",2017
Daisies (2012 re-release),"$6,576",543,Jan.,"$13,692",2017
The Law in These Parts,"$2,814",544,CGld,"$13,683",2017
When the Iron Bird Flies,N/A,545,AM,"$13,598",2017
Reuniting the Rubins,$734,546,Mont.,"$13,569",2017
Dysfunctional Friends,"$7,409",547,DTP,"$13,546",2017
Citadel,"$5,715",548,Cdgm.,"$13,377",2017
The Trouble with Bliss,"$4,618",549,7A,"$13,093",2017
Nothing But a Man (2012 re-release),"$3,466",550,APD/C,"$13,063",2017
"How Much Does Your Building Weigh, Mr. Foster?","$2,759",551,FRun,"$13,013",2017
Norwegian Wood,"$13,000",552,RF,"$13,000",2017
Virginia,"$6,915",553,EOne,"$12,728",2017
Around June,N/A,554,Indic.,"$12,578",2017
For Ellen,"$4,616",555,Trib.,"$12,396",2017
Grassroots,"$6,497",556,Gold.,"$12,356",2017
Lost Angels: Skid Row is My Home,"$7,039",557,CLS,"$12,025",2017
Ultrasuede,"$3,968",558,Trib.,"$11,539",2017
"Now, Forager","$1,539",559,Argo.,"$11,146",2017
Dragon (2012),"$11,137",560,RTWC,"$11,137",2017
The Front Line,"$7,188",561,WGUSA,"$11,018",2017
Tales of the Night,"$7,154",562,GK,"$10,975",2017
Henning Mankell's 'Wallander': The Revenge,"$2,230",563,MBox,"$10,960",2017
The Man Who Shook the Hand of Vicente Fernandez,"$3,099",564,Indic.,"$10,782",2017
Special Forces,"$10,759",565,EOne,"$10,759",2017
Found Memories,"$3,874",566,FM,"$10,575",2017
China Heavyweight,"$3,792",567,Zeit.,"$10,550",2017
Santa Mesa,"$3,846",568,Indic.,"$10,490",2017
Husbands in Goa,"$4,483",569,UTV,"$10,135",2017
Putin's Kiss,"$1,525",570,KL,"$10,082",2017
Starry Starry Night,"$2,312",571,CL,"$10,033",2017
Arjun: The Warrior Prince,"$5,527",572,UTV,"$10,017",2017
The Do-Deca-Pentathlon,"$10,000",573,RF,"$10,000",2017
Post Mortem,"$2,406",574,KL,"$9,750",2017
Rec 3: Genesis,"$3,001",575,Magn.,"$9,600",2017
The City Dark,"$2,983",576,Argo.,"$9,269",2017
Decoding Deepak,"$9,100",577,SF,"$9,100",2017
Art of Submission,"$8,759",578,PMP,"$9,004",2017
Three Stars,"$1,003",579,FRun,"$8,942",2017
Corpo Celeste,"$2,263",580,FM,"$8,919",2017
Home Run Showdown,"$8,824",581,Imag.,"$8,824",2017
The Man in the White Suit (2012 re-release),"$3,874",582,Rialto,"$8,718",2017
Man on a Mission,"$3,430",583,FRun,"$8,688",2017
"Small, Beautiful Moving Parts","$3,087",584,Long Shot,"$8,631",2017
Mosquita y Mari,"$5,070",585,TFC,"$8,614",2017
General Education,$282,586,PHP,"$8,601",2017
Cartas a Elena,"$7,711",587,Free,"$8,511",2017
The Snowtown Murders,"$1,273",588,IFC,"$8,452",2017
Dreams of a Life,"$3,085",589,Strand,"$8,405",2017
Restless City,"$8,100",590,AFFRM,"$8,100",2017
The Babymakers,"$5,215",591,MNE,"$7,889",2017
Roadie (2012),"$2,661",592,Magn.,"$7,825",2017
Photographic Memory,"$3,006",593,FRun,"$7,822",2017
Last Days Here,"$2,671",594,IFC,"$7,643",2017
Brooklyn Brothers Beat the Best,"$3,850",595,Osci.,"$7,466",2017
Bel Borba Aqui,"$1,869",596,PDA,"$7,426",2017
Price Check,"$2,783",597,IFC,"$7,413",2017
The Giant Mechanical Man,"$1,789",598,Trib.,"$7,396",2017
Domain (2012),"$2,810",599,Strand,"$7,105",2017
"Love, Marilyn","$4,000",600,SD,"$6,950",2017
Terraferma,N/A,501,Cohen,"$19,996",2017
Wedding Palace,"$19,908",502,GGGE,"$19,908",2017
Love and Honor (2013),"$2,815",503,IFC,"$19,684",2017
Bad Milo!,"$4,503",504,Magn.,"$19,613",2017
Whensday,"$12,497",505,NC,"$19,463",2017
Smash & Grab: The Story of the Pink Panthers,"$4,794",506,DR,"$18,938",2017
You Ain't Seen Nothin' Yet,"$5,343",507,KL,"$18,929",2017
Nostalghia,"$5,233",508,KL,"$18,846",2017
The Sorcerer and the White Snake,"$5,530",509,Magn.,"$18,759",2017
A Single Shot,"$10,020",510,Trib.,"$18,642",2017
La Camioneta,N/A,511,FYN,"$18,558",2017
Let My People Go!,"$2,236",512,Zeit.,"$18,529",2017
A Pig Across Paris (2013 re-issue),"$9,997",513,Rialto,"$18,297",2017
Twice Born,"$14,947",514,EOne,"$18,295",2017
Torn,"$4,881",515,FC,"$18,202",2017
Casting By,"$5,649",516,SD,"$18,164",2017
Jamel Shabazz Street Photographer,"$7,105",517,APD/C,"$17,992",2017
Dealin' With Idiots,"$8,508",518,IFC,"$17,909",2017
Mental,"$9,804",519,Da.,"$17,669",2017
The History of Future Folk,"$5,775",520,Vari.,"$17,646",2017
Violet & Daisy,"$9,982",521,Cdgm.,"$17,186",2017
Le Pont du Nord (2013 re-release),"$5,333",522,FDesk,"$17,110",2017
Night Across the Street,"$3,248",523,CGld,"$16,778",2017
As I Lay Dying,"$7,143",524,MNE,"$16,697",2017
Design is One,"$4,236",525,FRun,"$16,386",2017
Out of the Clear Blue Sky,"$2,344",526,A23,"$16,050",2017
I Declare War,"$8,634",527,Drft.,"$14,928",2017
Jayne Mansfield's Car,"$9,320",528,Anch.,"$14,836",2017
Kiss of the Damned,"$2,723",529,Magn.,"$14,752",2017
The Unbelievers,"$5,925",530,CM,"$14,400",2017
Justice Is Mind,"$5,418",531,TAT,"$14,360",2017
A Wedding Invitation,"$3,183",532,CJ,"$14,350",2017
Il Futuro,"$2,583",533,Strand,"$14,001",2017
The Prey,"$5,889",534,Cohen,"$13,959",2017
This is Martin Bonner,N/A,535,Mont.,"$13,888",2017
Dorfman in Love,"$6,410",536,BSM,"$13,737",2017
The Monk,"$8,418",537,ATO,"$13,472",2017
Red Obsession,"$5,060",538,A23,"$13,199",2017
A Green Story,"$6,768",539,Indic.,"$12,901",2017
BoyBand (2013),N/A,540,Indic.,"$12,708",2017
The Selfish Giant,"$2,589",541,IFC,"$12,189",2017
Shahid,"$12,153",542,UTV,"$12,153",2017
In the Fog,"$2,327",543,Strand,"$11,894",2017
Charlie Countryman,"$7,973",544,MNE,"$11,650",2017
36 Saints,"$7,373",545,AFP,"$11,640",2017
Just Like a Woman,N/A,546,Cohen,"$11,403",2017
So Young,"$5,281",547,CL,"$11,186",2017
Greetings from Tim Buckley,N/A,548,Trib.,"$11,157",2017
A Resurrection,"$7,300",549,AD,"$10,730",2017
Made in Cleveland,"$3,411",550,SE,"$10,681",2017
American Meat,"$7,659",551,LB,"$10,650",2017
Caucus,N/A,552,BFOA,"$10,645",2017
Midget Zombie Takeover,"$2,755",553,DWOES,"$10,604",2017
Evil Intent,$205,554,DWOES,"$10,454",2017
Shanghai Calling,"$10,400",555,SM,"$10,400",2017
Elemental,N/A,556,TFC,"$10,358",2017
Liv & Ingmar,"$5,451",557,Jan.,"$10,347",2017
Shepard and Dark,"$1,226",558,MBox,"$10,278",2017
The Informant,"$2,947",559,MBox,"$10,068",2017
In the Name Of,"$2,635",560,FM,"$9,883",2017
InchAllah (U.S. only),"$3,391",561,EOne,"$9,840",2017
Birth of the Living Dead,"$1,239",562,FRun,"$9,802",2017
Welcome to the Punch,"$2,736",563,IFC,"$9,747",2017
Antoine and Antoinette (2013 re-issue),"$4,147",564,Rialto,"$9,704",2017
Northern Lights (2013 re-release),"$2,256",565,APD/C,"$9,453",2017
If I Were You,"$3,889",566,KL,"$9,432",2017
Zero Charisma,N/A,567,Trib.,"$9,417",2017
The End of Love,"$1,955",568,Vari.,"$9,342",2017
200 Cartas,"$9,338",569,VF,"$9,338",2017
Better Mus' Come,"$6,140",570,AFFRM,"$9,318",2017
11 Flowers,"$3,516",571,FRun,"$9,213",2017
Ghost Team One,"$7,345",572,TFA,"$9,195",2017
Trouble Every Day (2013 re-release),"$2,984",573,FDesk,"$9,189",2017
Call Me Kuchu,"$3,476",574,Cdgm.,"$9,124",2017
Clandestine Childhood,"$8,137",575,IFC,"$9,017",2017
Big Words,"$7,371",576,AFFRM,"$8,965",2017
White Elephant,"$5,098",577,Strand,"$8,884",2017
Hell Baby,"$4,980",578,MNE,"$8,785",2017
The Institute,"$3,017",579,Argo.,"$8,445",2017
Hello Herman,"$5,985",580,Free,"$8,437",2017
The Happy Sad,"$4,560",581,THS,"$8,395",2017
Downloaded,"$2,504",582,Abr.,"$8,377",2017
A Teacher,"$4,684",583,Osci.,"$8,348",2017
Aliyah,"$1,627",584,FM,"$8,253",2017
Argento's Dracula 3D,"$3,085",585,IFC,"$8,139",2017
What's In a Name?,N/A,586,UTMW,"$8,111",2017
La Maison De La Radio,"$1,410",587,KL,"$8,095",2017
Pawn Shop Chronicles,"$4,915",588,Anch.,"$8,088",2017
Nothing Left to Fear,"$7,886",589,Anch.,"$7,886",2017
And While We Were Here,"$7,750",590,WGUSA,"$7,750",2017
Girls Against Boys,"$6,111",591,Anch.,"$7,529",2017
Desperate Acts of Magic,"$2,238",592,GCF,"$7,373",2017
A Perfect Man,$388,593,IFC,"$7,117",2017
The Brass Teapot,"$4,468",594,Magn.,"$6,997",2017
Finding Mr. Right,"$3,430",595,CL,"$6,945",2017
Assaulted: Civil Rights Under Fire,"$4,570",596,HTR,"$6,905",2017
Sal,"$5,375",597,Trib.,"$6,883",2017
The Human Scale,N/A,598,KS,"$6,878",2017
Paradise: Hope,"$2,664",599,Strand,"$6,701",2017
Breakfast with Curtis,"$1,601",600,Abr.,"$6,629",2017
A Tale of Winter (Conte d'hiver),"$3,802",501,BWP,"$23,268",2017
History of Jazz: Oxygen for the Ears,"$7,566",502,Indic.,"$23,048",2017
Video Games: The Movie,"$12,759",503,Vari.,"$23,043",2017
Short Peace,N/A,504,Elev.,"$22,862",2017
Two Lives,"$1,303",505,IFC,"$22,620",2017
Grand Piano,"$2,964",506,Magn.,"$22,555",2017
May in the Summer,N/A,507,Cohen,"$22,004",2017
Bright Days Ahead,"$4,919",508,Trib.,"$21,770",2017
The Decent One,N/A,509,KL,"$21,327",2017
Memphis,N/A,510,KL,"$21,286",2017
NightLights,"$6,414",511,Indic.,"$21,147",2017
The Sacrifice,N/A,512,KL,"$20,945",2017
Lekar Hum Deewana Dil,"$14,418",513,Eros,"$20,874",2017
The Great Flood,"$3,596",514,Icar.,"$20,694",2017
Coming Up Roses (2014 re-release),"$6,432",515,Indic.,"$20,567",2017
Run and Jump,"$3,944",516,IFC,"$20,061",2017
The Past is a Grotesque Animal,N/A,517,Osci.,"$20,056",2017
Uzumasa Limelight,"$10,090",518,Elev.,"$19,597",2017
A Picture of You,"$5,650",520,FPE,"$19,480",2017
Guardian Angel,"$12,624",519,RME,"$19,480",2017
Peter Brook: The Tightrope,"$6,768",522,FRun,"$19,365",2017
Actress (2014),"$4,880",521,CGld,"$19,365",2017
Watchers of the Sky,"$7,473",523,MBox,"$19,339",2017
The Kill Team,N/A,524,Osci.,"$18,983",2017
Test,N/A,525,Vari.,"$18,823",2017
Tasting Menu,"$6,010",526,Magn.,"$18,686",2017
Two Night Stand,"$15,600",527,EOne,"$18,612",2017
Who is Dayani Cristal?,"$5,712",528,KL,"$18,190",2017
Tosca's Kiss (2014 re-release),$418,529,Icar.,"$18,087",2017
Journey to the West,"$7,456",530,Magn.,"$18,058",2017
One Day Pina Asked...,"$1,756",531,Icar.,"$18,016",2017
Kelly & Cal,"$5,387",532,IFC,"$17,702",2017
The Homestretch,"$8,373",533,KF,"$17,306",2017
Stand Clear of the Closing Doors,"$7,000",534,Osci.,"$17,282",2017
Accident,"$5,798",535,Rialto,"$17,161",2017
Goodbye To All That,N/A,536,IFC,"$16,986",2017
Cold Comes the Night,"$11,603",537,Gold.,"$16,971",2017
Hank and Asha,"$6,192",538,FR,"$16,878",2017
Burning Bush,N/A,539,KL,"$16,731",2017
Magician: The Astonishing Life and Work of Orson Welles,"$7,130",540,Cohen,"$16,400",2017
Levitated Mass,"$4,589",541,FRun,"$16,086",2017
Olivia Experiment,"$2,754",542,Indic.,"$15,122",2017
Barefoot,"$11,767",543,RAtt.,"$15,071",2017
Horses of God,"$2,251",544,KL,"$14,817",2017
Last Passenger,"$9,326",545,Cohen,"$14,806",2017
Exhibition,N/A,546,KL,"$14,344",2017
13 Sins,"$9,261",547,RTWC,"$13,809",2017
The Pretty One,"$1,484",548,Da.,"$13,769",2017
Fifi Howls From Happiness,"$2,728",549,MBox,"$13,614",2017
War of the Worlds: Goliath,"$13,385",550,BCMG,"$13,385",2017
A Long Way Down,"$1,426",551,Magn.,"$13,347",2017
Camp X-Ray,"$1,316",552,IFC,"$13,302",2017
Days and Nights,"$6,003",553,IFC,"$13,243",2017
Sol LeWitt,"$4,051",554,Icar.,"$13,146",2017
The Pleasures of Being Out of Step,"$1,846",555,FRun,"$13,137",2017
K2: Siren of the Himalayas,"$1,421",556,FRun,"$12,959",2017
Alien Abduction,"$10,514",557,IFC,"$12,897",2017
Concerning Violence,N/A,558,KL,"$12,680",2017
Special ID,"$6,153",559,WGUSA,"$12,666",2017
Bhopal: A Prayer for Rain,"$5,948",560,Rvl,"$12,628",2017
Boy Meets Girl,N/A,561,CFilms,"$12,589",2017
Touch the Wall,"$6,200",562,TTW,"$12,156",2017
Wolves,N/A,563,KE,"$12,139",2017
In No Great Hurry: 13 Lessons in Life with Saul Leiter,"$6,100",564,mTuck,"$12,133",2017
The French Minister,"$3,800",565,IFC,"$12,027",2017
Queen Margot (2014 re-release),"$4,985",566,Cohen,"$12,005",2017
Revenge of the Mekons,"$2,354",567,MBox,"$11,861",2017
Falcon Rising,"$8,691",568,Free,"$11,774",2017
Life of Riley,N/A,569,KL,"$11,616",2017
Living is Easy with Eyes Closed,"$11,600",570,Outs,"$11,600",2017
You're Not You,"$9,226",571,EOne,"$11,486",2017
The Great Invisible,"$2,348",573,RTWC,"$11,428",2017
The Final Member,"$2,064",572,Drft.,"$11,428",2017
The Amazing Catfish,$733,574,Strand,"$11,342",2017
Dishkiyaoon,"$8,173",575,Eros,"$11,288",2017
Policeman,"$7,379",576,Crnth,"$11,263",2017
Pay 2 Play: Democracy's High Stakes,"$2,233",577,SFI,"$11,021",2017
The Players,"$6,674",578,Wein.,"$10,854",2017
As It Is In Heaven,$531,579,N/A,"$10,850",2017
Inside the Mind of Leonardo Da Vinci in 3D,N/A,580,SD,"$10,600",2017
