,Genre,Movies,Release_Date,WGross
179,Genre: Comedy / Drama,My Girl 2,"Release Date: February 11, 1994",Actors:
182,Genre: Family Comedy,Baby's Day Out,"Release Date: July 1, 1994",Producers:
183,Genre: Fantasy,Percy Jackson & The Olympians:The Lightning Thief,"Release Date: February 12, 2010"," $226,497,209"
186,Genre: Action,Terminal Velocity,"Release Date: September 23, 1994",Actors:
187,Genre: Family Comedy,Monkey Trouble,"Release Date: March 18, 1994",Composer:
188,Genre: Sports Drama,Above the Rim,"Release Date: March 25, 1994",Composer:
189,Genre: Thriller,Getaway (2013),"Release Date: August 30, 2013",Writers:
190,Genre: Action,No Escape,"Release Date: August 26, 2015"," $54,418,872"
191,Genre: Western,Bad Girls,"Release Date: April 22, 1994",Producer:
192,Genre: Period Drama,The Madness of King George,"Release Date: December 30, 1994",Cinematographer:
193,Genre: Romantic Comedy,Threesome,"Release Date: April 8, 1994",Writer:
194,Genre: Animation,The Pagemaster,"Release Date: November 23, 1994",Actors:
195,Genre: Comedy / Drama,Crooklyn,"Release Date: May 13, 1994",Producer:
196,Genre: Period Comedy,Bullets Over Broadway,"Release Date: October 21, 1994",Writer:
201,Genre: Action / Adventure,Batman Forever,"Release Date: June 16, 1995"," $336,529,144"
203,Genre: Animation,Pocahontas,"Release Date: June 16, 1995"," $346,079,773"
204,Genre: Comedy,Ace Ventura:When Nature Calls,"Release Date: November 10, 1995"," $212,385,533"
205,Genre: Action,GoldenEye,"Release Date: November 17, 1995"," $352,194,034"
206,Genre: Action,Jumanji:Welcome to the Jungle,"Release Date: December 20, 2017"," $138,605,967"
207,Genre: Family Comedy,Casper,"Release Date: May 26, 1995"," $287,928,194"
209,Genre: Action Thriller,Die Hard:With A Vengeance,"Release Date: May 19, 1995"," $366,101,666"
210,Genre: Action Thriller,Crimson Tide,"Release Date: May 12, 1995"," $157,387,195"
211,Genre: Sci-Fi Adventure,Waterworld,"Release Date: July 28, 1995"," $264,218,220"
212,Genre: Drama,Dangerous Minds,"Release Date: August 11, 1995"," $179,519,401"
213,Genre: Music Drama,Mr. Holland's Opus,"Release Date: December 29, 1995"," $106,269,971"
214,Genre: Romantic Comedy,While You Were Sleeping,"Release Date: April 21, 1995"," $182,057,016"
216,Genre: Comedy,Father of the Bride Part II,"Release Date: December 8, 1995",Writers:
217,Genre: Historical Epic,Braveheart,"Release Date: May 24, 1995"," $210,409,945"
218,Genre: Crime Comedy,Get Shorty,"Release Date: October 20, 1995"," $115,101,622"
219,Genre: Comedy,Grumpier Old Men,"Release Date: December 22, 1995",Producer:
220,Genre: Romance,The Bridges of Madison County,"Release Date: June 2, 1995"," $182,016,617"
221,Genre: Action,Mortal Kombat:Annihilation,"Release Date: November 21, 1997"," $51,376,861"
222,Genre: Romantic Comedy,Nine Months,"Release Date: July 14, 1995"," $138,510,230"
223,Genre: Action Drama,Outbreak,"Release Date: March 10, 1995"," $189,859,560"
224,Genre: Comedy,The Heat,"Release Date: June 28, 2013"," $229,930,771"
225,Genre: Comedy / Drama,Waiting to Exhale,"Release Date: December 22, 1995"," $81,452,156"
227,Genre: Drama,Babel,"Release Date: October 27, 2006"," $135,330,182"
228,Genre: Romantic Comedy,The American President,"Release Date: November 17, 1995"," $107,879,496"
229,Genre: Sci-Fi Horror,Species II,"Release Date: April 10, 1998",Composer:
230,Genre: Sci-Fi,12 Monkeys,"Release Date: December 29, 1995"," $168,839,459"
231,Genre: Comedy,Clueless,"Release Date: July 21, 1995",Actors:
232,Genre: Romantic Comedy,Sabrina,"Release Date: December 15, 1995",Actors:
235,Genre: Action,Under Siege 2:Dark Territory,"Release Date: July 14, 1995"," $104,324,083"
236,Genre: Romance,A Walk in the Clouds,"Release Date: August 11, 1995",Actor:
237,Genre: Comedy,The Brady Bunch Movie,"Release Date: February 17, 1995",Actor:
238,Genre: Period Comedy,Sense and Sensibility,"Release Date: December 15, 1995"," $134,582,776"
239,Genre: Thriller,Casino Jack,"Release Date: December 17, 2010"," $1,083,683"
240,Genre: Family Comedy,Man of the House,"Release Date: February 25, 2005"," $21,577,624"
241,Genre: Drama,Dead Man Walking,"Release Date: December 29, 1995",Actors:
242,Genre: Romantic Comedy,French Kiss,"Release Date: May 5, 1995"," $101,982,854"
243,Genre: Drama,Higher Learning,"Release Date: January 13, 1995",Writer:
244,Genre: Family Adventure,Mighty Morphin' Power Rangers,"Release Date: June 30, 1995"," $66,433,194"
245,Genre: Period Adventure,First Knight,"Release Date: July 7, 1995"," $127,600,435"
246,Genre: Thriller,Just Cause,"Release Date: February 17, 1995",Actors:
248,Genre: Family Adventure,The Indian in the Cupboard,"Release Date: July 14, 1995",Actor:
249,Genre: Action Comedy,Money Train,"Release Date: November 22, 1995",Actors:
251,Genre: Action / Adventure,Judge Dredd,"Release Date: June 30, 1995"," $113,493,481"
252,Genre: Romantic Comedy,Forget Paris,"Release Date: May 19, 1995",Cinematographer:
253,Genre: Comedy,Tommy Boy,"Release Date: March 31, 1995",Actors:
254,Genre: Thriller,Copycat,"Release Date: October 27, 1995",Writer:
255,Genre: Drama,Leaving Las Vegas,"Release Date: October 27, 1995",Cinematographer:
256,Genre: Period Adventure,Rob Roy,"Release Date: April 7, 1995",Actors:
258,Genre: Foreign,13 Assassins,"Release Date: April 29, 2011"," $17,555,141"
259,Genre: Family Adventure,Free Willy 2:The Adventure Home,"Release Date: July 21, 1995",Writer:
260,Genre: Comedy,Major Payne,"Release Date: March 24, 1995"," $30,112,050"
262,Genre: Drama,"Right Now, Wrong Then","Release Date: June 24, 2016"," $24,470"
263,Genre: Comedy,Houseguest,"Release Date: January 6, 1995",Actors:
264,Genre: Comedy,Billy Madison,"Release Date: February 10, 1995"," $26,488,734"
265,Genre: Action,Desperado,"Release Date: August 25, 1995",Writer:
266,Genre: Family Comedy,Operation Dumbo Drop,"Release Date: July 28, 1995",Actors:
267,Genre: Drama / Thriller,Dolores Claiborne,"Release Date: March 24, 1995",Writer:
268,Genre: Action / Crime,Dead Presidents,"Release Date: October 6, 1995",Writers:
269,Genre: Sci-Fi Thriller,Virtuosity,"Release Date: August 4, 1995",Actors:
270,Genre: Family Adventure,Tom and Huck,"Release Date: December 22, 1995",Writer:
271,Genre: Romance,How to Make an American Quilt,"Release Date: October 6, 1995"," $41,200,020"
272,Genre: Comedy / Drama,Boys on the Side,"Release Date: February 3, 1995",Writer:
273,Genre: Romance,Circle of Friends,"Release Date: March 17, 1995",Writer:
274,Genre: Crime Thriller,The Usual Suspects,"Release Date: August 18, 1995",Writer:
275,Genre: Romantic Comedy,Don Juan de Marco,"Release Date: April 7, 1995"," $68,792,531"
278,Genre: Horror,Demon Knight,"Release Date: January 13, 1995",Actors:
279,Genre: Drama,Showgirls,"Release Date: September 22, 1995",Writer:
280,Genre: Action,Sudden Death,"Release Date: December 22, 1995"," $64,350,171"
281,Genre: Horror Comedy,Vampire in Brooklyn,"Release Date: October 27, 1995",Actors:
282,Genre: Family Comedy,It Takes Two,"Release Date: November 17, 1995",Actors:
283,Genre: Sci-Fi Action,Johnny Mnemonic,"Release Date: May 26, 1995",Actors:
284,Genre: Western,The Quick and the Dead,"Release Date: February 10, 1995",Actors:
285,Genre: Family Comedy,The Big Green,"Release Date: September 29, 1995",Producer:
286,Genre: Family Comedy,Heavyweights,"Release Date: February 17, 1995",Writer:
287,Genre: Comedy,Home for the Holidays,"Release Date: November 3, 1995",Actors:
288,Genre: Drama / Thriller,Murder in the First,"Release Date: January 20, 1995",Actors:
289,Genre: Comedy,Jury Duty,"Release Date: April 14, 1995",Actors:
290,Genre: Crime Thriller,Devil in a Blue Dress,"Release Date: September 29, 1995",Writer:
291,Genre: Adventure,The Celestine Prophecy,"Release Date: April 19, 2006"," $903,680"
292,Genre: IMAX,Across the Sea of Time (IMAX),"Release Date: October 20, 1995"," $16,015,639"
293,Genre: Unknown,Mad Love (2002),"Release Date: August 30, 2002"," $280,046"
294,Genre: Comedy,Muriel's Wedding,"Release Date: March 10, 1995"," $15,482,277"
297,Genre: Crime Thriller,Kiss of Death,"Release Date: April 21, 1995",Writer:
298,Genre: Horror,Candyman:Farewell to the Flesh,"Release Date: March 17, 1995",Cinematographer:
299,Genre: Drama,Elvis & Nixon,"Release Date: April 22, 2016"," $1,055,287"
300,Genre: Sci-Fi Adventure,Independence Day:Resurgence,"Release Date: June 24, 2016"," $389,681,935"
303,Genre: Comedy / Drama,Jerry Maguire,"Release Date: December 13, 1996"," $273,552,592"
304,Genre: Comedy,King's Ransom,"Release Date: April 22, 2005"," $4,143,652"
305,Genre: Family Comedy,101 Dalmatians (1996),"Release Date: November 27, 1996"," $320,689,294"
307,Genre: Comedy,The Nutty Professor II:The Klumps,"Release Date: July 28, 2000"," $166,339,890"
308,Genre: Comedy,The Birdcage,"Release Date: March 8, 1996"," $185,260,553"
309,Genre: Drama / Thriller,A Time to Kill,"Release Date: July 24, 1996"," $152,266,007"
310,Genre: Comedy,The First Wives Club,"Release Date: September 20, 1996"," $181,489,203"
311,Genre: Drama,Phenomenon,"Release Date: July 5, 1996"," $152,036,382"
312,Genre: Horror,Scream 4,"Release Date: April 15, 2011"," $97,138,686"
313,Genre: Action,Eraser,"Release Date: June 21, 1996"," $242,295,562"
314,Genre: Animation,The Hunchback of Notre Dame,"Release Date: June 21, 1996"," $325,338,851"
315,Genre: Musical,Munna Michael,"Release Date: July 21, 2017"," $99,629"
316,Genre: Sci-Fi Adventure,Star Trek:First Contact,"Release Date: November 22, 1996"," $146,027,888"
317,Genre: Family Comedy,Space Jam,"Release Date: November 15, 1996"," $230,418,342"
318,Genre: Romance,The English Patient,"Release Date: November 15, 1996"," $231,976,425"
319,Genre: Action,Broken Arrow (1996),"Release Date: February 9, 1996"," $150,270,147"
320,Genre: Animation,Beavis and Butt-Head Do America,"Release Date: December 20, 1996",Writer:
321,Genre: Family Comedy,Jingle All the Way,"Release Date: November 22, 1996"," $129,832,389"
323,Genre: War Drama,Courage Under Fire,"Release Date: July 12, 1996"," $100,860,818"
325,Genre: Action Thriller,Executive Decision,"Release Date: March 15, 1996"," $121,969,216"
326,Genre: Drama / Thriller,Primal Fear,"Release Date: April 5, 1996"," $102,616,183"
327,Genre: Sports Comedy,Tin Cup,"Release Date: August 16, 1996",Producer:
328,Genre: Foreign,Winter Sleepers,"Release Date: March 17, 2000",Composer:
329,Genre: Fantasy,Dragonheart,"Release Date: May 31, 1996"," $115,267,375"
330,Genre: Romance,Up Close and Personal,"Release Date: March 1, 1996"," $100,688,705"
331,Genre: Musical,Evita,"Release Date: December 25, 1996"," $141,047,179"
332,Genre: Comedy,The Preacher's Wife,"Release Date: December 13, 1996",Actors:
333,Genre: Romance,Romeo and Juliet (2013),"Release Date: October 11, 2013"," $1,162,635"
334,Genre: Romantic Comedy,One Fine Day,"Release Date: December 20, 1996"," $97,529,550"
335,Genre: Romantic Comedy,The Mirror Has Two Faces,"Release Date: November 15, 1996",Writer:
336,Genre: Sports Comedy,Happy Gilmore,"Release Date: February 16, 1996"," $41,205,099"
337,Genre: Period Adventure,The Ghost and the Darkness,"Release Date: October 11, 1996",Actors:
338,Genre: Sci-Fi Comedy,Mars Attacks!,"Release Date: December 13, 1996"," $101,371,017"
339,Genre: Crime Drama,Set It Off,"Release Date: November 8, 1996"," $41,590,886"
341,Genre: Romantic Comedy,The Truth About Cats & Dogs,"Release Date: April 26, 1996",Writer:
342,Genre: Comedy,A Thin Line Between Love and Hate,"Release Date: April 5, 1996"," $35,599,803"
343,Genre: Family Adventure,Muppet Treasure Island,"Release Date: February 16, 1996",Composer:
344,Genre: Family Adventure,Matilda,"Release Date: August 2, 1996",Writer:
345,Genre: Action,The Long Kiss Goodnight,"Release Date: October 11, 1996"," $89,456,761"
346,Genre: Crime Comedy,Striptease,"Release Date: June 28, 1996"," $113,309,743"
348,Genre: Family Adventure,Homeward Bound II:Lost in San Francisco,"Release Date: March 8, 1996",Actors:
349,Genre: Horror Comedy,Black Sheep (2007),"Release Date: June 22, 2007"," $4,947,717"
351,Genre: Drama,Eddie the Eagle,"Release Date: February 26, 2016"," $46,152,800"
352,Genre: Action Comedy,Sgt. Bilko,"Release Date: March 29, 1996"," $37,956,793"
353,Genre: Animation,James and the Giant Peach,"Release Date: April 12, 1996",Writer:
354,Genre: Sci-Fi Horror,The Island of Dr. Moreau,"Release Date: August 23, 1996"," $49,627,779"
355,Genre: Comedy,Spy Hard,"Release Date: May 24, 1996",Actor:
356,Genre: Thriller,Eye for an Eye,"Release Date: January 12, 1996",Writers:
358,Genre: Family Comedy,First Kid,"Release Date: August 30, 1996",Writer:
359,Genre: Music Drama,That Thing You Do!,"Release Date: October 4, 1996"," $34,585,416"
360,Genre: Action Horror,From Dusk Till Dawn,"Release Date: January 19, 1996",Writer:
361,Genre: Comedy,Down Periscope,"Release Date: March 1, 1996"," $37,553,752"
362,Genre: Sci-Fi Action,Escape From L.A.,"Release Date: August 9, 1996",Actors:
363,Genre: Family,Fly Away Home,"Release Date: September 13, 1996",Composer:
364,Genre: Sports Comedy,Kingpin,"Release Date: July 26, 1996",Actors:
366,Genre: Crime Comedy,Fargo,"Release Date: March 8, 1996"," $60,611,975"
367,Genre: Drama,Sling Blade,"Release Date: November 29, 1996",Actors:
369,Genre: Thriller,The Juror,"Release Date: February 2, 1996",Actors:
370,Genre: Comedy,My Fellow Americans,"Release Date: December 20, 1996",Writer:
373,Genre: Action,Bulletproof Monk,"Release Date: April 16, 2003"," $37,713,879"
374,Genre: Comedy,A Very Brady Sequel,"Release Date: August 23, 1996",Writer:
375,Genre: Comedy,High School High,"Release Date: October 25, 1996",Writer:
376,Genre: Action Thriller,Chain Reaction,"Release Date: August 2, 1996"," $60,209,334"
377,Genre: Sci-Fi Comedy,Multiplicity,"Release Date: July 19, 1996",Actors:
378,Genre: Animation,Oliver & Company,"Release Date: November 18, 1988",Actor:
379,Genre: Crime Thriller,Sudden Fear (2016 re-release),"Release Date: August 12, 2016",Actors:
380,Genre: Documentary,Steve McQueen:The Man & Le Mans,"Release Date: November 13, 2015"," $6,843"
381,Genre: Drama / Thriller,City Hall,"Release Date: February 16, 1996",Actors:
382,Genre: Comedy / Drama,The People Vs. Larry Flynt,"Release Date: December 27, 1996",Writers:
383,Genre: Comedy,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,"Release Date: January 12, 1996"," $20,109,115"
385,Genre: Drama / Thriller,mother!,"Release Date: September 15, 2017"," $44,516,999"
386,Genre: Romance,Bed of Roses,"Release Date: January 26, 1996"," $27,315,527"
387,Genre: Family Comedy,Kazaam,"Release Date: July 19, 1996",Actor:
389,Genre: Period Action,Last Man Standing,"Release Date: September 20, 1996"," $47,267,001"
390,Genre: Action Horror,The Crow:City of Angels,"Release Date: August 30, 1996",Writer:
391,Genre: Thriller,Extreme Measures,"Release Date: September 27, 1996",Writer:
392,Genre: Drama,Phantom Thread,"Release Date: December 25, 2017",Actors:
393,Genre: Action Comedy,Fled,"Release Date: July 19, 1996",Actors:
