,Genre,Movies,Release_Date,WGross
394,Genre: Thriller,Diabolique (1996),"Release Date: March 22, 1996",Writer:
395,Genre: Horror Comedy,The Frighteners,"Release Date: July 19, 1996"," $29,359,216"
396,Genre: Crime Comedy,T2:Trainspotting,"Release Date: March 17, 2017"," $41,681,746"
397,Genre: Action,Supercop,"Release Date: July 26, 1996",Actor:
398,Genre: Horror,Stephen King's Thinner,"Release Date: October 25, 1996",Producer:
399,Genre: Family Adventure,The Adventures of Pinocchio,"Release Date: July 26, 1996",Actors:
402,Genre: Sci-Fi Horror,The Lost World:Jurassic Park,"Release Date: May 23, 1997"," $618,638,999"
403,Genre: Fantasy Comedy,Liar Liar,"Release Date: March 21, 1997"," $302,710,615"
404,Genre: Action Thriller,Air Force One,"Release Date: July 25, 1997"," $315,156,409"
405,Genre: Romantic Comedy,As Good as It Gets,"Release Date: December 23, 1997"," $314,178,011"
406,Genre: Drama,Good Will Hunting,"Release Date: December 5, 1997"," $225,933,435"
408,Genre: Romantic Comedy,My Best Friend's Wedding (2016),"Release Date: August 12, 2016"," $5,707,770"
409,Genre: Action,Tomorrow Never Dies,"Release Date: December 19, 1997"," $333,011,068"
410,Genre: Action,Face/Off,"Release Date: June 27, 1997"," $245,676,146"
411,Genre: Action / Adventure,Batman and Robin,"Release Date: June 20, 1997"," $238,207,122"
412,Genre: Family Comedy,George of the Jungle,"Release Date: July 18, 1997"," $174,463,257"
413,Genre: Horror,Scream 2,"Release Date: December 12, 1997"," $172,363,301"
414,Genre: Foreign / Action,Fetih 1453:The Conquest of Constantinople,"Release Date: April 6, 2012"," $34,484,837"
415,Genre: Sci-Fi,Contact,"Release Date: July 11, 1997"," $171,120,329"
416,Genre: Action / Adventure,Hercules (2014),"Release Date: July 25, 2014"," $244,819,862"
417,Genre: Family Comedy,Flubber,"Release Date: November 26, 1997"," $177,977,226"
418,Genre: Thriller,Conspiracy Theory,"Release Date: August 8, 1997"," $136,982,834"
419,Genre: Horror,I Still Know What You Did Last Summer,"Release Date: November 13, 1998",Producer:
420,Genre: Sci-Fi Fantasy,The Empire Strikes Back,"Release Date: May 21, 1980"," $538,375,067"
421,Genre: Action Drama,Dante's Peak,"Release Date: February 7, 1997"," $178,127,760"
422,Genre: Horror,Anacondas:The Hunt for the Blood Orchid,"Release Date: August 27, 2004"," $70,992,898"
423,Genre: Crime Drama,L.A. Confidential,"Release Date: September 19, 1997"," $126,216,940"
425,Genre: Sci-Fi Action,The Fifth Element,"Release Date: May 9, 1997"," $263,920,180"
426,Genre: Comedy,Mouse Hunt,"Release Date: December 19, 1997"," $122,417,389"
427,Genre: Drama,All Saints,"Release Date: August 25, 2017"," $5,942,565"
428,Genre: Horror Thriller,The Devil's Advocate,"Release Date: October 17, 1997"," $152,944,660"
429,Genre: Thriller,Kiss the Girls,"Release Date: October 3, 1997",Composer:
430,Genre: Family Comedy,Jungle 2 Jungle,"Release Date: March 7, 1997",Actor:
431,Genre: Animation,Anastasia,"Release Date: November 14, 1997"," $139,804,348"
433,Genre: Action Horror,Spawn,"Release Date: August 1, 1997"," $87,840,042"
434,Genre: Sci-Fi Action,Starship Troopers,"Release Date: November 7, 1997"," $121,214,377"
435,Genre: Comedy,Austin Powers:International Man of Mystery,"Release Date: May 2, 1997"," $67,683,989"
436,Genre: Foreign,Broken Circle Breakdown,"Release Date: November 1, 2013"," $5,475,058"
437,Genre: Crime Thriller,Absolute Power,"Release Date: February 14, 1997",Actors:
438,Genre: Action Drama,Volcano,"Release Date: April 25, 1997"," $122,823,468"
439,Genre: Action Thriller,Speed 2:Cruise Control,"Release Date: June 13, 1997"," $164,508,066"
441,Genre: Action Drama,G.I. Jane,"Release Date: August 22, 1997",Writer:
442,Genre: Sci-Fi Horror,Alien Resurrection,"Release Date: November 26, 1997"," $161,376,068"
443,Genre: Comedy,The Full Monty,"Release Date: August 15, 1997"," $257,938,649"
444,Genre: Drama / Thriller,The Rainmaker (1997),"Release Date: November 21, 1997",Producer:
445,Genre: Sci-Fi Fantasy,Return of the Jedi,"Release Date: May 25, 1983"," $475,106,177"
446,Genre: Drama,Sweet Bean,"Release Date: March 18, 2016"," $124,800"
447,Genre: Crime Drama,Cop Land,"Release Date: August 15, 1997",Writer:
448,Genre: Action Comedy,Nothing to Lose,"Release Date: July 18, 1997",Writer:
449,Genre: Period Drama,Amistad,"Release Date: December 10, 1997",Writer:
450,Genre: Comedy / Drama,Soul Food,"Release Date: September 26, 1997",Writer:
451,Genre: Comedy,Wag the Dog,"Release Date: December 25, 1997"," $64,256,513"
452,Genre: Drama / Thriller,The Devil's Own,"Release Date: March 28, 1997"," $140,807,547"
453,Genre: Crime Drama,Donnie Brasco,"Release Date: February 28, 1997"," $124,909,762"
454,Genre: Action Thriller,The Peacemaker,"Release Date: September 26, 1997"," $110,463,140"
455,Genre: Comedy,Private Parts,"Release Date: March 7, 1997",Actor:
456,Genre: Action Comedy,Money Talks,"Release Date: August 22, 1997"," $48,407,611"
457,Genre: Crime,Jackie Brown,"Release Date: December 25, 1997",Writer:
458,Genre: Period Adventure,Seven Years in Tibet,"Release Date: October 10, 1997"," $131,457,682"
459,Genre: Comedy,Vegas Vacation,"Release Date: February 14, 1997",Writer:
460,Genre: Action,Mortal Kombat:Annihilation,"Release Date: November 21, 1997"," $51,376,861"
461,Genre: Music Drama,Selena,"Release Date: March 21, 1997",Actor:
462,Genre: Romantic Comedy,Addicted to Love,"Release Date: May 23, 1997",Actors:
463,Genre: Horror,The Relic,"Release Date: January 10, 1997",Writers:
464,Genre: Comedy / Drama,Metropolitan (2015 re-release),"Release Date: August 7, 2015",Writer:
465,Genre: Comedy,For Richer or Poorer,"Release Date: December 12, 1997"," $32,748,995"
466,Genre: Action Comedy,Beverly Hills Ninja,"Release Date: January 17, 1997",Actors:
467,Genre: Romantic Comedy,Picture Perfect,"Release Date: August 1, 1997"," $44,332,015"
468,Genre: Foreign,A Girl Walks Home Alone at Night,"Release Date: November 21, 2014"," $491,910"
469,Genre: Romantic Comedy,Fools Rush In,"Release Date: February 14, 1997",Actors:
470,Genre: Comedy,Romy & Michele's High School Reunion,"Release Date: April 25, 1997"," $29,235,353"
471,Genre: Comedy,Out to Sea,"Release Date: July 4, 1997"," $30,716,901"
472,Genre: Comedy,Father's Day,"Release Date: May 9, 1997",Actors:
473,Genre: Crime Comedy,Grosse Pointe Blank,"Release Date: April 11, 1997",Writer:
474,Genre: Comedy,The Edge of Seventeen,"Release Date: November 18, 2016"," $18,803,648"
475,Genre: Animation,The Little Mermaid,"Release Date: November 17, 1989"," $211,343,479"
476,Genre: Sci-Fi Horror,Event Horizon,"Release Date: August 15, 1997",Actor:
478,Genre: Drama,Boogie Nights,"Release Date: October 10, 1997"," $43,101,594"
479,Genre: Action Thriller,Murder at 1600,"Release Date: April 18, 1997",Actors:
480,Genre: Sci-Fi Horror,Mimic,"Release Date: August 22, 1997",Writer:
481,Genre: Crime Drama,Midnight in the Garden of Good & Evil,"Release Date: November 21, 1997",Writer:
482,Genre: Family Comedy,Good Burger,"Release Date: July 25, 1997",Producers:
483,Genre: Crime Drama,Hoodlum,"Release Date: August 29, 1997",Actors:
485,Genre: Drama / Thriller,Red Corner,"Release Date: October 31, 1997",Producer:
486,Genre: Comedy,Mr. Magoo,"Release Date: December 25, 1997",* Denotes minor role
487,Genre: Comedy,Booty Call,"Release Date: February 28, 1997",Actors:
491,Genre: Family Comedy,That Darn Cat,"Release Date: February 14, 1997",Writers:
492,Genre: Animation,Postman Pat:The Movie,"Release Date: June 27, 2014"," $1,323,843"
493,Genre: Romantic Comedy,That Old Feeling,"Release Date: April 4, 1997",Writer:
496,Genre: Documentary,Steve McQueen:The Man & Le Mans,"Release Date: November 13, 2015"," $6,843"
497,Genre: Action,Jackie Chan's First Strike,"Release Date: January 10, 1997"," $21,890,845"
498,Genre: Drama,Eve's Bayou,"Release Date: November 7, 1997",Producers:
499,Genre: Documentary,Steve McQueen:The Man & Le Mans,"Release Date: November 13, 2015"," $6,843"
500,Genre: War,Saving Private Ryan,"Release Date: July 24, 1998"," $481,840,909"
502,Genre: Romantic Comedy,There's Something About Mary,"Release Date: July 15, 1998"," $369,884,651"
503,Genre: Animation,A Bug's Life,"Release Date: November 20, 1998"," $363,258,859"
504,Genre: Sports Comedy,The Waterboy,"Release Date: November 6, 1998"," $185,991,646"
506,Genre: Action Comedy,Rush Hour 3,"Release Date: August 10, 2007"," $258,022,233"
507,Genre: Action Drama,Deep Impact,"Release Date: May 8, 1998"," $349,464,664"
509,Genre: Comedy / Drama,Patch Adams,"Release Date: December 25, 1998"," $202,292,902"
510,Genre: Action Comedy,Lethal Weapon 4,"Release Date: July 10, 1998"," $285,444,603"
513,Genre: Romantic Comedy,You've Got Mail,"Release Date: December 18, 1998"," $250,821,495"
514,Genre: Action Thriller,Enemy of the State,"Release Date: November 20, 1998"," $250,649,836"
515,Genre: Animation,The Prince of Egypt,"Release Date: December 18, 1998"," $218,613,188"
516,Genre: Animation,Rugrats in Paris:The Movie,"Release Date: November 17, 2000"," $103,291,131"
517,Genre: Period Comedy,Shakespeare in Love,"Release Date: December 11, 1998"," $289,317,794"
518,Genre: Period Adventure,The Mask of Zorro,"Release Date: July 17, 1998"," $250,288,523"
519,Genre: Comedy / Drama,Stepmom,"Release Date: December 25, 1998"," $159,710,793"
520,Genre: Animation,Antz,"Release Date: October 2, 1998"," $171,757,863"
522,Genre: Sci-Fi Thriller,The X-Files:I Want to Believe,"Release Date: July 25, 2008"," $68,369,434"
523,Genre: Romantic Comedy,The Wedding Singer,"Release Date: February 13, 1998"," $123,306,987"
524,Genre: Romance,City of Angels,"Release Date: April 10, 1998"," $198,685,114"
525,Genre: Romance,The Horse Whisperer,"Release Date: May 15, 1998"," $186,883,563"
527,Genre: Sci-Fi Adventure,Star Trek:Insurrection,"Release Date: December 11, 1998"," $112,587,658"
529,Genre: Sci-Fi Adventure,Lost in Space,"Release Date: April 3, 1998"," $136,159,423"
530,Genre: Thriller,A Perfect Murder,"Release Date: June 5, 1998"," $128,038,368"
531,Genre: Family Comedy,The Parent Trap,"Release Date: July 31, 1998"," $92,108,518"
532,Genre: Romance,Ever After:A Cinderella Story,"Release Date: July 31, 1998"," $98,005,666"
533,Genre: Comedy / Drama,Hope Floats,"Release Date: May 29, 1998"," $81,471,882"
534,Genre: Foreign,Life Is Beautiful,"Release Date: October 23, 1998"," $229,163,264"
535,Genre: Action Thriller,U.S. Marshals,"Release Date: March 6, 1998"," $102,367,405"
536,Genre: Period Adventure,The Man in the Iron Mask,"Release Date: March 13, 1998"," $182,968,902"
537,Genre: Drama / Thriller,A Civil Action,"Release Date: December 25, 1998",Writer:
538,Genre: Thriller,Snake Eyes,"Release Date: August 7, 1998"," $103,891,409"
539,Genre: Fantasy Drama,What Dreams May Come,"Release Date: October 2, 1998",Producers:
540,Genre: Horror,Halloween:H20,"Release Date: August 7, 1998",Actors:
541,Genre: Family Comedy,Small Soldiers,"Release Date: July 10, 1998",Actors:
542,Genre: IMAX,T-Rex:Back to the Cretaceous (IMAX),"Release Date: October 23, 1998"," $103,960,367"
543,Genre: Adventure,Mighty Joe Young,"Release Date: December 25, 1998",Actor:
544,Genre: Romantic Comedy,Practical Magic,"Release Date: October 16, 1998",Actors:
545,Genre: Fantasy Drama,Meet Joe Black,"Release Date: November 13, 1998"," $142,940,100"
546,Genre: Action Thriller,The Negotiator,"Release Date: July 31, 1998",Writer:
547,Genre: Action Drama,47 Ronin,"Release Date: December 25, 2013"," $151,783,839"
548,Genre: Fantasy,In the Name of the King:A Dungeon Siege Tale,"Release Date: January 11, 2008"," $13,097,915"
549,Genre: IMAX,Mysteries of Egypt (IMAX),"Release Date: August 21, 1998"," $44,703,731"
550,Genre: Fantasy Drama,Pleasantville,"Release Date: October 23, 1998"," $49,805,462"
551,Genre: Horror,The Faculty,"Release Date: December 25, 1998",Writer:
552,Genre: Horror,I Still Know What You Did Last Summer,"Release Date: November 13, 1998",Producer:
553,Genre: Drama,Primary Colors,"Release Date: March 20, 1998"," $52,090,187"
554,Genre: Horror,Urban Legends:Final Cut,"Release Date: September 22, 2000"," $38,574,362"
555,Genre: Romance,How Stella Got Her Groove Back,"Release Date: August 14, 1998"," $39,278,722"
556,Genre: Crime Comedy,Out of Sight,"Release Date: June 26, 1998"," $77,745,568"
557,Genre: Sci-Fi Thriller,Sphere,"Release Date: February 13, 1998",Writer:
558,Genre: War,The Thin Red Line,"Release Date: December 25, 1998"," $98,126,565"
559,Genre: Family,Jack Frost,"Release Date: December 11, 1998",Actor:
560,Genre: Action Thriller,Mercury Rising,"Release Date: April 3, 1998"," $93,107,289"
561,Genre: Horror Comedy,Bride of Chucky,"Release Date: October 16, 1998"," $50,671,850"
562,Genre: Comedy,A Night at the Roxbury,"Release Date: October 2, 1998",Writer:
563,Genre: Family Adventure,Where the Wild Things Are,"Release Date: October 16, 2009"," $100,086,793"
565,Genre: Music Drama,Guy and Madeline on a Park Bench,"Release Date: November 5, 2010",Writer:
567,Genre: Romantic Comedy,The Object of My Affection,"Release Date: April 17, 1998"," $46,905,889"
569,Genre: Action Comedy,The Big Hit,"Release Date: April 24, 1998",Composer:
570,Genre: Family,Paulie,"Release Date: April 17, 1998",Producers:
571,Genre: Comedy,Bulworth,"Release Date: May 15, 1998"," $29,202,884"
572,Genre: Romance,Great Expectations (2013),"Release Date: November 8, 2013"," $258,656"
573,Genre: Comedy,Can't Hardly Wait,"Release Date: June 12, 1998",Actors:
574,Genre: Action / Adventure,Jurassic World:Fallen Kingdom,"Release Date: June 22, 2018",Composer:
575,Genre: Comedy,Waking Ned Devine,"Release Date: November 20, 1998"," $55,257,450"
577,Genre: Drama,One True Thing,"Release Date: September 18, 1998"," $26,616,840"
578,Genre: Comedy,The Players Club,"Release Date: April 10, 1998"," $23,261,485"
579,Genre: Crime Drama,Rounders,"Release Date: September 11, 1998",Writers:
580,Genre: Foreign,Beloved Sisters,"Release Date: January 9, 2015"," $2,207,030"
581,Genre: Family Adventure,The Borrowers,"Release Date: February 13, 1998"," $22,619,589"
582,Genre: Animation,Quest for Camelot,"Release Date: May 15, 1998",Writers:
583,Genre: Sports Drama,He Got Game,"Release Date: May 1, 1998",Actors:
586,Genre: Crime Comedy,Mafia!,"Release Date: July 24, 1998",Writer:
587,Genre: Action / Crime,Hard Rain,"Release Date: January 16, 1998",Producers:
588,Genre: Sci-Fi Horror,Species II,"Release Date: April 10, 1998",Composer:
589,Genre: Action,The Replacement Killers,"Release Date: February 6, 1998",Producer:
591,Genre: Family Adventure,Babe:Pig in the City,"Release Date: November 25, 1998"," $69,131,860"
592,Genre: Drama,Simon Birch,"Release Date: September 11, 1998",Writer:
593,Genre: Horror,Disturbing Behavior,"Release Date: July 24, 1998",Actors:
594,Genre: Comedy,Half Baked,"Release Date: January 16, 1998",Producer:
595,Genre: Crime Comedy,The Big Lebowski,"Release Date: March 6, 1998",Writers:
596,Genre: Comedy,Rushmore,"Release Date: December 11, 1998"," $17,105,219"
598,Genre: Crime Drama,A Simple Plan ,"Release Date: December 11, 1998",Actor:
600,Genre: Sci-Fi Fantasy,Star Wars:Episode I - The Phantom Menace,"Release Date: May 19, 1999"," $1,027,044,677"
601,Genre: Horror,The Sixth Sense,"Release Date: August 6, 1999"," $672,806,292"
602,Genre: Animation,Toy Story / Toy Story 2 (3D),"Release Date: October 2, 2009"," $32,284,600"
603,Genre: Comedy,Austin Powers:The Spy Who Shagged Me,"Release Date: June 11, 1999"," $312,016,858"
604,Genre: Sci-Fi Action,The Matrix Revolutions,"Release Date: November 5, 2003"," $427,343,298"
605,Genre: Action / Adventure,The Legend of Tarzan,"Release Date: July 1, 2016"," $356,700,357"
606,Genre: Comedy,Big Daddy,"Release Date: June 25, 1999"," $234,801,895"
607,Genre: Action / Adventure,The Mummy (2017),"Release Date: June 9, 2017"," $409,104,837"
608,Genre: Romantic Comedy,Runaway Bride,"Release Date: July 30, 1999"," $309,457,509"
609,Genre: Horror,The Blair Witch Project,"Release Date: July 16, 1999"," $248,639,099"
610,Genre: Family Adventure,Stuart Little 2,"Release Date: July 19, 2002"," $169,956,806"
611,Genre: Period Drama,The Green Mile,"Release Date: December 10, 1999"," $286,801,374"
612,Genre: Drama,American Beauty,"Release Date: September 15, 1999"," $356,296,601"
614,Genre: Thriller,Double Jeopardy,"Release Date: September 24, 1999"," $177,841,558"
615,Genre: Romantic Comedy,Notting Hill,"Release Date: May 28, 1999"," $363,889,678"
616,Genre: Western Comedy,Wild Wild West,"Release Date: June 30, 1999"," $222,104,681"
617,Genre: Crime Comedy,Analyze This,"Release Date: March 5, 1999"," $176,885,658"
618,Genre: Thriller,The General's Daughter,"Release Date: June 18, 1999"," $149,705,852"
619,Genre: Foreign,My Piece of the Pie,"Release Date: December 9, 2011"," $6,850"
620,Genre: Period Horror,Sleepy Hollow,"Release Date: November 19, 1999"," $206,071,502"
621,Genre: Family Adventure,Inspector Gadget,"Release Date: July 23, 1999"," $134,403,112"
623,Genre: Romantic Thriller,Entrapment,"Release Date: April 30, 1999"," $212,404,396"
624,Genre: Animation,Pokemon:The First Movie,"Release Date: November 10, 1999"," $163,644,662"
626,Genre: Thriller,The Talented Mr. Ripley,"Release Date: December 25, 1999"," $128,798,265"
