,Age,Athlete,Country,Medal,NOC,Rank,Time,Year,Type,Gender,test
4763,19.0,Henrik Kristoffersen,Norway,,NOR,10.0,2:46.79,2014,Giant Slalom,Male,False
4778,21.0,Trevor Philp,Canada,,CAN,25.0,2:49.55,2014,Giant Slalom,Male,False
4779,24.0,Sergey Maytakov,Russia,,RUS,26.0,2:49.67,2014,Giant Slalom,Male,False
4780,34.0,Ivica KosteliÄ,Croatia,,CRO,27.0,2:49.68,2014,Giant Slalom,Male,False
4789,25.0,Paul de la Cuesta,Spain,,ESP,36.0,2:53.26,2014,Giant Slalom,Male,False
4795,19.0,Marco Pfiffner,Liechtenstein,,LIE,42.0,2:56.72,2014,Giant Slalom,Male,False
4794,25.0,Jung Dong-Hyeon,South Korea,,KOR,41.0,2:55.26,2014,Giant Slalom,Male,False
4793,33.0,Cristian Simari Birkner,Argentina,,ARG,40.0,2:53.91,2014,Giant Slalom,Male,False
5401,25.0,Paul de la Cuesta,Spain,,ESP,22.0,2:52.06,2014,Combined,Male,False
5399,23.0,Morgan Pridy,Canada,,CAN,20.0,2:50.03,2014,Combined,Male,False
4840,19.0,Henrik von Appen,Chile,,CHI,,,2014,Giant Slalom,Male,False
4850,26.0,Dow Travers,Cayman Islands,,CAY,,,2014,Giant Slalom,Male,False
5414,22.0,Klemen Kosi,Slovenia,,SLO,,[2:50.63],2014,Combined,Male,False
5413,21.0,Christoffer Faarup,Denmark,,DEN,34.0,3:08.32,2014,Combined,Male,False
5393,28.0,Romed Baumann,Austria,,AUT,14.0,2:47.59,2014,Combined,Male,False
5392,23.0,Matthias Mayer,Austria,,AUT,13.0,2:47.46,2014,Combined,Male,False
5391,29.0,Ted Ligety,United States,,USA,12.0,2:47.39,2014,Combined,Male,False
5390,22.0,Jared Goldberg,United States,,USA,11.0,2:47.29,2014,Combined,Male,False
4852,31.0,Manfred MÃ¶lgg,Italy,,ITA,,,2014,Giant Slalom,Male,False
4851,43.0,Antonio JosÃ© Pardo,Venezuela,,VEN,,,2014,Giant Slalom,Male,False
4849,20.0,Conor Lyne,Ireland,,IRL,,,2014,Giant Slalom,Male,False
5398,27.0,KryÅ¡tof KrÃ½zl,Czech Republic,,CZE,19.0,2:49.89,2014,Combined,Male,False
4848,22.0,Yury Danilochkin,Belarus,,BLR,,,2014,Giant Slalom,Male,False
4847,24.0,Antonio Ristevski,Macedonia,,MKD,,,2014,Giant Slalom,Male,False
4846,22.0,Igor Laikert,Bosnia and Herzegovina,,BIH,,,2014,Giant Slalom,Male,False
4845,19.0,MÄrtiÅÅ¡ Onskulis,Latvia,,LAT,,,2014,Giant Slalom,Male,False
4844,25.0,Iason Abramashvili,Georgia,,GEO,,,2014,Giant Slalom,Male,False
4843,22.0,Aleksi Benianidze,Georgia,,GEO,,,2014,Giant Slalom,Male,False
4842,21.0,Marko VukiÄeviÄ,Serbia,,SRB,,,2014,Giant Slalom,Male,False
4841,24.0,Pol Carreras,Spain,,ESP,,,2014,Giant Slalom,Male,False
5415,20.0,Matej Falat,Slovakia,,SVK,,,2014,Combined,Male,False
5416,22.0,Yury Danilochkin,Belarus,,BLR,,,2014,Combined,Male,False
5417,20.0,Martin BendÃ­k,Slovakia,,SVK,,,2014,Combined,Male,False
5418,23.0,Ioan Achiriloaie,Romania,,ROU,,,2014,Combined,Male,False
5397,24.0,Dominik Paris,Italy,,ITA,18.0,2:49.45,2014,Combined,Male,False
5396,29.0,Adrien ThÃ©aux,France,,FRA,17.0,2:48.66,2014,Combined,Male,False
5395,31.0,Martin VrÃ¡blÃ­k,Czech Republic,,CZE,16.0,2:47.92,2014,Combined,Male,False
5394,26.0,Beat Feuz,Switzerland,,SUI,15.0,2:47.75,2014,Combined,Male,False
5409,29.0,Aleksandr Khoroshilov,Russia,,RUS,30.0,2:58.46,2014,Combined,Male,False
5411,19.0,Henrik von Appen,Chile,,CHI,32.0,2:58.91,2014,Combined,Male,False
4837,23.0,Stefan Prisadov,Bulgaria,,BUL,,,2014,Giant Slalom,Male,False
5412,22.0,Martin Khuber,Kazakhstan,,KAZ,33.0,2:59.86,2014,Combined,Male,False
5427,23.0,Jorge Birkner,Argentina,,ARG,,,2014,Combined,Male,False
5426,27.0,Andrew Weibrecht,United States,,USA,,,2014,Combined,Male,False
5425,28.0,Thomas Mermillod-Blondin,France,,FRA,,,2014,Combined,Male,False
5424,22.0,Alexis Pinturault,France,,FRA,,,2014,Combined,Male,False
5423,31.0,Peter Fill,Italy,,ITA,,,2014,Combined,Male,False
5422,25.0,Mauro Caviezel,Switzerland,,SUI,,,2014,Combined,Male,False
5421,25.0,Maciej BydliÅski,Poland,,POL,,,2014,Combined,Male,False
5420,24.0,Max Franz,Austria,,AUT,,,2014,Combined,Male,False
5419,21.0,Aleksander Aamodt Kilde,Norway,,NOR,,,2014,Combined,Male,False
3293,20.0,Luca Aerni,Switzerland,,SUI,,,2014,Slalom,Male,False
3284,26.0,Axel BÃ¤ck,Sweden,,SWE,,,2014,Slalom,Male,False
4774,22.0,Samu Torsti,Finland,,FIN,21.0,2:47.97,2014,Giant Slalom,Male,False
3325,25.0,Katarina Lavtar,Slovenia,,SLO,20.0,2:40.64,2014,Giant Slalom,Women,False
3343,21.0,Barbara KantorovÃ¡,Slovakia,,SVK,38.0,2:47.81,2014,Giant Slalom,Women,False
3342,28.0,Å½ana NovakoviÄ,Bosnia and Herzegovina,,BIH,37.0,2:47.78,2014,Giant Slalom,Women,False
3341,28.0,Mariya Kirkova,Bulgaria,,BUL,36.0,2:47.59,2014,Giant Slalom,Women,False
3340,17.0,Andrea KomÅ¡iÄ,Croatia,,CRO,35.0,2:46.61,2014,Giant Slalom,Women,False
3339,25.0,Edit MiklÃ³s,Hungary,,HUN,34.0,2:46.59,2014,Giant Slalom,Women,False
3337,19.0,Maryna GÄsienica-Daniel,Poland,,POL,32.0,2:45.50,2014,Giant Slalom,Women,False
3336,23.0,Ilka Å tuhec,Slovenia,,SLO,31.0,2:44.85,2014,Giant Slalom,Women,False
3334,28.0,Resi Stiegler,United States,,USA,29.0,2:44.07,2014,Giant Slalom,Women,False
3333,23.0,Nevena IgnjatoviÄ,Serbia,,SRB,28.0,2:42.46,2014,Giant Slalom,Women,False
3351,18.0,Helga MarÃ­a VilhjÃ¡lmsdÃ³ttir,Iceland,,ISL,46.0,2:51.91,2014,Giant Slalom,Women,False
3332,22.0,Mona LÃ¸seth,Norway,,NOR,27.0,2:42.12,2014,Giant Slalom,Women,False
3331,29.0,Fabienne Suter,Switzerland,,SUI,26.0,2:42.06,2014,Giant Slalom,Women,False
3330,24.0,Barbara Wirth,Germany,,GER,25.0,2:41.73,2014,Giant Slalom,Women,False
3329,18.0,Petra VlhovÃ¡,Slovakia,,SVK,24.0,2:41.69,2014,Giant Slalom,Women,False
3328,18.0,Lotte Sejersted,Norway,,NOR,23.0,2:41.45,2014,Giant Slalom,Women,False
3327,21.0,Adeline Baud,France,,FRA,22.0,2:40.91,2014,Giant Slalom,Women,False
3326,23.0,Erin Mielzynski,Canada,,CAN,21.0,2:40.69,2014,Giant Slalom,Women,False
3349,24.0,Mariya Shkanova,Belarus,,BLR,44.0,2:50.58,2014,Giant Slalom,Women,False
3344,29.0,Macarena Simari Birkner,Argentina,,ARG,39.0,2:47.85,2014,Giant Slalom,Women,False
3335,26.0,Megan McJames,United States,,USA,30.0,2:44.37,2014,Giant Slalom,Women,False
3324,27.0,Kathrin Zettel,Austria,,AUT,19.0,2:40.33,2014,Giant Slalom,Women,False
3323,25.0,Kajsa Kling,Sweden,,SWE,18.0,2:40.30,2014,Giant Slalom,Women,False
3318,28.0,Frida Hansdotter,Sweden,,SWE,13.0,2:39.85,2014,Giant Slalom,Women,False
3317,28.0,Michaela Kirchgasser,Austria,,AUT,12.0,2:39.81,2014,Giant Slalom,Women,False
3316,32.0,Elisabeth GÃ¶rgl,Austria,,AUT,11.0,2:39.64,2014,Giant Slalom,Women,False
3315,28.0,Dominique Gisin,Switzerland,,SUI,10.0,2:39.58,2014,Giant Slalom,Women,False
3314,22.0,Lara Gut,Switzerland,,SUI,9.0,2:38.64,2014,Giant Slalom,Women,False
3313,25.0,AnÃ©mone Marmottan,France,,FRA,8.0,2:38.48,2014,Giant Slalom,Women,False
3312,29.0,Jessica Lindell-Vikarby,Sweden,,SWE,7.0,2:38.02,2014,Giant Slalom,Women,False
3311,27.0,Maria PietilÃ¤-Holmner,Sweden,,SWE,6.0,2:37.82,2014,Giant Slalom,Women,False
3310,18.0,Mikaela Shiffrin,United States,,USA,5.0,2:37.37,2014,Giant Slalom,Women,False
3309,27.0,Nadia Fanchini,Italy,,ITA,4.0,2:37.25,2014,Giant Slalom,Women,False
3308,24.0,Viktoria Rebensburg,Germany,Bronze,GER,3.0,2:37.14,2014,Giant Slalom,Women,False
3307,24.0,Anna Fenninger,Austria,Silver,AUT,2.0,2:36.94,2014,Giant Slalom,Women,False
3306,30.0,Tina Maze,Slovenia,Gold,SLO,1.0,2:36.87,2014,Giant Slalom,Women,False
3346,18.0,Greta Small,Australia,,AUS,41.0,2:49.66,2014,Giant Slalom,Women,False
3347,23.0,Noelle Barahona,Chile,,CHI,42.0,2:49.86,2014,Giant Slalom,Women,False
3348,24.0,Bohdana Matsotska,Ukraine,,UKR,43.0,2:50.53,2014,Giant Slalom,Women,False
3322,24.0,Nina LÃ¸seth,Norway,,NOR,17.0,2:39.96,2014,Giant Slalom,Women,False
3345,24.0,Lavinia Chrystal,Australia,,AUS,40.0,2:48.57,2014,Giant Slalom,Women,False
3352,20.0,SalomÃ© BÃ¡ncora,Argentina,,ARG,47.0,2:52.04,2014,Giant Slalom,Women,False
3320,33.0,Tanja Poutiainen,Finland,,FIN,14.0,2:39.88,2014,Giant Slalom,Women,False
3355,21.0,Emily Bamford,Australia,,AUS,50.0,2:55.80,2014,Giant Slalom,Women,False
3392,23.0,Lelde GasÅ«na,Latvia,,LAT,,,2014,Giant Slalom,Women,False
3369,26.0,Kseniya Grigoryeva,Uzbekistan,,UZB,64.0,3:11.54,2014,Giant Slalom,Women,False
3368,28.0,TuÄba DaÅdemir-KocaaÄa,Turkey,,TUR,63.0,3:09.80,2014,Giant Slalom,Women,False
3367,18.0,Kenza Tazi,Morocco,,MAR,62.0,3:09.79,2014,Giant Slalom,Women,False
3359,21.0,Maya Harrisson,Brazil,,BRA,54.0,3:01.86,2014,Giant Slalom,Women,False
3354,20.0,Nino Tsiklauri,Georgia,,GEO,49.0,2:55.34,2014,Giant Slalom,Women,False
3353,25.0,Anna Berecz,Hungary,,HUN,48.0,2:54.05,2014,Giant Slalom,Women,False
3366,18.0,Triin Tobi,Estonia,,EST,61.0,3:09.17,2014,Giant Slalom,Women,False
3356,18.0,Ania Caill,Romania,,ROU,51.0,2:57.26,2014,Giant Slalom,Women,False
3370,22.0,Ãlise Pellegrin,Malta,,MLT,65.0,3:13.12,2014,Giant Slalom,Women,False
3357,20.0,Erla ÃsgeirsdÃ³ttir,Iceland,,ISL,52.0,3:01.66,2014,Giant Slalom,Women,False
3358,17.0,Kim So-Hui,South Korea,,KOR,53.0,3:01.83,2014,Giant Slalom,Women,False
3360,18.0,Alessia Afi Dipol,Togo,,TOG,55.0,3:02.80,2014,Giant Slalom,Women,False
3361,22.0,Jasmine Campbell,United States Virgin Islands,,ISV,56.0,3:05.05,2014,Giant Slalom,Women,False
3362,22.0,Ornella Oettl,Peru,,PER,57.0,3:06.32,2014,Giant Slalom,Women,False
3363,25.0,Sophia Ralli,Greece,,GRE,58.0,3:06.47,2014,Giant Slalom,Women,False
3364,17.0,Camile Dias,Portugal,,POR,59.0,3:07.63,2014,Giant Slalom,Women,False
3365,20.0,Suela MÃ«hilli,Albania,,ALB,60.0,3:07.91,2014,Giant Slalom,Women,False
3391,22.0,KristÃ­na SaalovÃ¡,Slovakia,,SVK,,,2014,Giant Slalom,Women,False
3390,25.0,Mireia GutiÃ©rrez,Andorra,,AND,,,2014,Giant Slalom,Women,False
3389,25.0,Julietta Quiroga,Argentina,,ARG,,,2014,Giant Slalom,Women,False
3388,21.0,Martina DubovskÃ¡,Czech Republic,,CZE,,,2014,Giant Slalom,Women,False
3371,26.0,Xia Lina,China,,CHN,66.0,3:15.62,2014,Giant Slalom,Women,False
3372,35.0,Vanessa Vanakorn,Thailand,,THA,67.0,3:26.97,2014,Giant Slalom,Women,False
3373,33.0,Denise Karbon,Italy,,ITA,,,2014,Giant Slalom,Women,False
3374,21.0,Ragnhild Mowinckel,Norway,,NOR,,,2014,Giant Slalom,Women,False
3375,21.0,Mariya Bedaryova,Russia,,RUS,,,2014,Giant Slalom,Women,False
