,Age,Athlete,Country,Medal,NOC,Rank,Time,Year,Type,Gender,test
236,21.0,Helen Jamieson,Great Britain,,GBR,26.0,1:48.03,1968,Downhill,Women,False
224,22.0,Burgl FÃ¤rbinger,West Germany,,FRG,14.0,1:44.29,1968,Downhill,Women,False
1304,19.0,Gertrud Gabl,Austria,,AUT,,,1968,Slalom,Women,False
1303,21.0,Mihoko Otsue,Japan,,JPN,31.0,1:51.37,1968,Slalom,Women,False
1302,22.0,Anne Reid,New Zealand,,NZL,30.0,1:50.58,1968,Slalom,Women,False
3666,24.0,Willy Favre,Switzerland,Silver,SUI,2.0,3:31.50,1968,Giant Slalom,Male,False
3667,28.0,Heini Messner,Austria,Bronze,AUT,3.0,3:31.83,1968,Giant Slalom,Male,False
3668,27.0,Guy PÃ©rillat,France,,FRA,4.0,3:32.06,1968,Giant Slalom,Male,False
3669,24.0,Billy Kidd,United States,,USA,5.0,3:32.37,1968,Giant Slalom,Male,False
3670,29.0,Karl Schranz,Austria,,AUT,6.0,3:33.08,1968,Giant Slalom,Male,False
486,28.0,Dimitrios Pappos,Greece,,GRE,72,2:44.10,1968,DownHill,Male,False
1276,21.0,Gina Hathorn,Great Britain,,GBR,4.0,1:27.92,1968,Slalom,Women,False
484,21.0,Athanasios Tsimikalis,Greece,,GRE,70,2:36.93,1968,DownHill,Male,False
448,23.0,Lasse Hamre,Norway,,NOR,34,2:06.93,1968,DownHill,Male,False
426,27.0,Luggi Leitner,West Germany,,FRG,12,2:02.54,1968,DownHill,Male,False
445,22.0,Gerry Rinaldi,Canada,,CAN,31,2:06.30,1968,DownHill,Male,False
444,26.0,Ulf Ekstam,Finland,,FIN,30,2:06.14,1968,DownHill,Male,False
443,23.0,Rune LindstrÃ¶m,Sweden,,SWE,29,2:05.69,1968,DownHill,Male,False
442,21.0,Renato Valentini,Italy,,ITA,28,2:05.61,1968,DownHill,Male,False
451,21.0,Wolfgang Ender,Liechtenstein,,LIE,37,2:08.08,1968,DownHill,Male,False
441,23.0,Wayne Henderson,Canada,,CAN,27,2:05.56,1968,DownHill,Male,False
439,24.0,Jeremy Palmer-Tomkinson,Great Britain,,GBR,25,2:05.43,1968,DownHill,Male,False
438,19.0,Malcolm Milne,Australia,,AUS,24,2:05.36,1968,DownHill,Male,False
437,23.0,Jon Terje Ãverland,Norway,,NOR,23,2:05.34,1968,DownHill,Male,False
436,21.0,Teresio Vachet,Italy,,ITA,22,2:04.90,1968,DownHill,Male,False
3696,21.0,Wolfgang Ender,Liechtenstein,,LIE,32.0,3:43.43,1968,Giant Slalom,Male,False
3697,19.0,Malcolm Milne,Australia,,AUS,33.0,3:43.85,1968,Giant Slalom,Male,False
3698,25.0,Jaroslav Janda,Czechoslovakia,,TCH,34.0,3:44.27,1968,Giant Slalom,Male,False
3699,24.0,Jeremy Palmer-Tomkinson,Great Britain,,GBR,35.0,3:44.30,1968,Giant Slalom,Male,False
440,21.0,Andrzej Bachleda-CuruÅ,Poland,,POL,26,2:05.48,1968,DownHill,Male,False
446,20.0,Aurelio GarcÃ­a,Spain,,ESP,32,2:06.84,1968,DownHill,Male,False
460,28.0,Mario Vera,Chile,,CHI,46,2:10.44,1968,DownHill,Male,False
453,20.0,Luciano del Cacho,Spain,,ESP,39,2:08.85,1968,DownHill,Male,False
2230,16.0,Ghassan Keyrouz,Lebanon,,LIB,4 h9 r2/3,,1968,Slalom,Male,False
2231,25.0,Ãzer AteÅÃ§i,Turkey,,TUR,4 h11 r2/3,,1968,Slalom,Male,False
2232,23.0,Michael Dennis,New Zealand,,NZL,4 h12 r2/3,,1968,Slalom,Male,False
2233,25.0,Roberto Thostrup,Argentina,,ARG,4 h15 r2/3,,1968,Slalom,Male,False
447,23.0,Josef Gassner,Liechtenstein,,LIE,33,2:06.91,1968,DownHill,Male,False
449,19.0,Milan PaÅ¾out,Czechoslovakia,,TCH,35,2:07.45,1968,DownHill,Male,False
483,,Ovaness Meguerdonian,Iran,,IRI,69,2:30.25,1968,DownHill,Male,False
3700,26.0,Ulf Ekstam,Finland,,FIN,36.0,3:45.75,1968,Giant Slalom,Male,False
1298,22.0,Galina Sidorova,Soviet Union,,URS,26.0,1:42.89,1968,Slalom,Women,False
427,28.0,Egon Zimmermann,Austria,,AUT,13,2:02.55,1968,DownHill,Male,False
450,25.0,Jaroslav Janda,Czechoslovakia,,TCH,36,2:07.71,1968,DownHill,Male,False
417,22.0,Jean-Daniel DÃ¤twyler,Switzerland,Bronze,SUI,3,2:00.32,1968,DownHill,Male,False
418,28.0,Heini Messner,Austria,,AUT,4,2:01.03,1968,DownHill,Male,False
419,29.0,Karl Schranz,Austria,,AUT,5,2:01.89,1968,DownHill,Male,False
420,28.0,Ivo Mahlknecht,Italy,,ITA,6,2:02.00,1968,DownHill,Male,False
421,24.0,Gerhard Prinzing,West Germany,,FRG,7,2:02.10,1968,DownHill,Male,False
422,22.0,Bernard Orcel,France,,FRA,8,2:02.22,1968,DownHill,Male,False
423,27.0,Gerhard Nenning,Austria,,AUT,9,2:02.31,1968,DownHill,Male,False
424,24.0,Edy Bruggmann,Switzerland,,SUI,10,2:02.36,1968,DownHill,Male,False
435,22.0,Dennis McCoy,United States,,USA,21,2:04.82,1968,DownHill,Male,False
434,30.0,LÃ©o Lacroix,France,,FRA,20,2:03.86,1968,DownHill,Male,False
433,22.0,Dieter Fersch,West Germany,,FRG,19,2:03.41,1968,DownHill,Male,False
432,24.0,Billy Kidd,United States,,USA,18,2:03.40,1968,DownHill,Male,False
431,21.0,Bjarne Strand,Norway,,NOR,17,2:03.20,1968,DownHill,Male,False
430,27.0,Dumeng Giovanoli,Switzerland,,SUI,16,2:02.98,1968,DownHill,Male,False
429,23.0,Franz Vogler,West Germany,,FRG,15,2:02.94,1968,DownHill,Male,False
428,26.0,Jos Minsch,Switzerland,,SUI,14,2:02.76,1968,DownHill,Male,False
425,24.0,Gerhard Mussner,Italy,,ITA,11,2:02.50,1968,DownHill,Male,False
416,27.0,Guy PÃ©rillat,France,Silver,FRA,2,1:59.93,1968,DownHill,Male,False
415,24.0,Jean-Claude Killy,France,Gold,FRA,1,1:59.85,1968,DownHill,Male,False
3701,22.0,Ryszard ÄwikÅa,Poland,,POL,37.0,3:45.96,1968,Giant Slalom,Male,False
2234,,Mohamed Aomar,Morocco,,MAR,4 h17 r2/3,,1968,Slalom,Male,False
2235,29.0,Lotfollah Kia Shemshaki,Iran,,IRI,h3 r2/3,,1968,Slalom,Male,False
2229,,Hassan Lahmaoui,Morocco,,MAR,4 h8 r2/3,,1968,Slalom,Male,False
2236,28.0,Fayzollah Band Ali,Iran,,IRI,h4 r2/3,,1968,Slalom,Male,False
478,22.0,Juichi Maruyama,Japan,,JPN,64,2:19.33,1968,DownHill,Male,False
479,21.0,Dorin Munteanu,Romania,,ROU,65,2:22.53,1968,DownHill,Male,False
499,24.0,Vasily Melnikov,Soviet Union,,URS,,,1968,DownHill,Male,False
500,21.0,Murray Gardner,New Zealand,,NZL,,,1968,DownHill,Male,False
465,22.0,BlaÅ¾ JakopiÄ,Yugoslavia,,YUG,51,2:11.00,1968,DownHill,Male,False
464,19.0,Luke O'Reilly,Great Britain,,GBR,50,2:10.99,1968,DownHill,Male,False
463,21.0,Andrey Belokrinkin,Soviet Union,,URS,49,2:10.98,1968,DownHill,Male,False
462,22.0,Ryszard ÄwikÅa,Poland,,POL,48,2:10.63,1968,DownHill,Male,False
498,27.0,Raimo Manninen,Finland,,FIN,,,1968,DownHill,Male,False
461,19.0,JoÅ¾e Gazvoda,Yugoslavia,,YUG,47,2:10.51,1968,DownHill,Male,False
459,23.0,Tsuneo Noto,Japan,,JPN,45,2:10.32,1968,DownHill,Male,False
458,20.0,Ian Todd,Great Britain,,GBR,44,2:10.00,1968,DownHill,Male,False
457,26.0,Per-Olov Richardsson,Sweden,,SWE,43,2:09.83,1968,DownHill,Male,False
456,20.0,Robert Palmer,New Zealand,,NZL,42,2:09.79,1968,DownHill,Male,False
455,25.0,Andrej Klinar,Yugoslavia,,YUG,41,2:09.61,1968,DownHill,Male,False
454,21.0,Viktor Belyakov,Soviet Union,,URS,40,2:09.32,1968,DownHill,Male,False
3695,23.0,Josef Gassner,Liechtenstein,,LIE,31.0,3:42.38,1968,Giant Slalom,Male,False
497,23.0,Peter Duncan,Canada,,CAN,,,1968,DownHill,Male,False
496,18.0,Mehmet GÃ¶kcan,Turkey,,TUR,,,1968,DownHill,Male,False
495,25.0,Bahattin Topal,Turkey,,TUR,,,1968,DownHill,Male,False
480,29.0,Lotfollah Kia Shemshaki,Iran,,IRI,66,2:23.60,1968,DownHill,Male,False
481,25.0,Ãzer AteÅÃ§i,Turkey,,TUR,67,2:25.18,1968,DownHill,Male,False
482,28.0,Fayzollah Band Ali,Iran,,IRI,68,2:27.07,1968,DownHill,Male,False
477,24.0,Petar Angelov,Bulgaria,,BUL,63,2:18.71,1968,DownHill,Male,False
2219,28.0,Dimitrios Pappos,Greece,,GRE,3 h10 r2/3,,1968,Slalom,Male,False
2225,,Ovaness Meguerdonian,Iran,,IRI,3 h16 r2/3,,1968,Slalom,Male,False
2212,28.0,Kristinn Benediktsson,Iceland,,ISL,3 h1 r2/3,,1968,Slalom,Male,False
2238,17.0,FÃ©lipe Briones,Chile,,CHI,h10 r2/3,,1968,Slalom,Male,False
2239,19.0,Eo Jae-Sik,South Korea,,KOR,h13 r2/3,,1968,Slalom,Male,False
2240,25.0,Thomas Huppert,New Zealand,,NZL,h14 r2/3,,1968,Slalom,Male,False
2241,,Said Housni,Morocco,,MAR,5 h16 r1/3,,1968,Slalom,Male,False
2242,17.0,Burhan AlankuÅ,Turkey,,TUR,h6 r1/3,,1968,Slalom,Male,False
2243,27.0,Raimo Manninen,Finland,,FIN,h6 r1/3,,1968,Slalom,Male,False
2237,23.0,Bruno Piazzalunga,Italy,,ITA,h5 r2/3,,1968,Slalom,Male,False
476,19.0,Dan Cristea,Romania,,ROU,62,2:18.52,1968,DownHill,Male,False
2228,19.0,Mehmet YÄ±ldÄ±rÄ±m,Turkey,,TUR,4 h2 r2/3,,1968,Slalom,Male,False
2226,19.0,Gustavo Ezquerra,Argentina,,ARG,3 h17 r2/3,,1968,Slalom,Male,False
2213,20.0,Robert Palmer,New Zealand,,NZL,3 h2 r2/3,,1968,Slalom,Male,False
2224,24.0,Scott Henderson,Canada,,CAN,3 h15 r2/3,,1968,Slalom,Male,False
2214,21.0,Murray Gardner,New Zealand,,NZL,3 h3 r2/3,,1968,Slalom,Male,False
2215,27.0,Mehdi Mouidi,Morocco,,MAR,3 h4 r2/3,,1968,Slalom,Male,False
2216,25.0,Ivar Sigmundsson,Iceland,,ISL,3 h5 r2/3,,1968,Slalom,Male,False
2217,21.0,Dorin Munteanu,Romania,,ROU,3 h8 r2/3,,1968,Slalom,Male,False
2227,,Nagib Barrak,Lebanon,,LIB,4 h1 r2/3,,1968,Slalom,Male,False
2218,22.0,Reynir BrynjÃ³lfsson,Iceland,,ISL,3 h9 r2/3,,1968,Slalom,Male,False
2220,19.0,JoÅ¾e Gazvoda,Yugoslavia,,YUG,3 h11 r2/3,,1968,Slalom,Male,False
2221,15.0,Ahmet KÄ±bÄ±l,Turkey,,TUR,3 h12 r2/3,,1968,Slalom,Male,False
2222,21.0,BjÃ¶rn Olsen,Iceland,,ISL,3 h13 r2/3,,1968,Slalom,Male,False
2223,27.0,Moussa Jaalouk,Lebanon,,LIB,3 h14 r2/3,,1968,Slalom,Male,False
1299,20.0,Helga MarÃ­a Sista,Argentina,,ARG,27.0,1:49.16,1968,Slalom,Women,False
2627,19.0,Gertrud Gabl,Austria,,AUT,9.0,1:56.85,1968,Giant Slalom,Women,False
1297,24.0,Alfina Sukhanova,Soviet Union,,URS,25.0,1:41.58,1968,Slalom,Women,False
2168,19.0,Dan Cristea,Romania,,ROU,25,,1968,Slalom,Male,False
3750,,Hassan Lahmaoui,Morocco,,MAR,86.0,4:48.66,1968,Giant Slalom,Male,False
3749,16.0,Ghassan Keyrouz,Lebanon,,LIB,85.0,4:47.19,1968,Giant Slalom,Male,False
3748,19.0,Mehmet YÄ±ldÄ±rÄ±m,Turkey,,TUR,84.0,4:46.86,1968,Giant Slalom,Male,False
3747,,Said Housni,Morocco,,MAR,83.0,4:40.68,1968,Giant Slalom,Male,False
3746,15.0,Ahmet KÄ±bÄ±l,Turkey,,TUR,82.0,4:40.23,1968,Giant Slalom,Male,False
3745,,Nagib Barrak,Lebanon,,LIB,81.0,4:38.90,1968,Giant Slalom,Male,False
3744,27.0,Moussa Jaalouk,Lebanon,,LIB,80.0,4:33.43,1968,Giant Slalom,Male,False
3743,28.0,Dimitrios Pappos,Greece,,GRE,79.0,4:32.08,1968,Giant Slalom,Male,False
3742,21.0,Athanasios Tsimikalis,Greece,,GRE,78.0,4:25.08,1968,Giant Slalom,Male,False
3741,,Ali Saveh,Iran,,IRI,77.0,4:23.72,1968,Giant Slalom,Male,False
3740,21.0,Murray Gardner,New Zealand,,NZL,76.0,4:21.27,1968,Giant Slalom,Male,False
3739,25.0,Thomas Huppert,New Zealand,,NZL,75.0,4:20.80,1968,Giant Slalom,Male,False
3738,23.0,Michael Dennis,New Zealand,,NZL,74.0,4:18.12,1968,Giant Slalom,Male,False
3737,,Ovaness Meguerdonian,Iran,,IRI,73.0,4:16.68,1968,Giant Slalom,Male,False
3736,21.0,BjÃ¶rn Olsen,Iceland,,ISL,72.0,4:16.60,1968,Giant Slalom,Male,False
3735,29.0,Lotfollah Kia Shemshaki,Iran,,IRI,71.0,4:12.55,1968,Giant Slalom,Male,False
3734,28.0,Fayzollah Band Ali,Iran,,IRI,70.0,4:10.08,1968,Giant Slalom,Male,False
2149,21.0,Andrzej Bachleda-CuruÅ,Poland,,POL,6,,1968,Slalom,Male,False
2150,24.0,Jimmy Heuga,United States,,USA,7,,1968,Slalom,Male,False
2654,21.0,Mihoko Otsue,Japan,,JPN,36.0,2:10.56,1968,Giant Slalom,Women,False
2152,23.0,Rick Chaffee,United States,,USA,9,,1968,Slalom,Male,False
2165,21.0,Bjarne Strand,Norway,,NOR,22,,1968,Slalom,Male,False
2166,17.0,Francisco FernÃ¡ndez Ochoa,Spain,,ESP,23,,1968,Slalom,Male,False
3751,24.0,Zeki ErylÄ±dÄ±rÄ±m,Turkey,,TUR,87.0,5:06.79,1968,Giant Slalom,Male,False
3752,19.0,Eo Jae-Sik,South Korea,,KOR,88.0,5:06.98,1968,Giant Slalom,Male,False
3753,19.0,Otto Tschudi,Norway,,NOR,,,1968,Giant Slalom,Male,False
3715,28.0,Mario Vera,Chile,,CHI,51.0,3:52.50,1968,Giant Slalom,Male,False
3711,22.0,Tomio Sasaki,Japan,,JPN,47.0,3:50.15,1968,Giant Slalom,Male,False
3710,21.0,Viktor Belyakov,Soviet Union,,URS,46.0,3:49.27,1968,Giant Slalom,Male,False
3709,24.0,Vasily Melnikov,Soviet Union,,URS,45.0,3:48.97,1968,Giant Slalom,Male,False
3708,21.0,Antonio CampaÃ±a,Spain,,ESP,44.0,3:48.95,1968,Giant Slalom,Male,False
3707,22.0,BlaÅ¾ JakopiÄ,Yugoslavia,,YUG,43.0,3:48.54,1968,Giant Slalom,Male,False
3706,20.0,Aurelio GarcÃ­a,Spain,,ESP,42.0,3:48.18,1968,Giant Slalom,Male,False
3705,29.0,Eberhard Riedel,East Germany,,GDR,41.0,3:46.67,1968,Giant Slalom,Male,False
3704,23.0,Tsuneo Noto,Japan,,JPN,40.0,3:46.65,1968,Giant Slalom,Male,False
3703,26.0,Bengt-Erik Grahn,Sweden,,SWE,39.0,3:46.46,1968,Giant Slalom,Male,False
3702,17.0,Francisco FernÃ¡ndez Ochoa,Spain,,ESP,38.0,3:45.97,1968,Giant Slalom,Male,False
3731,22.0,Reynir BrynjÃ³lfsson,Iceland,,ISL,67.0,4:05.31,1968,Giant Slalom,Male,False
3754,20.0,Robert Palmer,New Zealand,,NZL,,,1968,Giant Slalom,Male,False
3732,25.0,Ivar Sigmundsson,Iceland,,ISL,68.0,4:05.86,1968,Giant Slalom,Male,False
3733,28.0,Kristinn Benediktsson,Iceland,,ISL,69.0,4:08.87,1968,Giant Slalom,Male,False
3763,25.0,Ãzer AteÅÃ§i,Turkey,,TUR,,,1968,Giant Slalom,Male,False
3762,24.0,Yoshinari Kida,Japan,,JPN,,,1968,Giant Slalom,Male,False
3761,23.0,Lars Olsson,Sweden,,SWE,,,1968,Giant Slalom,Male,False
3760,20.0,Keith Shepherd,Canada,,CAN,,,1968,Giant Slalom,Male,False
3759,22.0,Bernard Orcel,France,,FRA,,,1968,Giant Slalom,Male,False
3757,25.0,Rod Hebron,Canada,,CAN,,,1968,Giant Slalom,Male,False
3756,,Mimoun Ouitot,Morocco,,MAR,,,1968,Giant Slalom,Male,False
3755,,Mohamed Aomar,Morocco,,MAR,,,1968,Giant Slalom,Male,False
2167,19.0,Malcolm Milne,Australia,,AUS,24,,1968,Slalom,Male,False
2190,25.0,Jaroslav Janda,Czechoslovakia,,TCH,r3/3,,1968,Slalom,Male,False
3713,19.0,Dan Cristea,Romania,,ROU,49.0,3:51.64,1968,Giant Slalom,Male,False
2189,25.0,Willi Lesch,West Germany,,FRG,r3/3,,1968,Slalom,Male,False
2204,24.0,Yoshinari Kida,Japan,,JPN,2 h10 r2/3,,1968,Slalom,Male,False
2203,17.0,Julian Vasey,Great Britain,,GBR,2 h9 r2/3,,1968,Slalom,Male,False
2162,28.0,Ivo Mahlknecht,Italy,,ITA,19,,1968,Slalom,Male,False
2202,24.0,Gerhard Mussner,Italy,,ITA,2 h8 r2/3,,1968,Slalom,Male,False
2207,23.0,Peter Duncan,Canada,,CAN,2 h13 r2/3,,1968,Slalom,Male,False
2200,28.0,Jeremy Bujakowski,India,,IND,2 h6 r2/3,,1968,Slalom,Male,False
2199,,Ali Saveh,Iran,,IRI,2 h5 r2/3,,1968,Slalom,Male,False
2198,28.0,Mario Vera,Chile,,CHI,2 h4 r2/3,,1968,Slalom,Male,False
2197,19.0,Luke O'Reilly,Great Britain,,GBR,2 h3 r2/3,,1968,Slalom,Male,False
2196,19.0,Secundino RodrÃ­guez,Spain,,ESP,2 h2 r2/3,,1968,Slalom,Male,False
2201,22.0,Tomio Sasaki,Japan,,JPN,2 h7 r2/3,,1968,Slalom,Male,False
2195,20.0,Ian Todd,Great Britain,,GBR,2 h1 r2/3,,1968,Slalom,Male,False
2160,23.0,Jon Terje Ãverland,Norway,,NOR,17,,1968,Slalom,Male,False
2159,19.0,Alfred Hagn,West Germany,,FRG,16,,1968,Slalom,Male,False
2158,23.0,Lasse Hamre,Norway,,NOR,14,,1968,Slalom,Male,False
2157,28.0,Heini Messner,Austria,,AUT,14,,1968,Slalom,Male,False
2156,29.0,Eberhard Riedel,East Germany,,GDR,13,,1968,Slalom,Male,False
2155,27.0,Luggi Leitner,West Germany,,FRG,12,,1968,Slalom,Male,False
2153,21.0,Peter Frei,Switzerland,,SUI,10,,1968,Slalom,Male,False
2194,19.0,Milan PaÅ¾out,Czechoslovakia,,TCH,r3/3,,1968,Slalom,Male,False
2193,24.0,Robert Swan,Canada,,CAN,r3/3,,1968,Slalom,Male,False
2191,21.0,Wolfgang Ender,Liechtenstein,,LIE,r3/3,,1968,Slalom,Male,False
2192,26.0,Per-Olov Richardsson,Sweden,,SWE,r3/3,,1968,Slalom,Male,False
2205,23.0,Josef Gassner,Liechtenstein,,LIE,2 h11 r2/3,,1968,Slalom,Male,False
2206,21.0,Viktor Belyakov,Soviet Union,,URS,2 h12 r2/3,,1968,Slalom,Male,False
2161,26.0,Ulf Ekstam,Finland,,FIN,18,,1968,Slalom,Male,False
2177,20.0,Aurelio GarcÃ­a,Spain,,ESP,r3/3,,1968,Slalom,Male,False
2188,23.0,Andreas Sprecher,Switzerland,,SUI,r3/3,,1968,Slalom,Male,False
2187,26.0,Bengt-Erik Grahn,Sweden,,SWE,r3/3,,1968,Slalom,Male,False
2186,23.0,HÃ¥kon MjÃ¸en,Norway,,NOR,r3/3,,1968,Slalom,Male,False
2185,29.0,Karl Schranz,Austria,,AUT,r3/3,,1968,Slalom,Male,False
2184,22.0,Jean-Pierre Augert,France,,FRA,r3/3,,1968,Slalom,Male,False
2183,27.0,Guy PÃ©rillat,France,,FRA,r3/3,,1968,Slalom,Male,False
2164,22.0,Ryszard ÄwikÅa,Poland,,POL,21,,1968,Slalom,Male,False
2181,24.0,Willy Favre,Switzerland,,SUI,r3/3,,1968,Slalom,Male,False
2179,24.0,Carlo Senoner,Italy,,ITA,r3/3,,1968,Slalom,Male,False
2178,21.0,Athanasios Tsimikalis,Greece,,GRE,r3/3,,1968,Slalom,Male,False
2176,25.0,Rod Hebron,Canada,,CAN,r3/3,,1968,Slalom,Male,False
2182,18.0,Richard Leatherbee,Chile,,CHI,r3/3,,1968,Slalom,Male,False
2175,24.0,Billy Kidd,United States,,USA,r3/3,,1968,Slalom,Male,False
2151,20.0,Alain Penz,France,,FRA,8,,1968,Slalom,Male,False
2172,24.0,Petar Angelov,Bulgaria,,BUL,29,,1968,Slalom,Male,False
2173,24.0,Jeremy Palmer-Tomkinson,Great Britain,,GBR,30,,1968,Slalom,Male,False
2174,21.0,Andrey Belokrinkin,Soviet Union,,URS,31,,1968,Slalom,Male,False
2171,22.0,BlaÅ¾ JakopiÄ,Yugoslavia,,YUG,28,,1968,Slalom,Male,False
2170,21.0,Carlos Adsera,Spain,,ESP,27,,1968,Slalom,Male,False
2169,24.0,Vasily Melnikov,Soviet Union,,URS,26,,1968,Slalom,Male,False
2180,23.0,Olle RolÃ©n,Sweden,,SWE,r3/3,,1968,Slalom,Male,False
2163,21.0,Max Rieger,West Germany,,FRG,20,,1968,Slalom,Male,False
3712,18.0,Richard Leatherbee,Chile,,CHI,48.0,3:50.71,1968,Giant Slalom,Male,False
2154,23.0,Rune LindstrÃ¶m,Sweden,,SWE,11,,1968,Slalom,Male,False
3714,25.0,Yoshiharu Fukuhara,Japan,,JPN,50.0,3:51.97,1968,Giant Slalom,Male,False
2621,22.0,Fernande Bochatay,Switzerland,Bronze,SUI,3.0,1:54.74,1968,Giant Slalom,Women,False
2645,16.0,Lisi Pall,Austria,,AUT,27.0,2:00.91,1968,Giant Slalom,Women,False
2644,21.0,Gina Hathorn,Great Britain,,GBR,26.0,2:00.80,1968,Giant Slalom,Women,False
2643,17.0,Judi Leinweber,Canada,,CAN,25.0,2:00.57,1968,Giant Slalom,Women,False
2642,21.0,Felicity Field,Great Britain,,GBR,24.0,2:00.55,1968,Giant Slalom,Women,False
2641,21.0,Glorianda Cipolla,Italy,,ITA,23.0,2:00.07,1968,Giant Slalom,Women,False
2640,23.0,Wendy Allen,United States,,USA,22.0,2:00.03,1968,Giant Slalom,Women,False
2639,18.0,Kiki Cutter,United States,,USA,21.0,1:59.52,1968,Giant Slalom,Women,False
2638,17.0,Rosi Mittermaier,West Germany,,FRG,20.0,1:58.75,1968,Giant Slalom,Women,False
2637,19.0,Vreni InÃ¤bnit,Switzerland,,SUI,19.0,1:58.50,1968,Giant Slalom,Women,False
2636,21.0,Margret Hafen,West Germany,,FRG,18.0,1:58.47,1968,Giant Slalom,Women,False
2649,20.0,Lotte Nogler,Italy,,ITA,31.0,2:04.87,1968,Giant Slalom,Women,False
2635,21.0,Suzy Chaffee,United States,,USA,17.0,1:58.38,1968,Giant Slalom,Women,False
2633,17.0,Christine Laprell,West Germany,,FRG,15.0,1:58.12,1968,Giant Slalom,Women,False
2632,26.0,Giustina Demetz,Italy,,ITA,14.0,1:57.86,1968,Giant Slalom,Women,False
2631,18.0,AnnerÃ¶sli Zryd,Switzerland,,SUI,13.0,1:57.60,1968,Giant Slalom,Women,False
2630,16.0,Judy Nagel,United States,,USA,12.0,1:57.39,1968,Giant Slalom,Women,False
2629,22.0,Brigitte Seiwald,Austria,,AUT,11.0,1:57.26,1968,Giant Slalom,Women,False
2628,22.0,Burgl FÃ¤rbinger,West Germany,,FRG,10.0,1:57.20,1968,Giant Slalom,Women,False
1296,22.0,Brigitte Seiwald,Austria,,AUT,24.0,1:41.29,1968,Slalom,Women,False
2626,23.0,Divina Galica,Great Britain,,GBR,8.0,1:56.58,1968,Giant Slalom,Women,False
2625,22.0,Marielle Goitschel,France,,FRA,7.0,1:56.09,1968,Giant Slalom,Women,False
2624,18.0,Isabelle Mir,France,,FRA,6.0,1:56.07,1968,Giant Slalom,Women,False
2623,20.0,Olga Pall,Austria,,AUT,5.0,1:55.61,1968,Giant Slalom,Women,False
2646,24.0,Aud Hvammen,Norway,,NOR,28.0,2:01.30,1968,Giant Slalom,Women,False
2647,27.0,Majda Ankele,Yugoslavia,,YUG,29.0,2:02.44,1968,Giant Slalom,Women,False
2648,21.0,Helen Jamieson,Great Britain,,GBR,30.0,2:02.99,1968,Giant Slalom,Women,False
1285,22.0,Madeleine Wuilloud,Switzerland,,SUI,13.0,1:33.27,1968,Slalom,Women,False
3716,25.0,Andrej Klinar,Yugoslavia,,YUG,52.0,3:52.83,1968,Giant Slalom,Male,False
1295,24.0,Diana Tomkinson,Great Britain,,GBR,23.0,1:40.93,1968,Slalom,Women,False
1293,19.0,Ingrid Sundberg,Sweden,,SWE,21.0,1:39.56,1968,Slalom,Women,False
1292,20.0,Lotte Nogler,Italy,,ITA,20.0,1:38.33,1968,Slalom,Women,False
1291,21.0,Irina Turundayevskaya,Soviet Union,,URS,19.0,1:38.26,1968,Slalom,Women,False
1290,23.0,Anna MohrovÃ¡,Czechoslovakia,,TCH,18.0,1:35.96,1968,Slalom,Women,False
1274,24.0,Nancy Greene,Canada,Silver,CAN,2.0,1:26.15,1968,Slalom,Women,False
1289,19.0,Vreni InÃ¤bnit,Switzerland,,SUI,17.0,1:35.18,1968,Slalom,Women,False
1287,21.0,Karen Dokka,Canada,,CAN,15.0,1:34.51,1968,Slalom,Women,False
1286,21.0,Felicity Field,Great Britain,,GBR,14.0,1:33.38,1968,Slalom,Women,False
1284,27.0,Majda Ankele,Yugoslavia,,YUG,12.0,1:31.60,1968,Slalom,Women,False
2208,25.0,Yoshiharu Fukuhara,Japan,,JPN,2 h14 r2/3,,1968,Slalom,Male,False
1283,18.0,AnnerÃ¶sli Zryd,Switzerland,,SUI,11.0,1:31.41,1968,Slalom,Women,False
2211,25.0,Andrej Klinar,Yugoslavia,,YUG,2 h17 r2/3,,1968,Slalom,Male,False
1281,20.0,Olga Pall,Austria,,AUT,9.0,1:31.11,1968,Slalom,Women,False
1280,18.0,Bernadette Rauter,Austria,,AUT,8.0,1:30.44,1968,Slalom,Women,False
1279,21.0,Glorianda Cipolla,Italy,,ITA,7.0,1:29.74,1968,Slalom,Women,False
1278,22.0,Burgl FÃ¤rbinger,West Germany,,FRG,6.0,1:28.90,1968,Slalom,Women,False
1277,18.0,Isabelle Mir,France,,FRA,5.0,1:28.22,1968,Slalom,Women,False
1288,22.0,Christl Hintermaier,West Germany,,FRG,16.0,1:34.62,1968,Slalom,Women,False
2210,22.0,Hans-Walter SchÃ¤dler,Liechtenstein,,LIE,2 h16 r2/3,,1968,Slalom,Male,False
3758,24.0,Gerhard Prinzing,West Germany,,FRG,,,1968,Giant Slalom,Male,False
2622,18.0,Florence Steurer,France,,FRA,4.0,1:54.75,1968,Giant Slalom,Women,False
1294,16.0,Clotilde Fasolis,Italy,,ITA,22.0,1:40.72,1968,Slalom,Women,False
2634,21.0,Karen Dokka,Canada,,CAN,16.0,1:58.36,1968,Giant Slalom,Women,False
3728,24.0,Petar Angelov,Bulgaria,,BUL,64.0,4:01.83,1968,Giant Slalom,Male,False
2657,22.0,Galina Sidorova,Soviet Union,,URS,39.0,2:12.01,1968,Giant Slalom,Women,False
