,Age,Athlete,Country,Medal,NOC,Rank,Time,Year
199,24,Kurt Hennrich,Czechoslovakia,,TCH,7,3:01.5,1956
200,23,Charles Bozon,France,,FRA,8,3:01.9,1956
201,24,Bruno Burrini,Italy,,ITA,9,3:02.4,1956
202,29,Stig Sollander,Sweden,,SWE,10,3:05.4,1956
203,19,Buddy Werner,United States,,USA,11,3:05.8,1956
204,24,Sepp Behr,Germany,,GER,12,3:07.7,1956
205,26,Hans Forrer,Switzerland,,SUI,13,3:08.0,1956
206,26,Asle SjÃ¥stad,Norway,,NOR,14,3:08.8,1956
207,25,Andrzej GÄsienica Roj,Poland,,POL,15,3:09.3,1956
208,27,Aleksandr Filatov,Soviet Union,,URS,16,3:16.6,1956
209,23,EvÅ¾en ÄermÃ¡k,Czechoslovakia,,TCH,17,3:18.0,1956
210,25,Georgi Dimitrov,Bulgaria,,BUL,18,3:18.1,1956
211,22,Karl Zillibiller,Germany,,GER,19,3:21.6,1956
212,25,Peppi Schwaiger,Germany,,GER,20,3:22.2,1956
213,21,Viktor Talyanov,Soviet Union,,URS,21,3:26.5,1956
214,30,Franc Cvenkelj,Yugoslavia,,YUG,22,3:28.5,1956
215,27,Kalevi HÃ¤kkinen,Finland,,FIN,23,3:29.2,1956
216,23,Georgi Varoshkin,Bulgaria,,BUL,24,3:30.0,1956
217,24,AndrÃ© Bertrand,Canada,,CAN,25,3:31.2,1956
218,25,Franz Beck,Liechtenstein,,LIE,26,3:36.8,1956
219,23,Petar Ivanov Angelov,Bulgaria,,BUL,27,3:38.5,1956
220,23,Susumu Sugiyama,Japan,,JPN,28,3:39.1,1956
221,25,Ludvig Dornig,Yugoslavia,,YUG,29,3:41.1,1956
222,20,Charlach Mackintosh,Great Britain,,GBR,30,3:41.4,1956
223,22,Nicolae Pandrea,Romania,,ROU,31,3:46.5,1956
224,24,Lars Mattsson,Sweden,,SWE,32,3:50.4,1956
225,23,Muzaffer Demirhan,Turkey,,TUR,33,3:52.2,1956
226,22,Nigel Gardner,Great Britain,,GBR,34,4:00.7,1956
227,22,Bill Day,Australia,,AUS,35,4:02.0,1956
228,24,Francisco Viladomat,Spain,,ESP,36,4:02.1,1956
229,29,Luis MolnÃ©,Spain,,ESP,37,4:08.9,1956
230,27,Denis Feron,Belgium,,BEL,38,4:16.6,1956
231,,Mahmoud Beiglou,Iran,,IRI,39,4:22.0,1956
232,29,Leopold SchÃ¤dler,Liechtenstein,,LIE,40,4:23.7,1956
233,19,Vicente Vera,Chile,,CHI,41,4:25.4,1956
234,31,Ibrahim Geagea,Lebanon,,LIB,42,4:33.1,1956
235,,Jean Keyrouz,Lebanon,,LIB,43,4:57.6,1956
236,,Benik Amirian,Iran,,IRI,44,5:02.7,1956
237,24,"Max, Prince von Hohenlohe",Liechtenstein,,LIE,45,5:15.8,1956
238,39,Aris Vatimbellas,Greece,,GRE,46,5:44.2,1956
239,29,Christos Papageorgiou,Greece,,GRE,47,8:03.2,1956
240,23,Josl Rieder,Austria,,AUT,AC,,1956
241,22,"Ralph Miller, Jr.",United States,,USA,AC,,1956
242,27,Lino Zecchini,Italy,,ITA,AC,,1956
243,26,Bill Beck,United States,,USA,AC,,1956
244,26,Walter Schuster,Austria,,AUT,AC,,1956
245,24,Chiharu Igaya,Japan,,JPN,AC,,1956
246,25,RenÃ© Collet,France,,FRA,AC,,1956
247,21,Adrien Duvillard,France,,FRA,AC,,1956
248,26,AndrÃ© Simond,France,,FRA,AC,,1956
249,24,Andreas RÃ¼edi,Switzerland,,SUI,AC,,1956
250,22,Jan Zarycki,Poland,,POL,AC,,1956
251,21,Paride Milianti,Italy,,ITA,AC,,1956
252,20,Marvin Melville,United States,,USA,AC,,1956
253,24,KÃ¥re Opdal,Norway,,NOR,AC,,1956
254,28,VladimÃ­r KrajÅÃ¡k,Czechoslovakia,,TCH,AC,,1956
255,23,Trygve Berge,Norway,,NOR,AC,,1956
256,,Sergey Shustov,Soviet Union,,URS,AC,,1956
257,26,Osman YÃ¼ce,Turkey,,TUR,AC,,1956
258,27,JoÅ¾e Ilija,Yugoslavia,,YUG,AC,,1956
259,26,Jaroslav BogdÃ¡lek,Czechoslovakia,,TCH,AC,,1956
260,30,Pentti Alonen,Finland,,FIN,AC,,1956
261,24,Gheorghe Cristoloveanu,Romania,,ROU,AC,,1956
262,,Gennady Chertishchev,Soviet Union,,URS,AC,,1956
263,27,Robin Brock-Hollinshead,Great Britain,,GBR,AC,,1956
264,20,Hermann Kindle,Liechtenstein,,LIE,AC,,1956
265,22,Jaime Talens,Spain,,ESP,AC,,1956
266,,Reza Bazargan,Iran,,IRI,AC,,1956
267,24,Douglas Mackintosh,Great Britain,,GBR,AC,,1956
268,22,Jean Vuarnet,France,Gold,FRA,1,2:06.0,1960
269,24,Hans Peter Lanig,Germany,Silver,GER,2,2:06.5,1960
270,19,Guy PÃ©rillat,France,Bronze,FRA,3,2:06.9,1960
271,24,Willi Forrer,Switzerland,,SUI,4,2:07.8,1960
272,23,Roger Staub,Switzerland,,SUI,5,2:08.9,1960
273,25,Bruno Alberti,Italy,,ITA,6,2:09.1,1960
274,21,Karl Schranz,Austria,,AUT,7,2:09.2,1960
275,27,Charles Bozon,France,,FRA,8,2:09.6,1960
276,18,Willy Bogner,Germany,,GER,9,2:09.7,1960
277,27,Egon N. Zimmermann,Austria,,AUT,10,2:09.8,1960
278,19,Luggi Leitner,Germany,,GER,11,2:10.2,1960
279,25,Paride Milianti,Italy,,ITA,12,2:10.8,1960
280,20,Jakob Arduser,Switzerland,,SUI,13,2:10.9,1960
281,21,Dave Gorsuch,United States,,USA,14,2:11.0,1960
282,22,Pepi Stiegler,Austria,,AUT,15,2:13.1,1960
283,22,Eberhard Riedel,Germany,,GER,16,2:13.3,1960
284,20,Gordi Eaton,United States,,USA,17,2:14.0,1960
285,23,Max Marolt,United States,,USA,18,2:14.2,1960
286,28,Anderl Molterer,Austria,,AUT,19,2:15.1,1960
287,24,Nando Pajarola,Switzerland,,SUI,20T,2:15.4,1960
288,24,Oddvar RÃ¸nnestad,Norway,,NOR,20T,2:15.4,1960
289,25,Marvin Melville,United States,,USA,22T,2:15.9,1960
290,22,Verne Anderson,Canada,,CAN,22T,2:15.9,1960
291,24,Italo Pedroncelli,Italy,,ITA,24,2:16.8,1960
292,17,Felice De Nicolo,Italy,,ITA,25,2:18.1,1960
293,20,Jean-Guy Brunet,Canada,,CAN,26,2:18.2,1960
294,18,Frederick Tommy,Canada,,CAN,27,2:18.4,1960
295,22,Don Bruneski,Canada,,CAN,28,2:19.9,1960
296,27,Georgi Varoshkin,Bulgaria,,BUL,29,2:20.0,1960
297,29,Georgi Dimitrov,Bulgaria,,BUL,30,2:20.2,1960
298,19,Francisco Cortes,Chile,,CHI,31,2:20.8,1960
299,23,Vicente Vera,Chile,,CHI,32,2:24.5,1960
300,24,JÃ³hann Vilbergsson,Iceland,,ISL,33,2:24.6,1960
301,28,Chiharu Igaya,Japan,,JPN,34,2:25.0,1960
302,24,Charlach Mackintosh,Great Britain,,GBR,35,2:25.1,1960
303,20,Kristinn Benediktsson,Iceland,,ISL,36,2:26.0,1960
304,25,Eysteinn ÃÃ³rÃ°arson,Iceland,,ISL,37,2:26.2,1960
305,19,HernÃ¡n Boher,Chile,,CHI,38,2:26.7,1960
306,19,Victor Tagle,Chile,,CHI,39,2:26.9,1960
307,23,Geoff Pitchford,Great Britain,,GBR,40,2:27.3,1960
308,19,Adolf Fehr,Liechtenstein,,LIE,41,2:27.4,1960
309,25,Manuel GarcÃ­a-Moran,Spain,,ESP,42,2:27.6,1960
310,21,Robert Skepper,Great Britain,,GBR,43,2:28.1,1960
311,19,Luis SÃ¡nchez,Spain,,ESP,44,2:28.3,1960
312,25,Osvaldo Ancinas,Argentina,,ARG,45,2:28.4,1960
313,24,Osamu Tada,Japan,,JPN,46,2:28.5,1960
314,18,Aleksandar Shalamanov,Bulgaria,,BUL,47,2:29.0,1960
315,25,Sam Chaffey,New Zealand,,NZL,48,2:29.3,1960
316,23,Silvan Kindle,Liechtenstein,,LIE,49T,2:29.4,1960
317,24,Hermann Kindle,Liechtenstein,,LIE,49T,2:29.4,1960
318,29,Luis Arias,Spain,,ESP,51,2:29.8,1960
319,26,Bill Day,Australia,,AUS,52,2:30.5,1960
320,22,Masayoshi Mitani,Japan,,JPN,53,2:31.3,1960
321,30,Bill Hunt,New Zealand,,NZL,54,2:32.0,1960
322,27,John Oakes,Great Britain,,GBR,55,2:36.0,1960
323,35,Ibrahim Geagea,Lebanon,,LIB,56,2:39.2,1960
324,23,Peter Brockhoff,Australia,,AUS,57,2:39.7,1960
325,23,Zeki ÅamiloÄlu,Turkey,,TUR,58,2:42.4,1960
326,18,Nazih Geagea,Lebanon,,LIB,59,3:00.3,1960
