Age,Athlete,Country,Medal,NOC,Rank,Time,Year
21,Silvio Wille,Liechtenstein,,LIE,,,1988
21,Simon Wi Rutene,New Zealand,,NZL,,,1988
20,Nils Linneberg,Chile,,CHI,,,1988
21,Mike Carney,Canada,,CAN,,,1988
21,Bill Hudson,United States,,USA,,,1988
22,Jeff Olson,United States,,USA,,,1988
21,Rob Boyd,Canada,,CAN,,,1988
24,Peter Forras,Australia,,AUS,,,1988
25,Steven Lee,Australia,,AUS,,,1988
27,Danilo Sbardellotto,Italy,,ITA,,,1988
21,Atle SkÃ¥rdal,Norway,,NOR,,,1988
24,Igor Cigolla,Italy,,ITA,,,1988
21,Jan Einar Thorsen,Norway,,NOR,,,1988
25,Boris Duncan,Great Britain,,GBR,,,1988
22,Dieter Linneberg,Chile,,CHI,,,1988
23,Josef Polig,Italy,Gold,ITA,1,14.58,1992
21,Gianfranco Martin,Italy,Silver,ITA,2,14.9,1992
24,Steve Locher,Switzerland,Bronze,SUI,3,18.16,1992
25,Jean-Luc CrÃ©tier,France,,FRA,4,18.97,1992
28,Markus Wasmeier,Germany,,GER,5,32.77,1992
22,Kristian Ghedina,Italy,,ITA,6,38.96,1992
25,Ole Kristian Furuseth,Norway,,NOR,7,40.47,1992
25,Xavier Gigandet,Switzerland,,SUI,8,41.21,1992
20,Takuya Ishioka,Japan,,JPN,9,51.83,1992
27,Lasse Arnesen,Norway,,NOR,10,51.93,1992
25,Jan Einar Thorsen,Norway,,NOR,11,52.75,1992
23,Rob Crossan,Canada,,CAN,12,57.27,1992
19,Jure KoÅ¡ir,Slovenia,,SLO,13,59.78,1992
22,Cary Mullen,Canada,,CAN,14,62.37,1992
21,Kiminobu Kimura,Japan,,JPN,15,64.14,1992
23,Kyle Rasmussen,United States,,USA,16,66.7,1992
24,Jorge Pujol,Spain,,ESP,17,72.07,1992
21,Tommy Moe,United States,,USA,18,82.15,1992
29,Steven Lee,Australia,,AUS,19,85.05,1992
22,Vitaly Andreyev,Unified Team,,EUN,20,85.07,1992
