,Age,Athlete,Country,Medal,NOC,Rank,Time
152,21,Mauricio Rotella,Chile,,CHI,59,1:22.30
153,20,AgustÃ­n Neiman,Argentina,,ARG,60,1:22.47
154,19,GÃ¡ston Begue,Argentina,,ARG,61,1:22.52
155,19,Carlos Espiasse,Argentina,,ARG,62,1:22.68
156,20,Choi Yong-Hee,South Korea,,KOR,63,1:22.75
157,25,Alexis Racloz,Chile,,CHI,64,1:23.26
158,24,PÃ©ter KristÃ¡ly,Hungary,,HUN,65,1:23.47
159,22,Nicola Ercolani,San Marino,,SMR,66,1:23.72
160,15,Enis BeÄirbegoviÄ,Yugoslavia,,YUG,67,1:24.15
161,24,Aurel Foiciuc,Romania,,ROU,68,1:24.62
162,22,Edin TerziÄ,Yugoslavia,,YUG,69,1:24.70
163,33,Hubertus von FÃ¼rstenberg-von Hohenlohe,Mexico,,MEX,70,1:24.79
164,19,Thomas Lefousi,Greece,,GRE,71,1:25.01
165,21,Zoran PeruÅ¡ina,Yugoslavia,,YUG,72,1:25.23
166,23,Ioannis Kapraras,Greece,,GRE,73,1:26.47
167,29,John Campbell,United States Virgin Islands,,ISV,74,1:26.83
168,19,SÃ©rgio Schuler,Brazil,,BRA,75,1:27.41
169,19,Marcelo Apovian,Brazil,,BRA,76,1:27.87
170,20,Taner ÃstÃ¼ndaÄ,Turkey,,TUR,77,1:28.24
171,31,Lamine GuÃ¨ye,Senegal,,SEN,78,1:29.18
172,24,Keith Fraser,Swaziland,,SWZ,79,1:29.39
173,21,Sokratis Aristodimou,Cyprus,,CYP,80,1:30.13
174,24,Alekhis Fotiadis,Cyprus,,CYP,81,1:30.31
175,24,Yakup Kadri Birinci,Turkey,,TUR,82,1:30.40
176,17,Mourad Guerri,Algeria,,ALG,83,1:32.76
177,20,Andreas Vasili,Cyprus,,CYP,84,1:32.78
178,18,ÃÃ±igo Domenech,Mexico,,MEX,85,1:35.29
179,29,Hans Egger,Brazil,,BRA,86,1:35.88
180,20,Eduardo Ampudia,Mexico,,MEX,87,1:36.86
181,22,Cevdet Can,Turkey,,TUR,88,1:37.97
182,25,Brahim Ait Sibrahim,Morocco,,MAR,89,1:38.60
183,23,Kamel Guerri,Algeria,,ALG,90,1:38.94
184,26,El-Hassan Mahta,Morocco,,MAR,91,1:41.06
185,24,Brahim Id Abdellah,Morocco,,MAR,92,1:49.65
186,25,Brahim Izdag,Morocco,,MAR,93,2:08.31
187,29,Franz Heinzer,Switzerland,,SUI,AC,
188,27,Franck Piccard,France,,FRA,AC,
189,21,Patrick Holzer,Italy,,ITA,AC,
190,24,Armand Schiele,France,,FRA,AC,
191,23,Rob Crossan,Canada,,CAN,AC,
192,21,Achim Vogt,Liechtenstein,,LIE,AC,
193,19,Daniel Vogt,Liechtenstein,,LIE,AC,
194,20,Tsuyoshi Tomii,Japan,,JPN,AC,
195,22,Vitaly Andreyev,Unified Team,,EUN,AC,
196,18,Vedran Pavlek,Croatia,,CRO,AC,
197,20,Marcin SzafraÅski,Poland,,POL,AC,
198,26,Alphonse Gomis,Senegal,,SEN,AC,
199,18,Carlos Mier y TerÃ¡n,Mexico,,MEX,AC,
200,26,Emilian FocÈeneanu,Romania,,ROU,AC,
201,18,Jason Gasperoni,San Marino,,SMR,AC,
202,22,BalÃ¡zs Tornay,Hungary,,HUN,AC,
203,27,Tang Wei-Tsu,Chinese Taipei,,TPE,AC,
204,24,Ahmet Demir,Turkey,,TUR,AC,
205,20,Igor LatinoviÄ,Yugoslavia,,YUG,AC,
206,17,Jakub Malczewski,Poland,,POL,AC,
207,21,Xavier Ubeira,Spain,,ESP,AC,
208,21,Gerard Escoda,Andorra,,AND,AC,
209,20,Nahum Orobitg,Andorra,,AND,AC,
210,24,Lyubomir Popov,Bulgaria,,BUL,AC,
211,17,Victor GÃ³mez,Andorra,,AND,AC,
212,30,Markus Wasmeier,Germany,Gold,GER,1,1:32.53
213,23,Tommy Moe,United States,Silver,USA,2,1:32.61
214,22,Kjetil AndrÃ© Aamodt,Norway,Bronze,NOR,3,1:32.93
215,30,Marc Girardelli,Luxembourg,,LUX,4,1:33.07
216,26,Werner Perathoner,Italy,,ITA,5,1:33.10
217,27,Atle SkÃ¥rdal,Norway,,NOR,6,1:33.31
218,27,Jan Einar Thorsen,Norway,,NOR,7,1:33.37
219,28,Luc Alphand,France,,FRA,8,1:33.39
220,29,GÃ¼nther Mader,Austria,,AUT,9,1:33.50
221,26,Marco Hangl,Switzerland,,SUI,10,1:33.75
222,29,Armin Assinger,Austria,,AUT,11,1:33.84
223,23,Lasse Kjus,Norway,,NOR,12,1:34.02
224,22,Janne Leskinen,Finland,,FIN,13,1:34.09
225,26,Paul Accola,Switzerland,,SUI,14,1:34.37
