,Age,Athlete,Country,Medal,NOC,Rank,Time
367,21,Patrick Staudacher,Italy,,ITA,7,3:22.47
368,22,Jean-Philippe Roy,Canada,,CAN,8,3:22.68
369,30,Jernej Koblar,Slovenia,,SLO,9,3:23.47
370,28,Stanley Hayer,Czech Republic,,CZE,10,3:24.44
371,28,Kilian Albrecht,Austria,,AUT,11,3:24.95
372,25,Borek ZakouÅil,Czech Republic,,CZE,12,3:25.20
373,28,Alessandro Fattori,Italy,,ITA,13,3:25.57
374,27,Andrey Filichkin,Russia,,RUS,14,3:28.14
375,24,Ross Green,Great Britain,,GBR,15,3:29.11
376,24,Stefan Georgiev,Bulgaria,,BUL,16,3:29.39
377,25,Darin McBeath,Canada,,CAN,17,3:29.57
378,21,Pavel Shestakov,Russia,,RUS,18,3:30.18
379,26,Jakub Fiala,United States,,USA,19,3:30.43
380,28,Jan HolickÃ½,Czech Republic,,CZE,20,3:31.15
381,25,Antoine DÃ©nÃ©riaz,France,,FRA,21,3:31.97
382,18,Sergey Komarov,Russia,,RUS,22,3:32.03
383,19,NicolÃ¡s Arsel,Argentina,,ARG,23,3:36.58
384,21,Ivan Heimschild,Slovakia,,SVK,24,3:36.78
385,23,Mykola Skriabin,Ukraine,,UKR,25,3:41.06
386,21,OndÅej Bank,Czech Republic,,CZE,,
387,26,Michael Walchhofer,Austria,,AUT,,
388,24,Didier DÃ©fago,Switzerland,,SUI,,
389,29,Bruno Kernen,Switzerland,,SUI,,
390,24,Gregor Å parovec,Slovenia,,SLO,,
391,28,GaÃ«tan Llorach,France,,FRA,,
392,31,Ed Podivinsky,Canada,,CAN,,
393,29,Casey Puckett,United States,,USA,,
394,26,Truls Ove Karlsen,Norway,,NOR,,
395,23,Andrej Jerman,Slovenia,,SLO,,
396,23,Alex Heath,South Africa,,RSA,,
397,20,Tahir BisiÄ,Bosnia and Herzegovina,,BIH,,
398,25,AJ Bear,Australia,,AUS,,
399,25,Kurt Sulzenbacher,Italy,,ITA,,
400,19,Maksim Kedrin,Russia,,RUS,,
401,21,AgustÃ­n GarcÃ­a,Argentina,,ARG,,
402,29,Patrick-Paul Schwarzacher-Joyce,Ireland,,IRL,,
403,22,Mitja DragÅ¡iÄ,Slovenia,,SLO,,
404,21,Cristian Simari Birkner,Argentina,,ARG,,
405,24,Craig Branch,Australia,,AUS,,
406,21,Michal RajÄan,Slovakia,,SVK,,
407,23,Angel Pumpalov,Bulgaria,,BUL,,
408,21,Ted Ligety,United States,Gold,USA,1,3:09.35
409,26,Ivica KosteliÄ,Croatia,Silver,CRO,2,3:09.88
410,28,Rainer SchÃ¶nfelder,Austria,Bronze,AUT,3,3:10.67
411,22,Daniel Albrecht,Switzerland,,SUI,4,3:10.73
412,30,Giorgio Rocca,Italy,,ITA,5,3:10.74
413,25,OndÅej Bank,Czech Republic,,CZE,6,3:11.00
414,22,Marc Berthod,Switzerland,,SUI,7,3:11.22
415,30,Pierrick Bourgeat,France,,FRA,8,3:11.29
416,23,Peter Fill,Italy,,ITA,9,3:12.21
417,20,Kjetil Jansrud,Norway,,NOR,10,3:12.32
418,27,Markus Larsson,Sweden,,SWE,11,3:12.34
419,23,Martin VrÃ¡blÃ­k,Czech Republic,,CZE,12,3:12.41
420,21,Jean-Baptiste Grange,France,,FRA,13,3:12.51
421,24,Noel Baxter,Great Britain,,GBR,14,3:12.79
422,25,AleÅ¡ Gorza,Slovenia,,SLO,15,3:12.91
423,28,Scott Macartney,United States,,USA,16,3:13.05
424,21,John Kucera,Canada,,CAN,17,3:13.26
425,28,Johan Brolenius,Sweden,,SWE,18,3:13.27
426,27,Andrej Jerman,Slovenia,,SLO,19,3:13.80
427,19,KryÅ¡tof KrÃ½zl,Czech Republic,,CZE,20,3:14.18
428,21,FranÃ§ois Bourque,Canada,,CAN,21,3:14.25
429,21,Aleksandr Khoroshilov,Russia,,RUS,22,3:15.46
430,25,Cristian Simari Birkner,Argentina,,ARG,23,3:16.54
431,25,Pavel Shestakov,Russia,,RUS,24,3:16.84
432,25,Ivan Heimschild,Slovakia,,SVK,25,3:18.41
433,18,Tin Å iroki,Croatia,,CRO,26,3:20.16
434,21,Jaroslav BabuÅ¡iak,Slovakia,,SVK,27,3:20.78
435,21,Roger Vidosa,Andorra,,AND,28,3:21.37
436,23,Steve Nyman,United States,,USA,29,3:22.68
437,24,Andrej Å porn,Slovenia,,SLO,30,3:23.53
438,23,Mikhail Sedyankov,Bulgaria,,BUL,31,3:23.90
439,25,Claudio Sprecher,Liechtenstein,,LIE,32,3:24.08
440,19,Natko ZrnÄiÄ-Dim,Croatia,,CRO,33,3:24.15
441,26,Mario Matt,Austria,,AUT,34,3:28.78
442,24,Florentin Nicolae,Romania,,ROU,35,3:31.89
443,27,Benjamin Raich,Austria,,AUT,,
444,19,Ivan RatkiÄ,Croatia,,CRO,,
445,20,RenÄrs DorÅ¡s,Latvia,,LAT,,
446,27,Mykola Skriabin,Ukraine,,UKR,,
447,21,Anton Konovalov,Russia,,RUS,,
448,22,Manuel Osborne-Paradis,Canada,,CAN,,
449,23,Aksel Lund Svindal,Norway,,NOR,,
450,24,Silvan Zurbriggen,Switzerland,,SUI,,
451,30,Michael Walchhofer,Austria,,AUT,,
452,23,Ryan Semple,Canada,,CAN,,
453,35,Lasse Kjus,Norway,,NOR,,
454,27,MichaÅ KaÅwa,Poland,,POL,,
455,28,Stefan Georgiev,Bulgaria,,BUL,,
456,28,Didier DÃ©fago,Switzerland,,SUI,,
457,26,Alex Antor,Andorra,,AND,,
458,23,Sindri MÃ¡r PÃ¡lsson,Iceland,,ISL,,
459,27,Alex Heath,South Africa,,RSA,,
460,25,Patrick Staudacher,Italy,,ITA,,
461,19,Jorge MandrÃº,Chile,,CHI,,
462,28,Bode Miller,United States,,USA,,
463,22,Nikolai Hentsch,Brazil,,BRA,,
464,23,Konstantin Sats,Russia,,RUS,,
465,21,Filip Trejbal,Czech Republic,,CZE,,
466,24,Jono Brauer,Australia,,AUS,,
467,32,Bode Miller,United States,Gold,USA,1,2:44.92
468,30,Ivica KosteliÄ,Croatia,Silver,CRO,2,2:45.25
469,28,Silvan Zurbriggen,Switzerland,Bronze,SUI,3,2:45.32
470,23,Carlo Janka,Switzerland,,SUI,4,2:45.54
