,Age,Athlete,Country,Medal,NOC,Rank,Time_end,Year,Type,Gender,test,Time_start,test_time
1740,27.0,Karl Molitor,Switzerland,,SUI,8,2:16.2,1948,Slalom,Male,False,0:00.0,True
1741,27.0,LuboÅ¡ Brchel,Czechoslovakia,,TCH,9,2:16.6,1948,Slalom,Male,False,0:00.0,True
1742,26.0,Sixten Isberg,Sweden,,SWE,10,2:17.2,1948,Slalom,Male,False,0:00.0,True
1743,28.0,Hans Hansson,Sweden,,SWE,11,2:18.3,1948,Slalom,Male,False,0:00.0,True
1744,23.0,Edi Mall,Austria,,AUT,11,2:18.3,1948,Slalom,Male,False,0:00.0,True
1745,22.0,Georges Schneider,Switzerland,,SUI,13,2:18.4,1948,Slalom,Male,False,0:00.0,True
1792,18.0,Osman YÃ¼ce,Turkey,,TUR,60,4:08.6,1948,Slalom,Male,False,0:00.0,True
1746,27.0,Zeno ColÃ²,Italy,,ITA,14,2:19.0,1948,Slalom,Male,False,0:00.0,True
1748,25.0,Steve Knowlton,United States,,USA,16,2:20.5,1948,Slalom,Male,False,0:00.0,True
1749,25.0,Engelbert Haider,Austria,,AUT,17,2:22.8,1948,Slalom,Male,False,0:00.0,True
1750,,SaÅ¡a Molnar,Yugoslavia,,YUG,18,2:23.4,1948,Slalom,Male,False,0:00.0,True
1751,21.0,Harvey Clifford,Canada,,CAN,19,2:23.7,1948,Slalom,Male,False,0:00.0,True
1752,20.0,Colin Stewart,United States,,USA,20,2:24.1,1948,Slalom,Male,False,0:00.0,True
1753,20.0,Aimo Vartiainen,Finland,,FIN,21,2:25.0,1948,Slalom,Male,False,0:00.0,True
1754,27.0,AntonÃ­n Å ponar,Czechoslovakia,,TCH,22,2:26.7,1948,Slalom,Male,False,0:00.0,True
1755,19.0,Bjarne Arentz,Norway,,NOR,23,2:27.7,1948,Slalom,Male,False,0:00.0,True
1756,30.0,Barney McLean,United States,,USA,24,2:28.1,1948,Slalom,Male,False,0:00.0,True
1757,24.0,PÃ©ter Szikla,Hungary,,HUN,25,2:29.2,1948,Slalom,Male,False,0:00.0,True
1758,24.0,"Jack Nielsen, Jr.",Norway,,NOR,26,2:29.8,1948,Slalom,Male,False,0:00.0,True
1759,21.0,MatevÅ¾ Lukanc,Yugoslavia,,YUG,27,2:30.9,1948,Slalom,Male,False,0:00.0,True
1760,20.0,Hector Sutherland,Canada,,CAN,28,2:31.2,1948,Slalom,Male,False,0:00.0,True
1747,20.0,DÃ©sirÃ© Lacroix,France,,FRA,15,2:19.9,1948,Slalom,Male,False,0:00.0,True
753,21.0,Lucienne Schmidt-Couttet,France,,FRA,10.0,11.5,1948,Combine,Women,False,0:00.0,False
1793,23.0,Harry Taylor,Great Britain,,GBR,61,4:09.9,1948,Slalom,Male,False,0:00.0,True
1795,20.0,John Boyagis,Great Britain,,GBR,63,4:14.1,1948,Slalom,Male,False,0:00.0,True
1077,26.0,May Nilsson,Sweden,,SWE,10.0,2:09.7,1948,Slalom,Women,False,0:00.0,True
1076,19.0,Brynhild Grasmoen,United States,,USA,9.0,2:09.6,1948,Slalom,Women,False,0:00.0,True
1075,15.0,Andrea Mead-Lawrence,United States,,USA,8.0,2:08.8,1948,Slalom,Women,False,0:00.0,True
1074,22.0,Resi Hammerer,Austria,,AUT,7.0,2:08.6,1948,Slalom,Women,False,0:00.0,True
1073,25.0,Anneliese Schuh-Proxauf,Austria,,AUT,6.0,2:06.7,1948,Slalom,Women,False,0:00.0,True
1072,21.0,RenÃ©e Clerc,Switzerland,,SUI,5.0,2:05.8,1948,Slalom,Women,False,0:00.0,True
1071,27.0,Georgette Miller-ThiolliÃ¨re,France,,FRA,4.0,1:58.8,1948,Slalom,Women,False,0:00.0,True
1070,23.0,Erika Mahringer,Austria,Bronze,AUT,3.0,1:58.0,1948,Slalom,Women,False,0:00.0,True
1069,27.0,Antoinette Meyer,Switzerland,Silver,SUI,2.0,1:57.7,1948,Slalom,Women,False,0:00.0,True
1068,28.0,Gretchen Fraser,United States,Gold,USA,1.0,1:57.2,1948,Slalom,Women,False,0:00.0,True
770,21.0,Xanthe Ryder,Great Britain,,GBR,27.0,47.1,1948,Combine,Women,False,0:00.0,False
769,24.0,Olivia Ausoni,Switzerland,,SUI,26.0,38.02,1948,Combine,Women,False,0:00.0,False
768,22.0,Rosemary Sparrow,Great Britain,,GBR,25.0,37.16,1948,Combine,Women,False,0:00.0,False
767,19.0,Sheena Mackintosh,Great Britain,,GBR,24.0,36,1948,Combine,Women,False,0:00.0,False
766,31.0,Isobel Roe,Great Britain,,GBR,23.0,34.91,1948,Combine,Women,False,0:00.0,False
765,24.0,Renata Carraretto,Italy,,ITA,22.0,33.58,1948,Combine,Women,False,0:00.0,False
764,15.0,Andrea Mead-Lawrence,United States,,USA,21.0,30.84,1948,Combine,Women,False,0:00.0,False
763,27.0,Georgette Miller-ThiolliÃ¨re,France,,FRA,20.0,25.79,1948,Combine,Women,False,0:00.0,False
762,23.0,Borghild Niskin,Norway,,NOR,19.0,24.37,1948,Combine,Women,False,0:00.0,False
761,21.0,BoÅ¾ena MoserovÃ¡,Czechoslovakia,,TCH,18.0,23.01,1948,Combine,Women,False,0:00.0,False
760,23.0,Becky Cremer,United States,,USA,17.0,22.01,1948,Combine,Women,False,0:00.0,False
759,20.0,Ruth-Marie Stewart,United States,,USA,16.0,17.73,1948,Combine,Women,False,0:00.0,False
758,26.0,May Nilsson,Sweden,,SWE,15.0,13.03,1948,Combine,Women,False,0:00.0,False
757,28.0,Lina Mittner,Switzerland,,SUI,14.0,12.54,1948,Combine,Women,False,0:00.0,False
756,28.0,Laila Schou Nilsen,Norway,,NOR,13.0,12.14,1948,Combine,Women,False,0:00.0,False
755,22.0,Resi Hammerer,Austria,,AUT,12.0,11.87,1948,Combine,Women,False,0:00.0,False
1078,25.0,Paula Kann,United States,,USA,11.0,2:09.8,1948,Slalom,Women,False,0:00.0,True
1079,24.0,FranÃ§oise Gignoux,France,,FRA,12.0,2:10.3,1948,Slalom,Women,False,0:00.0,True
1080,21.0,Rosmarie Bleuer,Switzerland,,SUI,13.0,2:10.6,1948,Slalom,Women,False,0:00.0,True
1081,28.0,Laila Schou Nilsen,Norway,,NOR,14.0,2:11.5,1948,Slalom,Women,False,0:00.0,True
1796,15.0,Muzaffer Demirhan,Turkey,,TUR,64,4:25.7,1948,Slalom,Male,False,0:00.0,True
1797,21.0,RamÃ³n Blanco,Spain,,ESP,65,4:27.5,1948,Slalom,Male,False,0:00.0,True
1798,23.0,Ibrahim Geagea,Lebanon,,LIB,66,4:34.1,1948,Slalom,Male,False,0:00.0,True
1794,22.0,Dursun Bozkurt,Turkey,,TUR,62,4:11.2,1948,Slalom,Male,False,0:00.0,True
1091,32.0,Biddy Duke-Woolley,Great Britain,,GBR,24.0,2:53.7,1948,Slalom,Women,False,0:00.0,True
