,Age,Athlete,Country,Medal,NOC,Rank,Time
254,20,Brigitte Acton,Canada,,CAN,10,2:55.75
255,20,Resi Stiegler,United States,,USA,11,2:55.79
256,28,Janette Hargin,Sweden,,SWE,12,2:56.13
257,25,Emily Brydon,Canada,,CAN,13,2:56.51
258,24,Nike Bent,Sweden,,SWE,14,2:56.62
259,21,Veronika ZuzulovÃ¡,Slovakia,,SVK,15,2:56.63
260,27,Monika Bergmann-Schmuderer,Germany,,GER,16,2:56.80
261,21,Kaylin Richardson,United States,,USA,17,2:56.83
262,20,Marie Marchand-Arvier,France,,FRA,18,2:57.11
263,21,Å Ã¡rka ZÃ¡hrobskÃ¡-StrachovÃ¡,Czech Republic,,CZE,19,2:57.14
264,19,Nadia Fanchini,Italy,,ITA,20,2:57.15
265,21,Petra Robnik,Slovenia,,SLO,21,2:57.40
266,24,Lucie HrstkovÃ¡,Czech Republic,,CZE,22,2:59.57
267,18,SoÅa MaculovÃ¡,Slovakia,,SVK,23,3:00.25
268,27,Petra ZakouÅilovÃ¡,Czech Republic,,CZE,24,3:00.77
269,24,Carolina Ruiz,Spain,,ESP,25,3:00.93
270,21,Macarena Simari Birkner,Argentina,,ARG,26,3:02.66
271,21,Wendy Siorpaes,Italy,,ITA,27,3:02.85
272,25,DagnÃ½ Linda KristjÃ¡nsdÃ³ttir,Iceland,,ISL,28,3:04.25
273,23,MarÃ­a BelÃ©n Simari Birkner,Argentina,,ARG,29,3:05.35
274,15,Noelle Barahona,Chile,,CHI,30,3:26.62
275,25,FrÃ¤nzi Aufdenblatten,Switzerland,,SUI,,
276,21,Nika Fleiss,Croatia,,CRO,,
277,21,Lindsey Kildow-Vonn,United States,,USA,,
278,20,UrÅ¡ka RabiÄ,Slovenia,,SLO,,
279,17,Anne-Sophie Barthet,France,,FRA,,
280,24,Jelena LoloviÄ,Serbia and Montenegro,,SCG,,
281,19,Shona Rubens,Canada,,CAN,,
282,17,Eva HuÄkovÃ¡,Slovakia,,SVK,,
283,16,Jana GantnerovÃ¡,Slovakia,,SVK,,
284,22,Alexandra Coletti,Monaco,,MON,,
285,21,Chirine Njeim,Lebanon,,LIB,,
286,24,Daniela Merighetti,Italy,,ITA,,
287,23,Chemmy Alcott,Great Britain,,GBR,,
288,25,Maria HÃ¶fl-Riesch,Germany,Gold,GER,1,2:09.14
289,25,Julia Mancuso,United States,Silver,USA,2,2:10.08
290,28,Anja PÃ¤rson,Sweden,Bronze,SWE,3,2:10.19
291,23,Kathrin Zettel,Austria,,AUT,4,2:10.50
292,26,Tina Maze,Slovenia,,SLO,5,2:10.53
293,25,Fabienne Suter,Switzerland,,SUI,6,2:10.85
294,25,Å Ã¡rka ZÃ¡hrobskÃ¡-StrachovÃ¡,Czech Republic,,CZE,7,2:11.02
295,25,Hanna Schnarf,Italy,,ITA,8,2:11.29
296,24,Michaela Kirchgasser,Austria,,AUT,9,2:11.35
297,24,Marie Marchand-Arvier,France,,FRA,10,2:11.82
298,27,Chemmy Alcott,Great Britain,,GBR,11,2:12.51
299,23,Shona Rubens,Canada,,CAN,12,2:12.58
300,18,Mona LÃ¸seth,Norway,,NOR,13,2:12.68
301,29,Emily Brydon,Canada,,CAN,14,2:12.76
302,21,MaruÅ¡a Ferk,Slovenia,,SLO,15,2:12.98
303,20,Anna Fenninger,Austria,,AUT,16,2:13.27
304,25,Kaylin Richardson,United States,,USA,17,2:13.40
305,28,Elisabeth GÃ¶rgl,Austria,,AUT,18,2:13.58
306,26,Alexandra Coletti,Monaco,,MON,19,2:13.81
307,27,Sandrine Aubert,France,,FRA,20,2:13.96
308,22,Leanne Smith,United States,,USA,21,2:13.97
309,26,Jessica Lindell-Vikarby,Sweden,,SWE,22,2:14.16
310,23,Andrea Dettling,Switzerland,,SUI,23,2:14.44
311,21,Mireia GutiÃ©rrez,Andorra,,AND,24,2:15.67
312,22,Agnieszka GÄsienica-Daniel,Poland,,POL,25,2:16.24
313,25,Macarena Simari Birkner,Argentina,,ARG,26,2:16.37
314,21,Anna Berecz,Hungary,,HUN,27,2:22.97
315,19,Noelle Barahona,Chile,,CHI,28,2:24.25
316,25,Lindsey Kildow-Vonn,United States,,USA,,
317,27,MarÃ­a BelÃ©n Simari Birkner,Argentina,,ARG,,
318,22,Gina Stechert,Germany,,GER,,
319,23,Nadja Kamer,Switzerland,,SUI,,
320,28,Daniela Merighetti,Italy,,ITA,,
321,19,Yelena Prosteva,Russia,,RUS,,
322,29,Maria HÃ¶fl-Riesch,Germany,Gold,GER,1,2:34.62
323,30,Nicole Hosp,Austria,Silver,AUT,2,2:35.02
324,29,Julia Mancuso,United States,Bronze,USA,3,2:35.15
325,30,Tina Maze,Slovenia,,SLO,4,2:35.25
326,28,Dominique Gisin,Switzerland,,SUI,5,2:36.12
327,21,Ragnhild Mowinckel,Norway,,NOR,6,2:36.15
328,28,Michaela Kirchgasser,Austria,,AUT,7,2:36.41
329,24,Anna Fenninger,Austria,,AUT,8,2:36.44
330,28,Å Ã¡rka ZÃ¡hrobskÃ¡-StrachovÃ¡,Czech Republic,,CZE,9,2:36.61
331,25,MaruÅ¡a Ferk,Slovenia,,SLO,10,2:36.89
332,23,Federica Brignone,Italy,,ITA,11,2:37.62
333,24,Denise Feierabend,Switzerland,,SUI,12,2:37.71
334,21,Sara Hector,Sweden,,SWE,13,2:37.85
335,21,Yelena Yakovishina,Russia,,RUS,14,2:38.88
336,18,Greta Small,Australia,,AUS,15,2:40.30
337,25,Edit MiklÃ³s,Hungary,,HUN,16,2:41.61
338,24,Karolina Chrapek,Poland,,POL,17,2:41.80
339,25,Mireia GutiÃ©rrez,Andorra,,AND,18,2:42.30
340,24,KlÃ¡ra KÅÃ­Å¾ovÃ¡,Czech Republic,,CZE,19,2:42.40
341,29,Macarena Simari Birkner,Argentina,,ARG,20,2:43.93
342,25,Anna Berecz,Hungary,,HUN,21,2:48.69
343,18,Ania Caill,Romania,,ROU,22,2:53.95
344,27,Marianne Kaufmann-Abderhalden,Switzerland,,SUI,,
345,23,Noelle Barahona,Chile,,CHI,,
346,25,Laurenne Ross,United States,,USA,,
347,29,Stacey Cook,United States,,USA,,
348,30,Alexandra Coletti,Monaco,,MON,,
349,32,Daniela Merighetti,Italy,,ITA,,
350,31,Chemmy Alcott,Great Britain,,GBR,,
351,28,Elena Fanchini,Italy,,ITA,,
352,24,Francesca Marsaglia,Italy,,ITA,,
353,18,Lotte Sejersted,Norway,,NOR,,
354,22,Lara Gut,Switzerland,,SUI,,
355,32,Elisabeth GÃ¶rgl,Austria,,AUT,,
356,24,Marie-MichÃ¨le Gagnon,Canada,,CAN,,
357,24,Jana GantnerovÃ¡,Slovakia,,SVK,,
358,26,Leanne Smith,United States,,USA,,
359,23,Ilka Å tuhec,Slovenia,,SLO,,
360,22,KristÃ­na SaalovÃ¡,Slovakia,,SVK,,
