,Age,Athlete,Country,Medal,NOC,Rank,Time_end,Year,Type,Gender,test,Time_start,test_time
54,26.0,Sarah Thomasson,Sweden,,SWE,18.0,1:55.5,1952,Downhill,Women,False,0:00.0,True
53,19.0,Andrea Mead-Lawrence,United States,,USA,17.0,1:55.3,1952,Downhill,Women,False,0:00.0,True
61,22.0,Margareta Jacobsson,Sweden,,SWE,25.0,1:58.2,1952,Downhill,Women,False,0:00.0,True
70,22.0,Maria Kowalska,Poland,,POL,34.0,2:27.4,1952,Downhill,Women,False,0:00.0,True
71,20.0,Lia LeismÃ¼ller,Germany,,GER,35.0,2:37.6,1952,Downhill,Women,False,0:00.0,True
170,18.0,Bill Day,Australia,,AUS,60,3:31.4,1952,Downhill,Male,False,0:00.0,True
169,25.0,Ion CaÈa,Romania,,ROU,59,3:26.4,1952,Downhill,Male,False,0:00.0,True
168,18.0,Noel Harrison,Great Britain,,GBR,58,3:21.5,1952,Downhill,Male,False,0:00.0,True
167,27.0,Ibrahim Geagea,Lebanon,,LIB,57,3:20.2,1952,Downhill,Male,False,0:00.0,True
165,19.0,JÃ³n Karl SigurÃ°sson,Iceland,,ISL,54,3:10.1,1952,Downhill,Male,False,0:00.0,True
164,24.0,Juan Poll,Spain,,ESP,54,3:10.1,1952,Downhill,Male,False,0:00.0,True
163,21.0,Luis Arias,Spain,,ESP,53,3:09.2,1952,Downhill,Male,False,0:00.0,True
162,22.0,Ãsgeir EyjÃ³lfsson,Iceland,,ISL,52,3:08.3,1952,Downhill,Male,False,0:00.0,True
161,30.0,Dumitru SulicÄ,Romania,,ROU,51,3:07.3,1952,Downhill,Male,False,0:00.0,True
160,27.0,StefÃ¡n KristjÃ¡nsson,Iceland,,ISL,50,3:06.1,1952,Downhill,Male,False,0:00.0,True
159,21.0,Haukur SigurÃ°sson,Iceland,,ISL,49,3:06.0,1952,Downhill,Male,False,0:00.0,True
158,25.0,Peter Pappenheim,Netherlands,,NED,48,3:05.7,1952,Downhill,Male,False,0:00.0,True
157,21.0,Pablo Rosenkjer,Argentina,,ARG,47,3:02.9,1952,Downhill,Male,False,0:00.0,True
156,23.0,Luis de Ridder,Argentina,,ARG,46,3:01.8,1952,Downhill,Male,False,0:00.0,True
155,22.0,Dick Pappenheim,Netherlands,,NED,45,3:00.0,1952,Downhill,Male,False,0:00.0,True
154,26.0,Pentti Alonen,Finland,,FIN,44,2:59.7,1952,Downhill,Male,False,0:00.0,True
153,26.0,JÃ³zef Marusarz,Poland,,POL,43,2:58.7,1952,Downhill,Male,False,0:00.0,True
171,28.0,Michel Feron,Belgium,,BEL,61,3:31.5,1952,Downhill,Male,False,0:00.0,True
152,20.0,Andrzej Czarniak,Poland,,POL,42,2:56.4,1952,Downhill,Male,False,0:00.0,True
172,21.0,Otto Jung,Argentina,,ARG,62,3:34.9,1952,Downhill,Male,False,0:00.0,True
174,19.0,Georgi Mitrov,Bulgaria,,BUL,64,3:44.5,1952,Downhill,Male,False,0:00.0,True
182,32.0,Alexandros Vouxinos,Greece,,GRE,72,6:10.8,1952,Downhill,Male,False,0:00.0,True
181,29.0,Bob Arnott,Australia,,AUS,71,4:13.5,1952,Downhill,Male,False,0:00.0,True
180,25.0,Gino de PellegrÃ­n,Argentina,,ARG,70,4:02.0,1952,Downhill,Male,False,0:00.0,True
179,27.0,Duarte Silva,Portugal,,POR,69,3:58.4,1952,Downhill,Male,False,0:00.0,True
178,28.0,Jaime ErrÃ¡zuriz,Chile,,CHI,68,3:53.3,1952,Downhill,Male,False,0:00.0,True
177,24.0,Barry Patten,Australia,,AUS,67,3:53.1,1952,Downhill,Male,False,0:00.0,True
176,23.0,Eduardo Silva,Chile,,CHI,66,3:52.3,1952,Downhill,Male,False,0:00.0,True
175,23.0,Herbie Familton,New Zealand,,NZL,65,3:44.6,1952,Downhill,Male,False,0:00.0,True
173,23.0,Denis Feron,Belgium,,BEL,63,3:36.5,1952,Downhill,Male,False,0:00.0,True
151,20.0,AndrÃ© Bertrand,Canada,,CAN,41,2:56.0,1952,Downhill,Male,False,0:00.0,True
166,25.0,Eino Kalpala,Finland,,FIN,56,3:16.2,1952,Downhill,Male,False,0:00.0,True
149,24.0,John Boyagis,Great Britain,,GBR,39,2:55.6,1952,Downhill,Male,False,0:00.0,True
127,21.0,Beni ObermÃ¼ller,Germany,,GER,17,2:42.9,1952,Downhill,Male,False,0:00.0,True
126,24.0,Willi Klein,Germany,,GER,16,2:42.8,1952,Downhill,Male,False,0:00.0,True
125,26.0,Henri Oreiller,France,,FRA,14,2:41.5,1952,Downhill,Male,False,0:00.0,True
124,25.0,Jack Reddish,United States,,USA,14,2:41.5,1952,Downhill,Male,False,0:00.0,True
123,29.0,Janko Å tefe,Yugoslavia,,YUG,13,2:40.6,1952,Downhill,Male,False,0:00.0,True
122,22.0,Dick Buek,United States,,USA,12,2:39.1,1952,Downhill,Male,False,0:00.0,True
121,30.0,James Couttet,France,,FRA,11,2:38.7,1952,Downhill,Male,False,0:00.0,True
120,25.0,Gottlieb Perren,Switzerland,,SUI,10,2:37.1,1952,Downhill,Male,False,0:00.0,True
119,26.0,Georges Schneider,Switzerland,,SUI,9,2:37.0,1952,Downhill,Male,False,0:00.0,True
118,29.0,Carlo Gartner,Italy,,ITA,8,2:36.5,1952,Downhill,Male,False,0:00.0,True
117,29.0,Gunnar Hjeltnes,Norway,,NOR,7,2:35.9,1952,Downhill,Male,False,0:00.0,True
