,Exporter,Importer,Latitude_exp,Longitude_exp,Latitude_imp,Longitude_imp,Millions,Millions_Total
496,Russian Federation,Sudan,61.52401,105.318756,12.862807,30.217636,170.0,32995.0
497,Russian Federation,Syria,61.52401,105.318756,34.802075,38.99681500000001,702.0,32995.0
498,Russian Federation,Tajikistan,61.52401,105.318756,38.861034,71.276093,8.0,32995.0
499,Russian Federation,Thailand,61.52401,105.318756,15.870032,100.992541,14.0,32995.0
500,Russian Federation,Turkey,61.52401,105.318756,38.963745,35.243322,0.0,32995.0
501,Russian Federation,Turkmenistan,61.52401,105.318756,38.969719,59.556278000000006,172.0,32995.0
502,Russian Federation,Uganda,61.52401,105.318756,1.373333,32.290275,174.0,32995.0
503,Russian Federation,United Kingdom,61.52401,105.318756,55.378051,-3.435973,0.0,32995.0
504,Russian Federation,United States,61.52401,105.318756,37.09024,-95.712891,16.0,32995.0
505,Russian Federation,Uruguay,61.52401,105.318756,-32.522779,-55.765835,0.0,32995.0
506,Russian Federation,Uzbekistan,61.52401,105.318756,41.377491,64.585262,0.0,32995.0
507,Russian Federation,Venezuela,61.52401,105.318756,6.42375,-66.58973,1635.0,32995.0
508,Russian Federation,Vietnam,61.52401,105.318756,14.058324,108.277199,3770.0,32995.0
509,Russian Federation,Yemen,61.52401,105.318756,15.552727,48.516388,0.0,32995.0
510,Russian Federation,Zambia,61.52401,105.318756,-13.133897,27.849332,14.0,32995.0
511,Russian Federation,Zimbabwe,61.52401,105.318756,-19.015438,29.154857,0.0,32995.0
422,Russian Federation,Afghanistan,61.52401,105.318756,33.93911,67.709953,365.0,32995.0
493,Russian Federation,South Africa,61.52401,105.318756,-30.559482,22.937506,50.0,32995.0
492,Russian Federation,Slovenia,61.52401,105.318756,46.151241,14.995463,0.0,32995.0
491,Russian Federation,Slovakia,61.52401,105.318756,48.669026,19.699024,0.0,32995.0
480,Russian Federation,North Korea,61.52401,105.318756,40.339852,127.510093,0.0,32995.0
471,Russian Federation,Mexico,61.52401,105.318756,23.634501,-102.552784,20.0,32995.0
472,Russian Federation,Mongolia,61.52401,105.318756,46.862496,103.846656,153.0,32995.0
473,Russian Federation,Morocco,61.52401,105.318756,31.791702,-7.09262,0.0,32995.0
474,Russian Federation,Mozambique,61.52401,105.318756,-18.665695,35.529562,0.0,32995.0
475,Russian Federation,Myanmar,61.52401,105.318756,21.913965,95.956223,239.0,32995.0
476,Russian Federation,Nepal,61.52401,105.318756,28.394857,84.12400799999998,14.0,32995.0
477,Russian Federation,Nicaragua,61.52401,105.318756,12.865416,-85.207229,114.0,32995.0
478,Russian Federation,Niger,61.52401,105.318756,17.607789,8.081666,0.0,32995.0
479,Russian Federation,Nigeria,61.52401,105.318756,9.081999,8.675277000000001,168.0,32995.0
481,Russian Federation,Pakistan,61.52401,105.318756,30.375321000000003,69.345116,150.0,32995.0
482,Russian Federation,Palestine,61.52401,105.318756,31.898042999999998,35.204269000000004,0.0,32995.0
483,Russian Federation,Peru,61.52401,105.318756,-9.189967,-75.015152,162.0,32995.0
484,Russian Federation,Poland,61.52401,105.318756,51.919438,19.145136,0.0,32995.0
485,Russian Federation,Romania,61.52401,105.318756,45.943161,24.96676,0.0,32995.0
486,Russian Federation,Rwanda,61.52401,105.318756,-1.940278,29.873888,41.0,32995.0
487,Russian Federation,Senegal,61.52401,105.318756,14.497401000000002,-14.452362,0.0,32995.0
488,Russian Federation,Serbia,61.52401,105.318756,44.016521,21.005859,14.0,32995.0
489,Russian Federation,Sierra Leone,61.52401,105.318756,8.460555000000001,-11.779889,0.0,32995.0
490,Russian Federation,Singapore,61.52401,105.318756,1.352083,103.819836,0.0,32995.0
423,Russian Federation,Algeria,61.52401,105.318756,28.033886,1.6596259999999998,3209.0,32995.0
1,China,Algeria,35.86166,104.195397,28.033886,1.6596259999999998,814.0,8766.0
0,China,Albania,35.86166,104.195397,41.153332,20.168331,0.0,8766.0
57,China,Saudi Arabia,35.86166,104.195397,23.885942,45.079162,14.0,8766.0
6,China,Bahrain,35.86166,104.195397,25.930414000000006,50.637772,4.0,8766.0
18,China,DR Congo,35.86166,104.195397,-4.0383330000000015,21.758664000000003,0.0,8766.0
17,China,Congo,35.86166,104.195397,-0.228021,15.827659,0.0,8766.0
16,China,Chad,35.86166,104.195397,15.454166,18.732207,39.0,8766.0
15,China,Cameroon,35.86166,104.195397,7.369722,12.354722,198.0,8766.0
14,China,Cambodia,35.86166,104.195397,12.565679,104.990963,54.0,8766.0
